skt	tib
 daśasāhasrikā prajñāpāramitā	༄༣༡༧ཨ་། །རྒྱ་གར་སྐད་དུ་། ཨའརྱ་ད་ཤ་ས་ཧ་སྲི་ཀ་པྲ་ཛཉའ་པའ་ར་མི་ཏའ་ནའ་མ་མ་ཧའ་ཡའ་ན་སའུ་ཏྲ་། བོད་སྐད་དུ་། འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཁྲི་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་། བམ་པོ་དང་པོ་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎
 evaṃ mayā śrutam:	འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན་།
 ekasmin samaye bhagavān rājagṛhe viharati sma gṛdhrakūṭaparvate mahatā bhikṣusaṃghena sārdham anekair bhikṣusahasraiḥ,	བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལ་དགེ་སློང་སྟོང་ཕྲག་དུ་མའི་དགེ་སློང་གི་དགེ་༄༣༡༧བ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ་། ཐམས་ཅད་ཀྱང་དགྲ་བཅོམ་པ་། ཟག་པ་ཟད་པ་། ཉོན་མོངས་པ་མེད་པ་། དབང་དང་ལྡན་པར་གྱུར་པ་།
 sarvair arhadbhiḥ kṣīṇāsravair niṣkleśair vaśībhūtaiḥ suvimuktacittaiḥ suvimuktaprajñair	སེམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ་། ཤེས་རབ་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ་། ཅང་ཤེས་པ་། གླང་པོ་ཆེན་པོ་།
 ājāneyair mahānāgaiḥ kṛtakṛtyaiḥ kṛtakaraṇīyair apahṛtabhārair anuprāptasvakārthaiḥ	བྱ་བ་བྱས་པ་། བྱེད་པ་བྱས་པ་། ཁུར་བོར་བ་།
 parikṣīṇabhavasaṃyojanaiḥ samyagājñāsuvimuktacittaiḥ sarvacetovaśiparamapāramitāprāptair,	བདག་གི་དོན་རྗེས་སུ་ཐོབ་པ༏་སྲིད་པར་ཀུན་ཏུ་སྦྱོར་བ་ཡོངས་སུ་ཟད་པ་། ཡང་དག་པའི་ཤེས་པ་སེམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ་། སེམས་ཀྱི་དབང་ཐམས་ཅད་ཀྱི་དམ་པའི་ཕ་རོལ་ཏུ་སོན་པ་ཤ་སྟག་སྟེ་། གང་ཟག་གཅིག་མ་གཏོགས་པ་ནི་། འདི་ལྟ་སྟེ་།
 ekaṃ pudgalaṃ sthāpayitvā yadutāyuṣmantam ānandaṃ śaikṣaṃ srotaāpannaṃ; pañcamātraiś ca bhikṣuṇīśatair,	སློབ་པ་རྒྱུན་དུ་ཞུགས་པ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོའོ་༎
 upāsakair upāsikābhiś ca sārdhaṃ, sarvair dṛṣṭasatyair; anekasahasraiś ca bodhisattvair mahāsattvaiḥ sārdhaṃ,	དགེ་སློང་མ་ལྔ་བརྒྱ་ཙམ་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མ་ཐམས་ཅད་ཀྱང་བདེན་པ་མཐོང་བ་ཤ་སྟག་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྟོང་ཕྲག་དུ་མ་ཐམས་ཅད་ཀྱང་གཟུངས་ཐོབ་པ་།
 sarvair dhāraṇīpratilabdhaiḥ samādhipratilabdhaiḥ śūnyatāvihāribhir animittagocarair	ཏིང་ངེ་འཛིན་ཐོབ་པ་། སྟོང་པ་ཉིད་ལ་གནས་པ་། མཚན་མ་མེད་པའི་སྤྱོད་ཡུལ་བ་།
 avikalpitapraṇidhānaiḥ samatākṣāntipratilabdhair asaṃgapratibhāṇapratilabdhaiḥ sarvaiś	མ་བརྟགས་པའི་སྨོན་ལམ་དང་ལྡན་པ་། མཉམ་པ་ཉིད་ཀྱི་བཟོད་པ་ཐོབ་པ་། སྤོབས་པ་ཐོགས་པ་མེད་པ་ཐོབ་པ་། ཐམས་ཅད་ཀྱང་མངོན་པར་ཤེས་པ་ལྔ་དང་ལྡན་པ་། གཟུང་བའི་ཚིག་དང་ལྡན་པ་། ཚུལ་འཆོས་པ་མེད་པ་། ཤེས་༄༣༡༨ཨ་༌༎
 ca pañcābhijñair ādeyavacanair akuhakair apagatajñānārthalābhasatkāracittair nirāmiṣadharmadeśakair	ཀྱི་ཁེ་དང་། རྙེད་པ་དང་། བཀུར་སྟིའི་སེམས་དང་བྲལ་བ་། ཟང་ཟིང་མེད་པར་ཆོས་སྟོན་པ་། ཆོས་ཟབ་མོ་ལ་བཟོད་པའི་ཕ་རོལ་ཏུ་སོན་པ་།
 gambhīradharmakṣāntipāragatair vaiśāradyaprāptair mārakarmasamatikrāntaiḥ sarvakaraṇāvaraṇavimuktair	མི་འཇིགས་པ་ཐོབ་པ་། བདུད་ཀྱི་ལས་ལས་ཡང་དག་པར་འདས་པ་། ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་ལས་རྣམ་པར་གྲོལ་བ་།
 dharmanirdeśasaṃcitair asaṃkhyeyakalpasamārabdhapraṇidhānaiḥ smitamukhaiḥ pūrvābhilāpibhir	བསྟན་པའི་ཆོས་སྟོན་པས་བསགས་པ་། བསྐལ་པ་གྲངས་མེད་པ་ནས་སྨོན་ལམ་ཤིན་ཏུ་བརྩམས་པ་། བཞིན་འཛུམ་པ་དང་ལྡན་པ་། གསོང་པོར་སྨྲ་བ་།
