skt	tib
 (vaidya 340) mañjuśrīparivartāparaparyāyā saptaśatikā prajñāpāramitā | oṃ namo bhagavatyai āryaprajñāpāramitāyai |	༄༡༢༣བ་། །རྒྱ་གར་སྐད་དུ་། ཨའརྱ་སཔཏ་ཤ་ཏི་ཀ་ནའ་མ་པྲཛཉའ་པ་ར་མི་ཏ་མ་ཧའ་ཡ་ན་སའུ་ཏྲ་། བོད་སྐད་དུ་། འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བདུན་བརྒྱ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་། བམ་པོ་དང་པོ་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎
 evaṃ mayā śrutam |	འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན་།
 ekasmin samaye bhagavān śrāvastyāṃ viharati sma jetavane 'nāthapiṇḍadasyārāme mahatā bhikṣusaṃghena sārdhaṃ paripūrṇena arhadbhikṣusahasreṇa, bodhisattvānāṃ ca mahāsattvānāṃ mahāsaṃnāhasaṃnaddhānāṃ paripūrṇairdaśabhirbodhisattvaśatasahasraiḥ sārdhaṃ sarvairavinivartanīyairanuttarāyāḥ samyaksaṃbodheḥ | tadyathā - mañjuśriyā ca kumārabhūtena, maitreyeṇa ca, asaṅgapratibhānena ca, anikṣiptadhureṇa ca,	བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན་དགེ་སློང་སྟོང་ཐམ་པའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ་༎ བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གོ་ཆ་བགོས་པ་ས་ཡ་ཐམས་ཅད་ཀྱང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པ་ཤ་སྟག་ལ་འདི་ལྟ་སྟེ་༎ ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དང་། བྱམས་པ་དང་། སྤོབས་པ་ཐམས་ཅད་མེད་དང་། བརྩོན་པ་མི་འདོར་བ་དང་། དེ་དག་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་ས་ཡ་དང་ཡང་ཐབས་ཅིག་གོ་། དེ་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དེ་བཞིན་གཤེགས་པ་ལ་བལྟ་བ་དང་། ཕྱག་བྱ་བ་དང་། བསྙེན་བཀུར་བྱ་བའི་ཕྱིར་སྐྱ་རེངས་ཤར་བའི་དུས་ཀྱི་ཚེ་རང་གི་གནས་ནས་བྱུང་༄༡༢༤ཨ་༌༎
 evaṃpramukhairdaśabhirbodhisattvaśatasahasraiḥ || atha khalu mañjuśrīḥ kumārabhūto 'ruṇodgatakālasamaye svakādvihārānniṣkramya yena tathāgatavihārastenopasaṃkrāmat | upasaṃkramya vihārasya bahirdvāre sthito 'bhūttathāgatasya darśanāya vandanāya paryupāsanāya |	སྟེ་དེ་བཞིན་གཤེགས་པའི་ཕོ་བྲང་གི་སྒོ་ག་ལ་བ་དེར་སོང་ནས་ཕྱིན་པ་དང་། ཕོ་བྲང་གི་སྒོའི་ཕྱི་རོལ་ཏུ་འདུག་གོ་།
 athāyuṣmānapi śāradvatīputraḥ svakādvihārānniṣkramya yena tathāgatavihārastenopasaṃkrāmadbhagavato darśanāya vandanāya paryupāsanāya | athāyuṣmānapi pūrṇo maitrāyaṇīputraḥ, āyuṣmānapi mahāmaudgalyāyanaḥ, āyuṣmānapi mahākāśyapaḥ,	དེ་ནས་ཚེ་དང་ལྡན་པ་ཤའ་རདབ༹་ཏིའི་བུ་ཡང་བཅོམ་ལྡན་འདས་ལ་བལྟ་བ་དང་། ཕྱག་བྱ་བ་དང་། བསྙེན་བཀུར་བྱ་བའི་ཕྱིར་རང་གི་གནས་ནས་བྱུང་སྟེ་དེ་བཞིན་གཤེགས་པའི་ཕོ་བྲང་ག་ལ་བ་དེར་སོང་ངོ་༎ 
 āyuṣmānapi mahākātyāyanaḥ, āyuṣmānapi mahākauṣṭhilaḥ, anye ca mahāśrāvakāḥ svakasvakebhyo vihārebhyo niṣkramya yena bhagavato vihārastenopasaṃkrāntāḥ,	དེ་ནས་ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོ་དང་། ཚེ་དང་ལྡན་པ་མོཨོ་དགལ་གྱི་བུ་ཆེན་པོ་དང་། ཚེ་དང་ལྡན་པ་འོད་སྲུང་ཆེན་པོ་དང་། ཚེ་དང་ལྡན་པ་ཀ་ཏཡའ་ཡའི་བུ་ཆེན་པོ་དང་། ཚེ་དང་ལྡན་པ་གསུས་པོ་ཆེ་དང་། དེ་དག་ཐམས་ཅད་དང་། གཞན་ཡང་ཉན་ཐོས་ཆེན་པོ་རྣམས་རང་རང་གི་གནས་ནས་བྱུང་སྟེ་བཅོམ་ལྡན་འདས་ཀྱི་ཕོ་བྲང་ག་ལ་བ་དེར་སོང་ནས་ཕྱིན་པ་དང་། ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ༏།
 upasaṃkramya ekānte tasthuḥ || atha khalu bhagavānabhikrāntābhikrāntaṃ mahāśrāvakasaṃnipātaṃ viditvā svakādvihārānniṣkramya bahirdvārasyaikānte prajñapta evāsane nyaṣīdat	དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཉན་ཐོས་ཆེན་པོ་རྣམས་འོངས་ཤིང་ལྷགས་ཏེ་འདུས་པར་མཁྱེན་ནས་བདག་གི་ཕོ་བྲང་ནས་བྱུང་སྟེ་ཕོ་བྲང་གི་ཕྱི་རོལ་གྱི་ཕྱོགས་གཅིག་ཏུ་གདན་བཏིང་བ་ལ་བཞུགས་སོ་༎ 
 niṣadya ca bhagavān jānanneva āyuṣmantaṃ śāradvatīputramāmantrayate sma - kutastvaṃ śāradvatīputra kalyamevāgatya tathāgatavihāradvāre sthitaḥ?	བཞུགས་ནས་ཀྱང་བཅོམ་ལྡན་འདས་ཀྱིས་མཁྱེན་བཞིན་དུ་ཚེ་དང་ལྡན་པ་ཤའ་རདབ༹་ཏིའི་བུ་ལ་བཀའ་སྩལ་པ་། ཤའ་རདབ༹་ཏིའི་བུ་། ཁྱོད་ཅིའི་ཕྱིར་ཞོགས་པས་འོངས་ཏེ་དེ་བཞིན་གཤེགས་པའི་ཕོ་བྲང་གི་སྒོ་ན་འདུག་།
 evamukte āyuṣmān śāradvatīputro bhagavantametadavocat - sarvaprathamataraṃ bhagavan mañjuśrīḥ kumārabhūtastathāgatavihāradvāre sthitaḥ,	དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཤའ་རདབ༹་ཏིའི་བུས་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎ བཅོམ་ལྡན་འདས་། ཐམས་ཅད་ཀྱི་ཐོག་མ་ཉིད་དུ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དེ་བཞིན་གཤེགས་པའི་ཕོ་བྲང་གི་ཆབ་༄༡༢༤བ་སྒོར་མཆིས་སོ་༎ བདག་ནི་།
 paścādvayaṃ bhagavantaṃ draṣṭukāmāḥ ||	བཅོམ་ལྡན་འདས་ལ་བལྟ་བར་འཚལ་བའི་སླད་དུ་སླད་ཀྱིས་མཆིས་སོ་༎
