skt	tib
 namo 'mitābhāya| namo 'mitāyuṣe| namo 'cintyaguṇāka- rātmane| namo 'mitābhāya jināya, te mune| sukhāvatīṃ yāmi te cānukampayā| sukhāvatīṃ kanakavicitrakānanāṃ manoramāṃ sugatasutair alaṃkṛtāṃ| tathāśrayāṃ prathitayaśasya dhīmataḥ, prayāmi tāṃ bahuguṇaratnasaṃcayām|	༄༣༦༧ཨ་། །རྒྱ་གར་སྐད་དུ་། ཨའརྱ་ཨཨ་མི་ཏའ་བྷ་བ་བྱུ་ཧ་། ནའ་མ་མ་ཧའ་ཡའ་ན་སའུ་ཏྲ་། བོད་སྐད་དུ་། འཕགས་པ་འོད་དཔག་མེད་ཀྱི་བཀོད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་། བམ་པོ་དང་པོ་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎
 evaṃ mayā śrutam : ekasmin samaye bhagavān rājagṛhe	འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན་།
 viharati sma, gṛdhrakūṭe parvate mahatā bhikṣusaṃghena sārdhaṃ dvātriṃśatā bhikṣusahasraiḥ,	བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལ་དགེ་སློང་སུམ་ཁྲི་ཉིས་སྟོང་གི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་གཅིག་ཏུ་བཞུགས་ཏེ་།
 sarvair arhadbhiḥ	ཐམས་ཅད་ཀྱང་དགྲ་བཅོམ་པ་། ཟག་པ་ཟད་པ་།
 kṣīṇāsravair niḥkleśair uṣitavadbhiḥ samyagājñāsuvimuktacittaiḥ	ཉོན་མོངས་པ་མེད་པ་། གནས་པ་དང་ལྡན་པ་། ཡང་དག་པའི་ཤེས་པས་སེམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ་།
 parikṣīṇabhavasaṃyojanasahasrair anuprāptasvakārthair	སྲིད་པར་ཀུན་ཏུ་སྦྱོར་བ་ཡོངས་སུ་ཟད་པ་། ༄༣༦༧བ་བདག་གི་དོན་རྗེས་སུ་ཐོབ་པ་།
 vijitavadbhir,	རྣམ་པར་རྒྱལ་བ་དང་ལྡན་པ་།
 uttamadamane śamathaprāptaiḥ,	དུལ་བ་དང་ཞི་བའི་མཆོག་ཐོབ་པ་།
 suvimuktacittaiḥ suvimuktaprajñair mahānāgaiḥ,	སེམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ་། ཤེས་རབ་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ་། ཅང་ཤེས་པ་། གླང་པོ་ཆེན་པོ་།
 ṣaḍabhijñair	མངོན་པར་ཤེས་པ་དྲུག་དང་ལྡན་པ་། དབང་དང་ལྡན་པར་གྱུར་པ་།
