skt	tib
 avadānaśatakam* | || namaḥ śrīsarvajñāya || -------------------- vaidya, p| 1 -------------------- prathamo vargaḥ |	༄༡བ་༅༎ རྒྱ་གར་སྐད་དུ་། པའུརྣ་པྲ་མུ་ཁ་ཨཨ་བ་དའ་ན་ཤ་ཏི་ཀ་། བོད་སྐད་དུ་། གང་པོ་ལ་སོགས་པའི་རྟོགས་པ་བརྗོད་པ་བརྒྱ་པ་། བམ་པོ་དང་པོ་། ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 tasyoddānam* |	སྡོམ་ནི་།
 pūrṇabhadro yaśomatī kusīdo vaṇijas tathā |	གང་པོ་བཟང་དང་གྲགས་ལྡན་མ་༎ ལེ་ལོ་ཅན་དང་ཚོང་པ་རྣམས་༎
 somo vaḍikaḥ padmāṅkaḥ pañcālo dhūpa eva ca |	ཟླ་བ་ཆེ་བ་པདམ་དང་༎ པཉཙ་ལ་དང་བདུག་པ་དང་༎ རྒྱལ་༄༢ཨ་༌༎ པོ་མཇུག་ཏུ་སྨོས་པ་སྟེ་༎
 rājānaṃ paścimaṃ kṛtvā vargo hy eṣa samudditaḥ || avś_1 || *******************************************************	འདི་ནི་སྡེ་ཚན་བསྡུས་པ་ཡིན་༎
 avś_1 pūrṇabhadraḥ |	ལྗོངས་ཤིག་ཏུ་བྲམ་ཟེ་གང་པོ་ཞེས་བྱ་བ་ཞིག་བྱུང་སྟེ་།
 (ed| speyer, vol| i) buddho bhagavān satkṛto gurukṛto mānitaḥ pūjito rājabhī rājamātrair dhanibhiḥ pauraiḥ śreṣṭhibhiḥ sārthavāhair devair nāgair yakṣair asurair garuḍaiḥ kinnarair mahoragair	དེའི་ཚེ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ལ་རྒྱལ་པོ་རྣམས་དང་། བློན་པོ་ཆེན་པོ་རྣམས་དང༏་ཕྱུག་པོ་རྣམས་དང་། ཕོ་བྲང་འཁོར་གྱི་མི་རྣམས་དང་། ཚོང་དཔོན་རྣམས་དང་། དེད་དཔོན་རྣམས་དང་། ལྷ་རྣམས་དང་། ཀླུ་རྣམས་དང་། གནོད་སྦྱིན་རྣམས་དང་། ལྷ་མ་ཡིན་རྣམས་དང་། ནམ་མཁའ་ལྡིང་རྣམས་དང༏་མི་འམ་ཅི་རྣམས་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་རྣམས་ཀྱིས་བཀུར་སྟིར་བྱས་། བླ་མར་བྱས་། རི་མོར་བྱས་།
 iti devanāgayakṣāsuragaruḍakinnaramahoragābhyarcito buddho bhagavān jñāto mahāpuṇyo	༄༢བ་མཆོད་པ་བྱས་ཏེ་། ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མིའམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་རྣམས་ཀྱིས་མཆོད་ཅིང་། ཤེས་པའི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་བསོད་ནམས་ཆེན་པོ་དང་ལྡན་པ་།
 lābhī cīvarapiṇḍapātaśayanāsanaglānapratyayabhaiṣajyapariṣkārāṇāṃ saśrāvakasaṃgho	ན་བཟའ་དང་། ཞལ་ཟས་དང་། གཟིམས་ཆ་དང་། གདན་དང་། སྙུན་གསོས་དང་། སྨན་ཟོང་རྣམས་བརྙེས་པ་། སངས་རྒྱས་གསར་དུ་བྱུང་སྟེ་། གསུང་རབ་ཀྱི་སྙིང་ཁུ་འཐུང་བའི་དུས་ལ་བབ་ཅིང་། ལྷ་དང་། མི་མན་ཆད་ལ་ཡང་དག་པར་རབ་ཏུ་སྟོན་པ་།
 rājagṛham upaniśritya viharati veṇuvane kalandakanivāpe |	ཉན་ཐོས་ཀྱི་དགེ་འདུན་དང་བཅས་པ་། རྒྱལ་པོའི་ཁབ་ན་འོད་མའི་ཚལ་བྱ་ཀ་ལན་ད་ཀ་གནས་པ་ན་རྟེན་ཅིང་བཞུགས་སོ་༎ དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་།
 tatra bhagavato 'cirābhisaṃbuddhabodher yaśasā ca sarvaloka āpūrṇaḥ ||	བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ནས་རིང་པོ་མ་ལོན་པར་འཇིག་རྟེན་ཐམས་ཅད་དུ་གྲགས་པས་ཡོངས་སུ་གང་ངོ་༎ དེ་ནས་ལྷོ་ཕྱོགས་ཀྱི་རི་བོ་ཞེས་བྱ་བའི་༄༣ཨ་༌༎ ལྗོངས་ན་། བྲམ་ཟེ་ཆེ་ཞིང་མཐོ་བ་གང་པོ་ཞེས་བྱ་བ་། ཕྱུག་ཅིང་ནོར་མང་ལ་ལོངས་སྤྱོད་ཆེ་བ་།
 atha dakṣiṇāgiriṣu janapade saṃpūrṇo nāma brāhmaṇamahāśālaḥ prativasati āḍhyo mahādhano mahābhogo vistīrṇaviśālaparigraho vaiśravaṇadhanasamudito vaiśravaṇadhanapratispardhī |	ཡོངས་སུ་འཛིན་པ་ཡངས་ཤིང་རྒྱ་ཆེ་བ་། རྣམ་ཐོས་ཀྱི་བུའི་ནོར་དང་ལྡན་པ་། རྣམ་ཐོས་ཀྱི་བུའི་ནོར་དང་འགྲན་པ་ཞིག་གནས་སོ་༎
