skt	tib
 vimalakīrtinirdeśa namaḥ sarvabuddhabodhisatvebhyaḥ ||	༄༢༧༠བ་། །རྒྱ་གར་སྐད་དུ་། ཨའརྱ་བི་མ་ལ་ཀའིརྟི་ནི་རྡེ་ཤ་ནའ་མ་མ་ཧའ་ཡའ་ན་སའུ་ཏྲ་། བོད་སྐད་དུ་། འཕགས་པ་དྲི་མ་མེད་པར་གྲགས་པས་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་། སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་དང་། འཕགས་པ་ཉན་ཐོས་དང་། རང་སངས་རྒྱས་འདས་པ་དང་། ད་ལྟར་གྱི་དང་། མ་བྱོན་པ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎
 vkn 1|1 evaṃ mayā śrutam |	འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན་།
 ekasmin samaye bhagavān vaiśālyāṃ viharati sma,	བཅོམ་ལྡན་འདས་ཡངས་པའི་གྲོང་ཁྱེར་ན་ཨཨ་མྲ་སྲུང་བའི་ཚལ་ན་།
 āmrapālīvane mahatā bhikṣusamghena sārdham aṣṭābhir bhikṣusahasraiḥ,	དགེ་སློང་བརྒྱད་སྟོང་གི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་གཅིག་ཏུ་བཞུགས་ཏེ་། ཐམས་ཅད་ཀྱང་དགྲ་བཅོམ་པ་། ཟག་པ་ཟད་པ་། ཉོན་མོངས་པ་མེད་པ་། དབང་དང་ལྡན་པར་གྱུར་པ་།
 vkn 1|2 sarvair arhadbhiḥ kṣīṇāsravair niḥkleśair vaśībhūtaiḥ suvimuktacittaiḥ suvimuktaprajñair	སེམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ་། ཤེས་རབ་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ་། ཅང་ཤེས་པ་། གླང་པོ་ཆེན་པོ་། བྱ་བ་བྱས་པ་།
 ājāneyair mahānāgaiḥ kṛtakṛtyaiḥ kṛtakaraṇīyair apahṛtabhārair anuprāptasvakārthaiḥ	བྱེད་པ་བྱས་པ་། ཁུར་བོར་བ་། བདག་གི་དོན་རྗེས་སུ་ཐོབ་པ་།
 parikṣīṇabhavasamyojanaiḥ samyagājñāsuvimuktacittaiḥ sarvacetovaśiparamapāramiprāptaiḥ,	སྲིད་པར་ཀུན་ཏུ་སྦྱོར་བ་ཡོངས་སུ་ཟད་པ་། ཡང་དག་པའི་ཤེས་པས་སེམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ་། སེམས་ཀྱི་དབང་ཐམས་ཅད་ཀྱི་དམ་པའི་ཕ་རོལ་ཏུ་སོན་པ་ཤ་སྟག་གོ་།
 vkn 1|3 dvātriṃśatā ca bodhisatvasahasrair abhijñānābhijñātaiḥ sarvair mahābhijñāparikarmaniryātaiḥ,	བྱང་ཆུབ་སེམས་དཔའ་སུམ་ཁྲི་ཉིས་སྟོང་དང་ཡང་ཐབས་གཅིག་སྟེ་། མངོན་པར་ཤེས་པ་མངོན་པར་ཤེས་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མངོན་པར་༄༢༧༡ཨ་༌༎ ཤེས་པ་ཆེན་པོ་ཡོངས་སུ་སྦྱངས་པ་ལས་ངེས་པར་བྱུང་བ་།
 buddhādhiṣṭhānādhiṣṭhitaiḥ,	སངས་རྒྱས་ཀྱིས་བྱིན་གྱི་རླབས་ཀྱིས་བྱིན་གྱིས་བརླབས་པ་།
 saddharmanagarapālaiḥ,	ཆོས་ཀྱི་གྲོང་ཁྱེར་སྲུང་བ་།
 saddharmaparigrāhakaiḥ,	དམ་པའི་ཆོས་ཡོངས་སུ་འཛིན་པ་།
 mahāsiṃhanādanādibhiḥ,	སེང་གེའི་སྒྲ་ཆེན་པོ་སྒྲོགས་པ་།
 daśadigvighuṣṭaśabdaiḥ,	ཕྱོགས་བཅུར་སྒྲ་ཤིན་ཏུ་བསྒྲགས་པ་།
 sarvasatvānadhyeṣitakalyāṇamitraiḥ,	གསོལ་བ་མ་བཏབ་པར་སེམས་ཅན་ཐམས་ཅད་ཀྱི་དགེ་བའི་བཤེས་གཉེན་དུ་གྱུར་པ་།
 triratnavaṃśānupacchetṛbhiḥ,	དཀོན་མཆོག་གསུམ་གྱི་རིགས་རྒྱུན་མི་འཆད་པར་བྱེད་པ་།
 nihatamārapratyarthikaiḥ,	བདུད་དང་། ཕྱིར་རྒོལ་བ་བཅོམ་པ་།
 sarvaparapravādyanabhibhūtaiḥ,	ཕ་རོལ་གྱི་རྒོལ་བ་ཐམས་ཅད་ཀྱིས་ཟིལ་གྱིས་མི་ནོན་པ་།
 smṛtisamādhidhāraṇīsaṃpannaiḥ,	དྲན་པ་དང་། བློ་གྲོས་དང་། རྟོགས་པ་དང་། ཏིང་ངེ་འཛིན་དང་། གཟུངས་དང་། སྤོབས་པ་ཕུན་སུམ་ཚོགས་པ་།
 sarvanivaraṇaparyutthānavigataiḥ,	སྒྲིབ་པ་དང་། ཀུན་ནས་ལྡང་བ་ཐམས་ཅད་དང་བྲལ་བ་།
 anāvaraṇavimokṣapratiṣṭhitaiḥ,	སྒྲིབ་པ་མེད་པའི་རྣམ་པར་ཐར་པ་ལ་གནས་པ་།
 anācchedyapratibhānaiḥ,	སྤོབས་པ་རྒྱུན་མི་འཆད་པ་།
 dānadamaniyamasaṃyamaśīlakṣāntivīryadhyānaprajñopāyaniryātaiḥ,	སྦྱིན་པ་དང་། དུལ་བ་དང་། མི་འགྱུར་བ་དང་། ཡང་དག་པར་སྡོམ་པ་དང་། ཚུལ་ཁྲིམས་དང་། བཟོད་པ་དང་། བརྩོན་འགྲུས་དང་། བསམ་གཏན་དང་། ཤེས་རབ་དང་། ཐབས་ལ་མཁས་པ་དང་། སྨོན་ལམ་དང་། སྟོབས་དང་། ཡེ་ཤེས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལས་ངེས་པར་བྱུང་བ་།
 anupalambhānutpattikadharmakṣāntisamanvāgataiḥ,	མི་དམིགས་པའི་ཆོས་ལ་བཟོད་པ་དང་ལྡན་པ་།
 avaivartikadharmacakrapravartakaiḥ,	ཕྱིར་མི་ལྡོག་པའི་ཆོས་ཀྱི་འཁོར་ལོ་སྐོར་བ་། མཚན་ཉིད་མེད་པའི་ཕྱིར་རྒྱས་བཏབ་པ་།
 alakṣaṇamudrāmudritaiḥ, sarvasatvendriyajñānakuśalaiḥ, sarvaparṣadanabhibhūtavaiśāradyavikrāmibhiḥ,	སེམས་ཅན་ཐམས་ཅད་ཀྱི་དབང་པོ་ཤེས་པ་ལ་མཁས་༄༢༧༡བ་པ༏་འཁོར་ཐམས་ཅད་ཟིལ་གྱིས་མི་ནོན་པའི་མི་འཇིགས་པས་རྣམ་པར་གནོན་པ་།
 mahāpuṇyajñānasaṃbhāropacitaiḥ,	བསོད་ནམས་དང་། ཡེ་ཤེས་ཀྱི་ཚོགས་ཆེན་པོ་བསགས་པ་།
 lakṣaṇānuvyañjanasamalaṃkṛtakāyaiḥ,	མཚན་དང་། དཔེ་བྱད་བཟང་པོ་ཐམས་ཅད་ཀྱིས་ལུས་ཤིན་ཏུ་བརྒྱན་པ་།
 paramarūpadhāribhiḥ,	གཟུགས་དམ་པ་འཛིན་པ་།
 apagatabhūṣaṇaiḥ,	རྒྱན་དང་བྲལ་བ་།
 meruśikharābhyudgatayaśaḥkīrtisamudgataiḥ,	རི་རབ་ཀྱི་རྩེ་མོ་མཐོ་བ་བཞིན་དུ་སྙན་པ་དང་། གྲགས་པས་མངོན་པར་འཕགས་པ་།
 dṛḍhavajrādhyāśayābhedyabuddhadharmaprasādapratilabdhaiḥ,	ལྷག་པའི་བསམ་པ་རྡོ་རྗེ་ལྟར་སྲ་བས་སངས་རྒྱས་དང་། ཆོས་དང་། དགེ་འདུན་ལ་མི་ཕྱེད་པའི་དད་པ་རྙེད་པ་།
 dharmaratnavikaraṇāmṛtajalasaṃpravarṣakaiḥ,	ཆོས་རིན་པོ་ཆེའི་འོད་ཟེར་ལས་བདུད་རྩིའི་ཆར་ཤིན་ཏུ་འབེབས་པ་།
 sarvasatvarutaravitasvarāṅgaghoṣaviśuddhasvaraiḥ,	སེམས་ཅན་ཐམས་ཅད་ཀྱི་སྐད་དང་། སྨྲ་བ་དང་། དབྱངས་ཀྱི་ཡན་ལག་དང་། སྒྲ་རྣམ་པར་དག་པའི་དབྱངས་དང་ལྡན་པ་།
 gambhīradharmapratītyāvatārāntānantadṛṣṭivāsanānusaṃdhisamucchinnaiḥ, vigatabhayasiṃhopamanādibhiḥ,	ཆོས་ཟབ་མོ་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་ལ་འཇུག་ཅིང་མཐའ་དང་། མཐའ་མེད་པར་ལྟ་བའི་བག་ཆགས་ཀྱི་མཚམས་སྦྱོར་བ་ཀུན་གཅོད་པ་དང་། སེང་གེ་ལྟར་འཇིགས་པ་མེད་ཅིང་སྒྲ་མངོན་པར་སྒྲོགས་པ་། ཆོས་ཆེན་པོའི་འབྲུག་སྒྲ་སྒྲོགས་པ་།
 tulyātulyasamatikrāntaiḥ,	མཚུངས་པ་དང་། མི་མཚུངས་པའི་ཆོས་ལས་ཡང་དག་པར་འདས་པ་།
 dharmaratnaprajñāsamudānītamahāsārthavāhaiḥ ṛjusūkṣmamṛdudurdṛśaduranubodhasarvadharmakuśalaiḥ,	ཆོས་རིན་པོ་ཆེའི་ཤེས་རབ་དང་། བསོད་ནམས་ཀྱི་ཚོགས་ཡང་དག་པར་སྒྲུབ་པའི་དེད་དཔོན་ཆེན་པོ་། དྲང་བ་དང་། ཞི་བ་དང་། ཕྲ་བ་དང་། འཇམ་པ་དང་། བལྟ་དཀའ་བ་དང་། རྟོགས་པར་དཀའ་བའི་ཆོས་ཀྱི་ཚུལ་ལ་མཁས་པ་།
 āgatisatvāśayamatimanupraviṣṭajñānaviṣayibhiḥ,	སེམས་ཅན་རྣམས་ཀྱི་འོང་བ་དང་། འགྲོ་བ་དང་། སེམས་ཅན་གྱི་བསམ་པ་རྟོགས་པའི་རྗེས་སུ་ཞུགས་༄༢༧༢ཨ་༌༎
 asamasamabuddhajñānābhiṣekābhiṣiktaiḥ,	པའི་ཡེ་ཤེས་ཀྱི་ཡུལ་དང་ལྡན་པ་། མི་མཉམ་པ་དང་། མཉམ་པའི་སངས་རྒྱས་ཀྱི་ཡེ་ཤེས་ལ་དབང་བསྐུར་བས་དབང་བསྐུར་བ་།
 daśabalavaiśāradyāveṇikabuddhadharmādhyāśayagataiḥ sarvāpāyadurgativinipātotkṣiptaparikhaiḥ, saṃcintyabhavagatyupapattisaṃdarśayitṛbhiḥ,	སྟོབས་བཅུ་དང་། མི་འཇིགས་པ་དང་། སངས་རྒྱས་ཀྱི་མ་འདྲེས་པ་ལ་ལྷག་པའི་བསམ་པས་ཞུགས་པ་། ངན་སོང་གི་འཇིགས་པ་དང་། ངན་འགྲོ་ལོག་པར་ལྟུང་བའི་འཇིགས་པའི་འོབས་ཐམས་ཅད་ལས་བརྒལ་བས་བསམས་བཞིན་དུ་སྲིད་པའི་འགྲོ་བར་སྐྱེ་བ་སྟོན་པ་།
 mahāvaidyarājaiḥ,	སྨན་པའི་རྒྱལ་པོ་ཆེན་པོ་།
 sarvasatvavinayavidhijñaiḥ,	སེམས་ཅན་ཐམས་ཅད་འདུལ་བའི་ཆོ་ག་ལ་མཁས་པ་། སེམས་ཅན་ཐམས་ཅད་ཀྱི་ཉོན་མོངས་པའི་ནད་ཐམས་ཅད་རྟོགས་པ་།
 yathārhadharmabhaiṣajyaprayogaprayuktaiḥ,	ཅི་རིགས་པར་ཆོས་ཀྱི་སྨན་སྦྱར་བ་རབ་ཏུ་སྦྱོར་བ་།
 anantaguṇākarasamanvāgataiḥ,	ཡོན་ཏན་མཐའ་ཡས་པའི་འབྱུང་གནས་དང་ལྡན་པ་།
 anantabuddhakṣetraguṇavyūhasamalaṃkṛtaiḥ, amoghaśravaṇadarśanaiḥ,	སངས་རྒྱས་ཀྱི་ཞིང་མཐའ་ཡས་པར་ཡོན་ཏན་བཀོད་པས་ལེགས་པར་བརྒྱན་པ་མཐོང་བ་དང་། ཐོས་པ་འབྲས་བུ་ཡོད་པ་།
 amoghapadavikramaiḥ,	གོམ་པ་འདོར་བ་འབྲས་བུ་ཡོད་པ་།
 aparimitakalpakoṭīniyutaśatasahasraguṇaparikīrtanāparyantaguṇaughaiḥ | vkn 1|4 tadyathā samadarśinā ca nāma bodhisatvena mahāsatvena samaviṣamadarśinā ca,	བསྐལ་པ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དཔག་ཏུ་མེད་པར་ཡོན་ཏན་ཡོངས་སུ་བརྗོད་ཀྱང་ཡོན་ཏན་གྱི་ཆུ་བོ་མཐའ་ཡས་བར་རྟོགས་པ་ལ་། འདི་ལྟ་སྟེ་།
 samādhivikurvaṇarājena ca, dharmeśvareṇa ca, dharmaketunā ca, prabhāketunā ca, prabhāvyūhena ca, mahāvyūhena ca, ratnakūṭena ca, pratibhānakūṭena ca, ratnamudrāhastena ca, nityotkṣiptahastena ca, nityotpalakṛtahastena ca, nityotkaṇṭhitena ca, nityaprahasitapramuditendriyeṇa ca, prāmodyarājena ca, devarājena ca, praṇidhiprayātaprāptena ca, pratisaṃvitpraṇādaprāptena ca, gaganagañjena ca, ratnolkādhāriṇā ca, ratnavīreṇa ca, ratnaśriyā ca, ratnanandinā ca, indrajālinā ca, jāliniprabheṇa ca, anāraṃbaṇadhyāyinā ca, prajñākūṭena ca, ratnajahena ca, mārapramardinā ca, vidyuddevena ca, vikurvaṇarājena ca, lakṣaṇakūṭena ca, lakṣaṇakūṭasamatikrāntena ca, siṃhaghoṣābhigarjitasvareṇa ca, śailaśikharasaṃghaṭṭanarājena ca, gandhahastinā ca, gajagandhahastinā ca, satatodyuktena ca, anikṣiptadhureṇa ca, sumatinā ca, sujātena ca, padmaśrīgarbheṇa ca, padmavyūhena ca, avalokiteśvareṇa ca, mahāsthāmaprāptena ca, brahmajālinā ca, ratnayaṣṭinā ca, mārajitena ca, kṣetrālaṃkṛtena ca,	བྱང་ཆུབ་སེམས་དཔའ་མཉམ་པར་ལྟ་བ་ཞེས་བྱ་དང་། མཉམ་མི་མཉམ་ལྟ་བ་དང་། ཏིང་ངེ་འཛིན་རྣམ་པར་སྤྲུལ་པའི་རྒྱལ་པོ་དང་། ཆོས་ཀྱི་དབང་ཕྱུག་དང་། ཆོས་ཀྱི་ཏོག་དང་། འོད་ཀྱི་ཏོག་དང་། འོད་བཀོད་པ་དང་། རིན་པོ་ཆེ་བཀོད་པ་དང་། ༄༢༧༢བ་བཀོད་པ་ཆེན་པོ་དང་། སྤོབས་པ་བརྩེགས་པ་དང་། རིན་པོ་ཆེ་བརྩེགས་པ་དང་། ལག་ན་རིན་པོ་ཆེ་དང་། ལག་ན་ཕྱག་རྒྱ་རིན་པོ་ཆེ་དང་། རྟག་ཏུ་ལག་བརྐྱང་དང་། རྟག་ཏུ་ལག་བཏེག་དང་། རྟག་ཏུ་གདུང་དང་། རྟག་ཏུ་དགའ་དགོད་དབང་པོ་དང་། མཆོག་ཏུ་དགའ་བའི་རྒྱལ་པོ་དང་། ལྷའི་རྒྱལ་པོ་དང་། སྨོན་ལམ་ལ་ཞུགས་པས་ཕྱིན་པ་དང་། སོ་སོ་ཡང་དག་པར་རིག་པ་རབ་ཏུ་སྒྲུབ་པ་ཐོབ་དང་། ནམ་མཁའི་མཛོད་དང་། རིན་ཆེན་སྒྲོན་མ་འཛིན་དང་། རིན་ཆེན་དཔའ་དང་། རིན་ཆེན་དགའ་བ་དང་། རིན་ཆེན་དཔལ་དང་མིག་འཕྲུལ་ཅན་དང་། དྲ་བ་ཅན་གྱི་འོད་དང་། དམིགས་པ་མེད་པའི་བསམ་གཏན་དང་། ཤེས་རབ་བརྩེགས་དང་། རིན་ཆེན་གཏོང་དང་། བདུད་འཇོམས་དང་། གློག་གི་ལྷ་དང་། རྣམ་པར་འཕྲུལ་པའི་རྒྱལ་པོ་དང་། མཚན་བརྩེགས་ཡང་དག་འདས་དང་། སེང་གེའི་ང་རོ་མངོན་པར་བསྒྲགས་པའི་དབྱངས་དང་། རིའི་རྩ་མོ་ཀུན་ཏུ་འཇོམས་པའི་རྒྱལ་པོ་དང་། སྤོས་ཀྱི་གླང་པོ་ཆེ་དང་། སྤོས་ཀྱི་བླ་གླང་གླང་པོ་ཆེ་དང་། རྟག་ཏུ་འབད་དང་། བརྩོན་པ་མི་འདོར་བ་དང་། རབ་ཀྱི་བློ་གྲོས་དང་། མཛེས་པར་སྐྱེས་དང་། པད་མོའི་དཔལ་གྱི་སྙིང་པོ་དང་། པད་མོ་བཀོད་པ་དང་། སྤྱན་རས་གཟིགས་ཀྱི་དབང་ཕྱུག་དང་། མཐུ་ཆེན་ཐོབ་དང་། ཚངས་པའི་དྲ་བ་ཅན་དང་། རིན་ཆེན་གདན་དཀར་ཅན་དང་། བདུད་ལས་རྒྱལ་༄༢༧༣ཨ་༌༎
 maṇiratnacchatreṇa ca, suvarṇacūḍena ca, maṇicūḍena ca, maitreyeṇa ca, mañjuśriyā ca kumārabhūtena bodhisatvena mahāsatvena,	དང༏་ཞིང་སྙོམས་རྒྱན་དང་༎ ནོར་བུ་རིན་ཆེན་གདུགས་དང་། གཙུག་ན་གསེར་དང་། གཙུག་ན་ནོར་བུ་དང་། བྱམས་པ་དང་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དང་། དེ་དག་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་སུམ་ཁྲི་ཉི་ས་སྟོང་ངོ་༎
