skt	tib
 prajñāpāramitā-hṛdaya-sūtra oṃ namo bhagavatyai ārya-prajāpāramitāyai|	༄༤༥ཨ་། །རྒྱ་གར་སྐད་དུ་། བྷ་ག་ཝ་ཏི་པྲཛཉའ་པའ་ར་མི་ཏ་ཧྲི་ད་ཡ་། བོད་སྐད་དུ་། བཅོམ་ལྡན་འདས་མ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྙིང་པོ་། བམ་པོ་གཅིག་གོ་། བཅོམ་ལྡན་འདས་མ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་ཕྱག་འཚལ་ལོ་༎ འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན་། བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་བྱ་རྒོད་ཕུང་པོའི་རི་ལ་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་གཅིག་ཏུ་བཞུགས་ཏེ་། དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཟབ་མོ་སྣང་བ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་ཀྱི་ཏིང་ངེ་འཛིན་ལ་སྙོམས་པར་ཞུགས་སོ་༎
 ārya āvalokiteśvaro bodhisattvo gambhīraṃ prajñāpāramitā-cāryāṃ caramāṇo vyavalokayati sma,	ཡང་དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཟབ་མོ་སྤྱོད་པ་ཉིད་ལ་རྣམ་པར་ལྟ་ཞིང་།
 pañca-skandhās tāṃś ca svabhāva-śūnyān paśyati sma|	ཕུང་པོ་ལྔ་པོ་དེ་དག་ལ་ཡང་རང་བཞིན་གྱིས་སྟོང་པར་རྣམ་པར་ལྟའོ་༎ དེ་ནས་སངས་རྒྱས་ཀྱི་མཐུས་། ཚེ་དང་ལྡན་པ་ཤའ་རིའི་བུས་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ་༎ རིགས་ཀྱི་བུ་འམ་། རིགས་ཀྱི་བུ་མོ་གང་ལ་ལ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཟབ་མོ་སྤྱོད་པ་སྤྱད་པར་འདོད་པ་དེས་༄༤༥བ་ཇི་ལྟར་བསླབ་པར་བྱ་། དེ་སྐད་ཅེས་སྨྲས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་གིས་ཆེ་དང་ལྡན་བ་ཤ་རདབ༹་ཏིའི་བུ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ་། ཤའ་རིའི་བུ་། རིགས་ཀྱི་བུའམ་། རིགས་ཀྱི་བུ་མོ་གང་ལ་ལ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཟབ་མོ་སྤྱོད་པ་སྤྱད་པར་འདོད་པ་དེས་འདི་ལྟར་རྣམ་པར་བལྟ་བར་བྱ་སྟེ༏་ཕུང་པོ་ལྔ་པོ་དེ་དག་ཀྱང་རང་བཞིན་གྱིས་སྟོང་པར་རྣམ་པར་ཡང་དག་པར་རྗེས་སུ་བལྟའོ་༎ 
 iha śāriputra rūpaṃ śūnyatā,	གཟུགས་སྟོང་པའོ་༎
 śūnyat'aiva rūpaṃ,	སྟོང་པ་ཉིད་གཟུགས་སོ་༎
 rūpān na pṛthak śūnyatā, śūnyatāyā na pṛthag rūpaṃ, yad rūpaṃ sā śūnyatā,	གཟུགས་ལས་སྟོང་པ་ཉིད་གཞན་མ་ཡིན༏་སྟོང་པ་ཉིད་ལས་ཀྱང་གཟུགས་གཞན་མ་ཡིན་ནོ་༎
 yā śūnyatā tad rūpaṃ| evam eva vedanā-saṃjñā-saṃskārā-vijñānam|	དེ་བཞིན་དུ་ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་རྣམས་དང་། རྣམ་པར་ཤེས་པ་རྣམས་སྟོང་པའོ་༎
 iha śāriputra sarva-dharmāḥ śūnyatā-lakṣaṇā	ཤའ་རིའི་བུ༏་དེ་ལྟ་བས་ན་། ཆོས་ཐམས་ཅད་སྟོང་པ་ཉིད་དེ་། མཚན་ཉིད་མེད་པ་། མ་སྐྱེས་པ་།
 anutpannā aniruddhā amalā avimalā anūnā aparipūrṇāḥ|	མ་འགགས་པ་། དྲི་མ་མེད་པ་། དྲི་མ་དང་བྲལ་བ་མེད་པ་། བྲི་བ་མེད་པ་། གང་བ་མེད་པའོ༏་༏ཤའ་རིའི་བུ་།
 tasmāc chāriputra śūnyatāyāṃ na rūpaṃ	དེ་ལྟ་བས་ན་། སྟོང་པ་ཉིད་ལ་གཟུགས་མེད་།
 na vedanā na saṃjñā na saṃskārāḥ na vijñānaṃ,	ཚོར་བ་མེད་། འདུ་ཤེས་མེད་། འདུ་བྱེད་རྣམས་མེད་། རྣམ་པར་ཤེས་པ་མེད་།
 na cakṣuḥ-śrotra-ghrāṇa-jihvā-kāya-manāṃsi,	མིག་མེད་། རྣ་བ་མེད༏་སྣ་མེད་། ལྕེ་མེད་། ལུས་མེད་། ཡིད་མེད་། གཟུགས་མེད་། སྒྲ་མེད་། དྲི་མེད་།
 na rūpa-śabda-gandha-rasa-spraṣṭavya-dharmāḥ,	རོ་མེད་། རེག་བྱ་མེད་། ཆོས་མེད་དོ་༎
 na cakṣur-dhātur yāvan na mano-vijñāna-dhātuḥ,	མིག་གི་ཁམས་མེད་པ་ནས་། ཡིད་ཀྱི་ཁམས་༄༤༦ཨ་༌༎ མེད༏་ཡིད་ཀྱི་རྣམ་པར་ཤེས་པའི་ཁམས་ཀྱི་བར་དུ་ཡང་མེད་དོ་༎
 n'āvidyā n'āvidyā-kṣayo yāvan na jarā-maraṇaṃ	མ་རིག་པ་མེད་༎ མ་རིག་པ་ཟད་པ་མེད་པ་ནས་། རྒ་ཤི་མེད་།
 na jarā-maraṇa-kṣayo na duḥkha-samudaya-nirodha-mārgā	རྒ་ཤི་ཟད་པའི་བར་དུ་ཡང་མེད་དོ་༎ སྡུག་བསྔལ་བ་དང་། ཀུན་འབྱུང་བ་དང་། འགོག་པ་དང་། ལམ་མེད་།
 na jñānaṃ na prāptir n'āprāptiḥ|	ཡེ་ཤེས་མེད་། ཐོབ་པ་མེད་། མ་ཐོབ་པ་ཡང་མེད་དོ་༎ ཤའ་རིའི་བུ་།
 tasmāc chāriputra aprāptitvād bodhisattvo	དེ་ལྟ་བས་ན་། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཐོབ་པ་མེད་པའི་ཕྱིར་།
 prajñā-pāramitām āśritya viharaty acitt'āvaraṇaḥ|	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཟབ་མོ་ལ་བརྟེན་ཅིང་གནས་ཏེ་།
 citt'āvaraṇa-nāstitvād atrasto	སེམས་ལ་སྒྲིབ་པ་མེད་པས་སྐྲག་པ་མེད་དེ་།
