skt	tib
 śāntidevaviracitaḥ bodhicaryāvatāraḥ | prajñākaramativiracitayā pañjikākhyavyākhyayā saṃvalitaḥ |	༄༤༡བ་༅་༎ རྒྱ་གར་སྐད་དུ་། བོ་དྷི་ཙའརྱ་ཨཨ་བ་ཏའ་ར་པཉཙི་ཀའ་། བོད་སྐད་དུ་། བྱང་ཆུབ་ཀྱི་སྤྱོད་པ་ལ་འཇུག་པའི་དཀའ་འགྲེལ་། འཕགས་པ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 || oṃ namo buddhāya |	འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ལ་ཕྱག་འཚལ་ལོ་༎ བམ་པོ་དང་པོ་༎ བདེ་བར་གཤེགས་པ་ཆོས་སྐུ་དང་བཅས་རྣམས་དང་བདེ་གཤེགས་སྲས་༎ གཏི་མུག་ལྗོན་པ་རྩ་ནས་བཏོན་ཅིང་སྤྲོས་པ་རྣམས་བཅོམ་པ་༎ སྐྱེ་སྩོགས་སྡུག་བསྔལ་གྱིས་བཅོམ་སེམས་ཅན་ཕན་ལ་རྗེས་འཇུག་པ་༎ འོད་ཟེར་ཆེན་པོས་རྒྱལ་བ་རྣམས་ལ་སྤྱི་བོས་ཕྱག་འཚལ་ཏེ་༎ བྱང་ཆུབ་སྤྱོད་ལ་འཇུག་པ་ཡི་༎ ཚིག་དོན་ཟབ་མོ་རྟོགས་བྱེད་པ་༎ ཚིག་དང་ངག་རྣམས་རབ་གསལ་བའི་༎ དཀའ་འགྲེལ་བདག་གིས་བརྩམ་པར་བྱ་༎ བྱང་ཆུབ་སྤྱོད་ལ་འཇུག་པའི་དོན་གང་ཡིན་ལ་ཤིན་ཏུ་བློ་གྲོས་གསལ་བ་དང་༎ གསུང་རབ་རོ་ལ་གོམས་པས་ཞུགས་པའི་ནང་གི་བདག་ཉིད་ཅན་གྱིས་བརྗོད་ནུས་ཏེ་༎ དེ་ཡི་དོན་ལ་བློ་གྲོས་བླུན་བདག་སྨྲ་བར་དབང་བ་ཅི་ཞིག་དེ་ལྟ་ནའང་༎ གང་ཕྱིར་དགེ་བ་གོམས་བྱས་ལེགས་པའི་འབྲས་བུར་གྱུར་པ་དེས་ན་བདག་འཇུག་ཡིན་༎ ཡོན་ཏན་བག་ཆགས་ཅུང་ཟད་དང་ནི་སྤོབས་པ་དང་༎ ཡོན་ཏན་གྱིས་མཛེས་བློ་གྲོས་བདག་ལ་འགའ་མེད་ཀྱང་༎ དེ་ལྟ་མོད་ཀྱི་དེ་འདྲ་ལ་བདག་ཚིག་འཇུག་གང་༎ བཤེས་གཉེན་དམ་པ་བསྟེན་པའི་འབྲས་བུར་གྱུར་པ་ཡིན་༎ འདིར་འཕགས་པ་ཞི་བའི་ལྷ་དེ་གསུང་རབ་མཐའ་དག་གི་དོན་གྱི་དེ་ཁོ་ན་ཉིད་རྟོགས་ཤིང་། ཏིང་ངེ་འཛིན་གྱི་ཆེ་བའི་བདག་ཉིད་བརྙེས་པ་། ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་བཞེད་པ་། སེམས་ཅན་རྣམས་ལ་ཐུགས་རྗེ་དང་ལྡན་པ་། རང་གི་བདེ་བ་ལ་ལྟོས་པ་མེད་པ་། གཞན་ལ་ཕན་པ་དང་བདེ་བ་བཞེད་པ་། བྱང་ཆུབ་སེམས་དཔའི་ཡོན་ཏན་ལ་ཐུགས་གཞོལ་བ་། བདག་ཉིད་ཡོན་ཏན་དེ་ལ་གོམས་པས་རོ་མཆོག་ལ་ཞུགས་ཤིང་། གཞན་དག་ལ་ཡང་ལམ་དེ་བསྟན་པའི་ཆེད་དུ་བྱང་ཆུབ་ཀྱི་སྤྱོད་པ་ལ་འཇུག་པ་མཛད་པར་བཞེད་ནས་། བདེ་གཤེགས་ཞེས་བྱ་བ་ལ་སོགས་པའི་ཚིགས་སུ་བཅད་པ་གསུངས་པ་ལ་།
 1| bodhicittānuśaṃso nāma prathamaḥ paricchedaḥ |	ཚིགས་སུ་བཅད་པ་འདིས་ནི་མདོར་བསྡུས་ནས་དོན་བདུན་བསྟན་ཏེ་།
 sugatān sasutān sadharmakāyān praṇipatyādarato 'khilāṃśca bandyān |	དཀོན་མཆོག་གསུམ་དང་མཁན་པོ་ལ་སོགས་པ་ཕྱག་བྱ་བར་འོས་པ་རྣམས་ལ་ཕྱག་འཚལ་བ་དང་། བརྗོད་༄༤༢ཨ་༌་༎
 sugatātmajasaṃvarāvatāraṃ kathayiṣyāmi yathāgamaṃ samāsāt || bca_1|1 ||	པར་བྱ་བ་དང་། དགོས་པ་དང་། དེའི་འགྲེལ་པ་བརྗོད་པ་བསྟན་པ་དང་། རང་བཟོར་རྩོམ་པ་སྤོང་བ་དང་། ཟློས་པའི་ཉེས་པ་སྤང་བའོ་༎ དེ་ལ་། བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་༎ ཞེས་པ་ནི་དཀོན་མཆོག་གསུམ་བསྟན་ཏོ་༎ ཕྱག་འཚལ་ཏེ་ཞེས་བྱ་བས་ནི་ཕྱག་འཚལ་བའི་བྱ་བའོ་༎ གུས་པས་ཞེས་པས་ནི་དེ་ཉིད་ཀྱི་ཁྱད་པར་རོ་༎
 |||||||||||| akhilāṃśca bandyāniti kalyāṇamitraprabhṛtīnām |	ཕྱག་འོས་ཀུན་ལའང་ཞེས་པས་ནི་དགེ་བའི་བཤེས་གཉེན་ལ་སོགས་པ་རྣམས་ལའོ་༎
 sugatātmajasaṃvarāvatāramiti abhidheyakathanam |	བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ཞེས་བྱ་བས་བརྗོད་པར་བྱ་བ་བསྟན་ཏོ་༎
 kathayiṣyāmīti prayojanābhidhānam |	བསྟན་པར་བྱ་ཞེས་པས་ནི་དགོས་པ་བརྗོད་དོ་༎
 saṃbandhapratipādanapadaṃ tu na vidyate,	འབྲེལ་པ་སྟོན་པའི་ཚིག་ནི་མེད་དེ་།
 sāmarthyādeva tu sa pratipattavyaḥ |	དེ་ནི་ཤུགས་ཉིད་ཀྱིས་རྟོགས་པར་བྱའོ་༎
 yathāgamamiti svātantryaparihārapadam |	ལུང་བཞིན་ཞེས་པ་ནི་རང་བཟོར་རྩོམ་པ་སྤོང་བའི་ཚིག་གོ་༎
 samāsāditi punaruktatāparihāravacanam |	མདོར་བསྡུས་ནས་ཞེས་པ་ནི་ཟློས་པ་སྤོང་བའི་ཚིག་སྟེ་།
 iti samudāyārthaḥ |	འདི་ནི་བསྡུས་པའི་དོན་ཏོ་༎
 avayavārthastu ucyate |	ཡན་ལག་གི་དོན་ཡང་བརྗོད་པར་བྱ་སྟེ་། བདེ་གཤེགས་ཞེས་པ་ལ་།
 sugatānityatra gataśabdena sarvapṛthagjanebhyo bhagavatāṃ vyavacchedaṃ darśayati, teṣāṃ saṃsārāntargatatvāt,	འདིར་གཤེགས་པའི་སྒྲས་ནི་སོ་སོའི་སྐྱེ་བོ་རྣམས་ལས་བཅོམ་ལྡན་འདས་རྣམ་པར་གཅོད་པ་སྟོན་ཏེ་། དེ་རྣམས་ནི་འཁོར་བའི་ནང་ན་གནས་པའི་ཕྱིར་དང་། བཅོམ་ལྡན་འདས་ནི་འཁོར་བ་ལས་རྣམ་པར་གཤེགས་པའི་ཕྱིར་རོ་༎
 bhagavatāṃ tu saṃsāravinirgatatvāt | suśabdastu praśastādyarthatrayavṛttiviśiṣṭaṃ suga|||||||||| |	བདེ་བའི་སྒྲ་ནི་མཛེས་པ་ལ་སོགས་པ་དོན་གསུམ་ལ་འཇུག་པས་ཁྱད་པར་འཕགས་པའི་བདེ་བར་གཤེགས་པ་ཉིད་གསུངས་སོ་༎
 tenāyamarthaḥ- praśastaṃ yathā bhavati evaṃ madhyamapratipadā kleśādyāvaraṇaprahāṇaṃ gatāḥ sugatāḥ |	དེ་བས་ན་དོན་ནི་འདི་ཡིན་ཏེ་། ཅི་ལྟ་བ་བཞིན་དུ་བསྔགས་པར་འགྱུར་བ་ནི་འདི་ལྟར་དབུ་མའི་དོན་རྟོགས་པས་ཉོན་མོངས་པ་ལ་སོགས་པའི་སྒྲིབ་པ་སྤངས་པར་གཤེགས་པས་བདེ་བར་གཤེགས་པ་སྟེ་།
 anena prahāṇasaṃpattiruktā |	འདིས་ནི་སྤངས་པ་ཕུན་སུམ་ཚོགས་པ་བསྟན་ཏོ་༎
 yadi vā | praśastaṃ sarvadharmaniḥsvabhāvatātattvaṃ gatā adhigatāḥ sugatāḥ |	ཡང་ན་བསྔགས་པས་ཆོས་ཐམས་ཅད་རང་བཞིན་མེད་པའི་དེ་ཁོ་ན་ཉིད་དུ་གཤེགས་པ་ནི་རྟོགས་པ་སྟེ་བདེ་བར་གཤེགས་པའོ་༎
