skt	tib
 pratyayaparīkṣā nāma prathamaṃ prakaraṇam | āryamañjuśriye kumārabhūtāya namaḥ |	༄༡བ་༅་༎ རྒྱ་གར་སྐད་དུ་། མའུ་ལ་མའ་དྷཡའ་མི་ཀི་པྲཏཏི་པྲ་སན་ན་པ་ད་ནའ་མ་། བོད་སྐད་དུ་། དབུ་མ་རྩ་བའི་འགྲེལ་པ་ཚིགས་གསལ་བ་ཞེས་བྱ་བ་། འཕགས་པ་dd་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 yo 'ntadvayāvāsavidhūtavāsaḥ saṃbuddhadhīsāgaralabdhajanmā |	གང་ཞིག་མཐའ་གཉིས་གནས་ལ་གནས་བསལ་ཞིང་༎ རྫོགས་སངས་རྒྱས་བློ་རྒྱ་མཚོར་སྐྱེ་བ་བརྙེས་༎
 saddharmatoyasya gabhīrabhāvaṃ yathānubuddhaṃ kṛpayā jagāda || 1 ||	དམ་ཆོས་མཛོད་ཀྱི་ཟབ་མོ་ཉིད་ཇི་ལྟར་༎ རྗེས་སུ་རྟོགས་བཞིན་ཐུགས་རྗེས་སྟོན་པར་མཛད་༎ གང་གིས་ལྟ་བའི་མེ་དག་གིས་༎
 yasya darśanatejāṃsi paravādimatendhanam |	ད་དུང་ཕས་རྒོལ་གཞུང་ལུགས་ཀྱི་༎ བུད་ཤིང་དང་ནི་འཇིག་རྟེན་གྱི་༎
 dahantyadyāpi lokasya mānasāni tamāṃsi ca || 2 ||	ཡིད་ཀྱི་མུན་རྣམས་འཇོམས་པར་མཛད་༎
 yasyāsamajñānavacaḥśaraughā nighnanti niḥśeṣabhavārisenām |	གང་གི་གཉིས་མེད་ཡེ་ཤེས་གསུང་མདའི་ཚོགས་༎
 tridhāturājyaśriyamādadhānā vineyalokasya sadevakasya || 3 ||	ལྷ་དང་བཅས་པའི་གདུལ་བྱའི་འཇིག་རྟེན་ལ་༎ ཁམས་གསུམ་དག་ཏུ་རྒྱལ་ཐབས་ལེགས་མཛད་པས་༎ སྲིད་པའི་དགྲ་སྡེ་མ་ལུས་འཇོམས་མཛད་པའི་༎
 nāgārjunāya praṇipatya tasmai tatkārikāṇāṃ vivṛtiṃ kariṣye |	ཀླུ་སྒྲུབ་དེ་ལ་ཕྱག་འཚལ་ནས་ནི་དེའི་༎ ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་སླ་བ་དང་༎ སྡེབ་ལེགས་ངག་གིས་སྦྱར་ཞིང་༄༢ཨ་༌་༎ རྟོག་གེ་ཡི་༎
 uttānasatprakriyavākyanaddhāṃ tarkānilāvyākulitāṃ prasannām || 4 ||	རླུང་གིས་མ་དཀྲུགས་རབ་ཏུ་གསལ་བར་བྱ་༎
 tatra 'na svato nāpi parato na dvābhyām';	དེ་ལ་བདག་ལས་མ་ཡིན་གཞན་ལས་མིན་༎
 ityādi vakṣyamāṇaṃ śāstram |	ཞེས་བྱ་བ་ལ་སོགས་པ་ནི་འཆད་པར་འགྱུར་བའི་བསྟན་བཅོས་སོ་༎
 tasya kāni saṃbandhābhidhānaprayojanāni iti praśne,	དེའི་འབྲེལ་པ་དང་བརྗོད་པར་བྱ་བ་དང་། དགོས་པའི་དགོས་པ་དག་གང་ཡིན་ཞེས་འདྲི་ན་༎
 madhyamakāvatāravihitavidhinā advayajñānālaṃkṛtaṃ mahākaruṇopāyapuraḥsaraṃ prathamacittotpādaṃ	དབུ་མ་ལ་འཇུག་པ་ལས་བསྟན་པའི་ཚུལ་གྱིས་སེམས་བསྐྱེད་པ་དང་པོ་གཉིས་སུ་མེད་པའི་ཡེ་ཤེས་ཀྱིས་བརྒྱན་པ་། སྙིང་རྗེ་ཆེན་པོ་སྔོན་དུ་འགྲོ་བ་། དེ་བཞིན་གཤེགས་པའི་ཡེ་ཤེས་འབྱུང་བའི་རྒྱུར་གྱུར་པ་ཐོག་མར་མཛད་ནས་།
 tathāgatajñānotpattihetumādiṃ kṛtvā yāvadācāryanāgārjunasya viditāviparītaprajñāpāramitānīteḥ karuṇayā parāvabodhārthaṃ śāstrapraṇayanam, ityeṣa tāvacchāstrasya saṃbandhaḥ- yacchāsti vaḥ kleśaripūnaśeṣānsaṃtrāyate durgatito bhavācca |	མཐར་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཚུལ་ཕྱིན་ཅི་མ་ལོག་པ་ཐུགས་སུ་ཆུད་པར་གྱུར་པའི་སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱིས་གཞན་ཁོང་དུ་ཆུད་པར་བྱ་བའི་ཕྱིར་སྙིང་རྗེས་བསྟན་བཅོས་མཛད་དེ་ཞེས་བྱ་བ་འདི་ནི་རེ་ཞིག་བསྟན་བཅོས་ཀྱི་འབྲེལ་པ་ཡིན་ནོ་༎
 tacchāsanāttrāṇaguṇācca śāstrametadvayaṃ cānyamateṣu nāsti || iti | svayameva cācāryo vakṣyamāṇasakalaśāstrābhidheyārtha saprayojanamupadarśayan,	སློབ་དཔོན་རང་ཉིད་འཆད་པར་འགྱུར་བའི་བསྟན་བཅོས་མཐའ་དག་གི་བརྗོད་པར་བྱ་བའི་དོན་དགོས་པ་དང་བཅས་པ་སྟོན་ཞིང་།
