skt	tib
 pariccheda 1 aum namo buddhāya |	༄༡བ་༅་༎ རྒྱ་གར་སྐད་དུ་། བོ་དྷི་སཏབ༹་ཙརྱ་ཨཨ་བ་ཏའ་ར་། བོད་སྐད་དུ་། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་dd་ལ་ཕྱག་འཚལ་ལོ་༎
 sugatān sasutān sadharmakāyān praṇipatyādarato 'khilāṃśca vandyān |	བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་༎ ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ་༎
 sugatātmajasaṃvarāvatāraṃ kathayiṣyāmi yathāgamaṃ samāsāt || bca_1|1 ||	བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི་༎ ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ་༎ སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད་༎
 na hi kiṃcidapūrvamatra vācyaṃ na ca saṃgrathanakauśalaṃ mamāsti |	སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ་༎
 ataeva na me parārthacintā svamano vāsayituṃ kṛtaṃ mamedaṃ || bca_1|2 ||	དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད་༎ རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས་༎
 mama tāvadanena yāti vṛddhiṃ kuśalaṃ bhāvayituṃ prasādavegaḥ |	དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས་༎ འདི་དག་གིས་ཀྱང་རེ་ཞིག་འཕེལ་འགྱུར་ལ་༎ བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་༎
 atha matsamadhātureva paśyed aparo 'pyenamato 'pi sārthako 'yaṃ || bca_1|3 ||	ཅི་སྟེ་འདི་དག་མཐོང་ན་དོན་ཡོད་འགྱུར་༎
 kṣaṇasaṃpadiyaṃ sudurlabhā pratilabdhā puruṣārthasādhanī |	དལ་འབྱོར་འདི་ནི་རྙེད་པར་ཤིན་ཏུ་དཀའ་༎ སྐྱེས་བུའི་དོན་སྒྲུབ་ཐོབ་པར་གྱུར་པ་ལ་༎
 yadi nātra vicintyate hitaṃ punarapyeṣa samāgamaḥ kutaḥ || bca_1|4 ||	གལ་ཏེ་འདི་ལ་ཕན་པ་༄༢ཨ་༌་༎ མ་བསྒྲུབས་ན་༎ ཕྱིས་འདི་ཡང་དག་འབྱོར་པར་ག་ལ་འགྱུར་༎
 rātrau yathā meghaghanāndhakāre vidyutkṣaṇaṃ darśayati prakāśaṃ |	ཇི་ལྟར་མཚན་མོ་མུན་ནག་སྤྲིན་རུམ་ན་༎ གློག་འགྱུ་སྐད་ཅིག་བར་སྣང་སྟོན་པ་ལྟར་༎ ད་བཞིན་སངས་རྒྱས་མཐུ་ཡིས་བརྒྱ་ལམ་ན་༎
 buddhānubhāvena tathā kadācil-lokasya puṇyeṣu matiḥ kṣaṇaṃ syāt || bca_1|5 ||	འཇིག་རྟེན་བསོད་ནམས་བློ་གྲོས་ཐང་འགའ་འབྱུང་༎
 tasmācchubhaṃ durbalameva nityaṃ balaṃ tu pāpasya mahatsughoraṃ |	དེ་ལྟས་དགེ་བ་ཉམ་ཆུང་ཉིད་ལ་རྟག་༎ སྡིག་པ་སྟོབས་ཆེན་ཤིན་ཏུ་མི་བཟད་པ་༎
 tajjīyate 'nyena śubhena kena saṃbodhicittaṃ yadi nāma na syāt || bca_1|6 ||	དེ་ནི་རྫོགས་པའི་བྱང་ཆུབ་སེམས་མིན་པ་༎ དགེ་གཞན་གང་གིས་ཟིལ་གྱིས་གནོན་པར་འགྱུར་༎
 kalpānanalpān pravicintayadbhir dṛṣṭaṃ munīndrairhitametadeva |	བསྐལ་པ་དུ་མར་རབ་དགོངས་མཛད་པ་ཡི་༎ ཐུབ་དབང་རྣམས་ཀྱིས་འདི་ཉིད་ཕན་བར་གཟིགས་༎ འདིས་ནི་ཚད་མེད་སྐྱེ་བོའི་ཚོགས་རྣམས་ཀྱིས་༎
 yataḥ sukhenaiva sukhaṃ pravṛddham utplāvayatyapramitāñjanaughān || bca_1|7 ||	བདེ་མཆོག་བདེ་བླག་ཉིད་དུ་ཐོབ་པར་བྱེད་༎
 bhavaduḥkhaśatāni tartukāmair api sattvavyasanāni hartukāmaiḥ |	སྲིད་པའི་སྡུག་བསྔལ་བརྒྱ་ཕྲག་གཞོམ་འདོད་ཅིང་༎
 bahusaukhyaśatāni bhoktukāmair na vimocyaṃ hi sadaiva bodhicittaṃ || bca_1|8 ||	སེམས་ཅན་མི་བདེ་བསལ་བར་འདོད་པ་དང་༎ བདེ་མང་བརྒྱ་ཕྲག་སྤྱོད་པར་འདོད་པས་ཀྱང་༎ བྱང་ཆུབ་སེམས་ཉིད་རྟག་ཏུ་གཏང་མི་བྱ་༎ བྱང་ཆུབ་སེམས་སྐྱེས་གྱུར་ན་སྐད་ཅིག་གིས་༎ འཁོར་བའི་བཙོན་རར་བསྡམས་པའི་ཉམ་ཐག་རྣམས་༎
 bhavacārakabandhano varākaḥ sugatānāṃ suta ucyate kṣaṇen |	བདེ་གཤེགས་རྣམས་ཀྱི་སྲས་ཞེས་བརྗོད་བྱ་ཞིང་༎
 na narāmaralokavandanīyo bhavati smodita eva bodhicitte || bca_1|9 ||	འཇིག་རྟེན་ལྷ་མིར་༄༢བ་བཅས་པས་ཕྱག་བྱར་འགྱུར་༎ གསེར་འགྱུར་རྩི་ཡི་རྣམ་པ་མཆོག་ལྟ་བུ་༎
 aśucipratimāmimāṃ gṛhītvā jinaratnapratimāṃ karotyanarghāṃ |	མི་གཙང་ལུས་འདི་བླངས་ནས་རྒྱལ་བའི་སྐུ་༎ རིན་ཆེན་རིང་ཐང་མེད་པར་བསྒྱུར་བས་ན་༎
 rasajātamatīva vedhanīyaṃ sudṛḍhaṃ gṛhṇata bodhicittasaṃjñaṃ || bca_1|10 ||	བྱང་ཆུབ་སེམས་ཞེས་བྱ་བ་རབ་བརྟན་ཟུང་༎ འགྲོ་བའི་དེད་དཔོན་གཅིག་པུ་ཚད་མེད་བློས་༎
 suparīkṣitamaprameyadhībhir bahumūlyaṃ jagadekasārthavāhaiḥ |	ལེགས་པར་ཡོངས་སུ་བརྟགས་ན་རིན་ཆེ་བས་༎ འགྲོ་བའི་གནས་དང་བྲལ་བར་འདོད་པ་རྣམས་༎
 gatipattanavipravāsaśīlāḥ sudṛḍhaṃ gṛhṇata bodhicittaratnaṃ || bca_1|11 ||	རིན་ཆེན་བྱང་ཆུབ་སེམས་ལེགས་བརྟན་པར་ཟུང་༎
 kadalīva phalaṃ vihāya yāti kṣayamanyatkuśalaṃ hi sarvameva |	དགེ་བ་གཞན་ཀུན་ཆུ་ཤིང་བཞིན་དུ་ནི་༎ འབྲས་བུ་བསྐྱེད་ནས་ཟད་པར་འགྱུར་བ་ཉིད་༎
 satataṃ phalati kṣayaṃ na yāti prasavatyeva tu bodhicittavṛkṣaḥ || bca_1|12 ||	བྱང་ཆུབ་སེམས་ཀྱི་ལྗོན་ཤིང་རྟག་པར་ཡང་༎ འབྲས་བུ་འབྱིན་པས་མི་ཟད་འཕེལ་བར་འགྱུར་༎
 kṛtvāpi pāpāni sudāruṇāni yadāśrayāduttarati kṣaṇena |	སྡིག་པ་ཤིན་ཏུ་མི་བཟད་བྱས་ན་ཡང་༎
 śūrāśrayeṇeva mahābhayāni nāśrīyate tatkathamajñasattvaiḥ || bca_1|13 ||	དཔའ་ལ་བརྟེན་ནས་འཇིགས་པ་ཆེན་པོ་ལྟར་༎ གང་ལ་བརྟེན་ནས་ཡུད་ཀྱིས་སྒྲོལ་འགྱུར་བ་༏་། དེ་ལ་བག་ཅན་རྣམས་ཀྱིས་ཅིས་མི་བརྟེན་༎
 yugāntakālānalavanmahānti pāpāni yannirdahati kṣaṇena |	དེས་ནི་དུས་མཐའི་མེ་བཞིན་སྡིག་ཆེན་རྣམས་༎ སྐད་ཅིག་གཅིག་གིས་ངེས་པར་སྲེག་པར་བྱེད་༎ དེ་ཡི་ཕན་ཡོན་དཔག་ཏུ་མེད་པ་དག་༎
 yasyānuśaṃsānamitānuvāca maitreyanāthaḥ sudhanāya dhīmān || bca_1|14 ||	བྱམས་མགོན་བློ་དང་ལྡན་པས་ནོར་བཟངས་བཤད་༎
 tadbodhicittaṃ dvividhaṃ vijñātavyaṃ samāsataḥ |	བྱང་ཆུབ་སེམས་དེ་མདོར་བསྡུས་ན་༎ རྣམ་པ་གཉིས་སུ་ཤེས་བྱ་སྟེ་༎
 bodhipraṇidhicittaṃ ca bodhiprasthānameva ca || bca_1|15 ||	བྱང་ཆུབ་སྨོན་པའི་སེམས་དང་ནི་༎ བྱང་ཆུབ་འཇུག་པ་ཉིད་ཡིན་ནོ་༎
 gantukāmasya gantuśca yathā bhedaḥ pratīyate |	འགྲོ་བར་འདོད་དང་འགྲོ་བ་ཡི་༎ བྱེ་བྲག་ཇི་ལྟར་ཤེས་པ་ལྟར་༎ དེ་བཞིན་མཁས་པས་འདི་གཉིས་ཀྱི་༎
 tathā bhedo 'nayorjñeyo yathāsaṃkhyena paṇḍitaiḥ || bca_1|16 ||	བྱེ་བྲག་རིམ་བཞིན་ཤེས་པར་བྱ་༎
 bodhipraṇidhicittasya saṃsāre 'pi phalaṃ mahat |	བྱང་ཆུབ་སྨོན་པའི་སེམས་ལས་ནི་༎ འཁོར་ཚོ་འབྲས་བུ་ཆེ་འབྱུང་ཡང་༎
 na tvavicchinnapuṇyatvaṃ yathā prasthānacetasaḥ || bca_1|17 ||	ཇི་ལྟར་འཇུག་པའི་སེམས་བཞིན་དུ་༎ བསོད་ནམས་རྒྱུན་ཆགས་འབྱུང་བ་མིན་༎ གང་ནས་བཟུང་སྟེ་སེམས་ཅན་ཁམས་༎
 yataḥ prabhṛtyaparyanta-sattvadhātupramokṣaṇe |	མཐའ་ཡས་རབ་ཏུ་དགྲོལ་བའི་ཕྱིར་༎
 samādadāti taccittam anivartyena cetasā || bca_1|18 ||	མི་ལྡོག་པ་ཡི་སེམས་ཀྱིས་སུ་༎ སེམས་དེ་ཡང་དག་བླངས་གྱུར་པ་༎ དེང་ནས་བཟུང་སྟེ་གཉིད་ལོག་གམ་༎
 tataḥ prabhṛti suptasya pramattasyāpyanekaśaḥ |	བག་མེད་གྱུར་ཀྱང་བསོད་ནམས་ཤུགས་༎ རྒྱུན་མི་འཆད་པར་དུ་མ་ཞིག་། 
 avicchinnāḥ puṇyadhārāḥ pravartante nabhaḥsamāḥ || bca_1|19 ||	ནམ་མཁའ་མཉམ་པར་རབ་ཏུ་འབྱུང་༎
 idaṃ subāhupṛcchāyāṃ sopapattikamuktavān |	འདི་ནི་འཐད་པ་དང་བཅས་༄༣ཨ་༌་༎ པར་༏་། ལག་བཟང་གིས་ནི་ཞུས་པ་ལས་༎
 hīnādhimuktisattvārthaṃ svayameva tathāgataḥ || bca_1|20 ||	དམན་མོས་སེམས་ཅན་དོན་གྱི་ཕྱིར་༎ དེ་བཞིན་གཤེགས་པ་ཉིད་ཀྱིས་གསུངས་༎ སེམས་ཅན་རྣམས་ཀྱི་ཀླད་ནད་ཙམ་༎
 śiraḥśūlāni sattvānāṃ nāśayāmīti cintayan |	བསལ་ལོ་སྙམ་དུ་བསམས་ན་ཡང་༎
 aprameyeṇa puṇyena gṛhyate sma hitāśayaḥ || bca_1|21 ||	ཕན་འདོགས་བསམ་པ་དང་ལྡན་དེ་༎ བསོད་ནམས་དཔག་མེད་ལྡན་གྱུར་ན་༎
 kimutāpramitaṃ śūlam ekaikasya jihīrṣataḥ |	སེམས་ཅན་རེ་རེའི་མི་བདེ་བ་༎
 aprameyaguṇaṃ sattvam ekaikaṃ ca cikīrṣataḥ || bca_1|22 ||	དཔག་ཏུ་མེད་པ་བསལ་འདོད་ཅིང་༎ རེ་རེའང་ཡོན་ཏན་དཔག་མེད་དུ་༎ བསྒྲུབ་པར་འདོད་པ་སྨོས་ཅི་དགོས་༎
 kasya mātuḥ piturvāpi hitāśaṃseyamīdṛśī |	ཕའམ་ཡང་ན་མ་ཡང་རུང་༎ སུ་ལ་འདི་འདྲའི་ཕན་སེམས་ཡོད་༏་། ལྷ་དང་དྲང་སྲོང་རྣམས་ཀྱང་རུང་༎
