skt	tib
 vasubandhu: triṃśikāvijñaptikārikā namo buddhāya ||	༄༡༤༦བ་༅་༎ རྒྱ་གར་སྐད་དུ་། ཏྲིམ་ཤི་ཀ་བྷའ་ཤྱམ་། བོད་སྐད་དུ་། སུམ་ཅུ་པའི་བཤད་པ་། བམ་པོ་དང་པོ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 pudgaladharmanairātmyayor apratipannavipratipannānām aviparītapudgaladharmanairātmyapratipādanārthaṃ triṃśikāvijñaptiprakaraṇārambhaḥ |	གང་ཟག་དང་ཆོས་ལ་བདག་མེད་པ་མ་རྟོགས་པ་དང་ལོག་པར་རྟོགས་པ་རྣམས་ལ་གང་ཟག་དང་ཆོས་ལ་བདག་མེད་པ་མ་ལོག་པར་བསྟན་པའི་ཕྱིར་། རྣམ་པར་རིག་པའི་རབ་ཏུ་བྱེད་པ་སུམ་ཅུ་པ་བརྩམས་སོ་༎
 pudgaladharmanairātmyapratipādanaṃ punaḥ kleśajñeyāvaraṇaprahāṇārtham |	དེ་ལ་གང་ཟག་དང་ཆོས་ལ་བདག་མེད་པར་བསྟན་པའང་ཉོན་མོངས་པ་དང་ཤེས་བྱའི་སྒྲིབ་པ་སྤངས་པའི་ཕྱིར་ཏེ་།
 tathā hy ātmadṛṣṭiprabhavā rāgādayaḥ kleśāḥ pudgalanairātmyāvabodhaś ca satkāyadṛṣṭeḥ pratipakṣatvāt tatprahāṇāya pravartamānaḥ sarvakleśān prajahāti |	འདི་ལྟར་འདོད་ཆགས་ལ་སོགས་པ་ཉོན་མོངས་པ་རྣམས་ནི་བདག་ཏུ་ལྟ་བ་ལས་བྱུང་ངོ་༎ གང་ཟག་ལ་བདག་མེད་པར་ཁོང་དུ་ཆུད་པ་ནི་འཇིག་ཚོགས་ལ་ལྟ་བའི་གཉེན་པོ་ཡིན་པས་ན་དེ་སྤངས་ན་ཉོན་མོངས་པ་ཐམས་ཅད་སྤོང་བར་འགྱུར་རོ་༎ 
 dharmanairātmyajñānād api jñeyāvaraṇapratipakṣatvāt jñeyāvaraṇaṃ prahīyate |	ཆོས་ལ་བདག་མེད་པར་ཤེས་པ་ཡང་ཤེས་བྱའི་སྒྲིབ་པའི་གཉེན་པོ་ཡིན་པས་ཤེས་བྱའི་སྒྲིབ་པ་སྤོང་བར་འགྱུར་རོ་༎
 kleśajñeyāvaraṇaprahāṇam api mokṣasarvajñatvādhigamārtham |	ཉོན་མོངས་པ་དང་ཤེས་བྱའི་སྒྲིབ་པ་སྤང་བ་ཡང་ཐར་པ་དང་ཐམས་ཅད་མཁྱེན་བ་ཐོབ་པར་བྱ་བའི་ཕྱིར་རོ་༎
 kleśā hi mokṣaprāpter āvaraṇam iti atas teṣu prahīṇeṣu mokṣo 'dhigamyate |	ཉོན་མོངས་པ་རྣམས་ནི་ཐར་པ་འཐོབ་པ་ལ་བསྒྲིབས་པས་དེའི་ཕྱིར་དེ་དག་སྤངས་ན་ཐར་པ་འཐོབ་པར་འགྱུར་རོ་༎
 jñeyāvaraṇam api sarvasmin jñeye jñānapravṛttipratibandhabhūtam akliṣṭam ajñānam |	ཤེས་བྱའི་སྒྲིབ་བ་ནི་ཤེས་བྱ་ཐམས་ཅད་ལ་ཡེ་ཤེས་འཇུག་པའི་བར་དུ་གཅོད་པར་གྱུར་པ་ཉོན་མོངས་པ་ཅན་མ་ཡིན་པའི་མི་ཤེས་པ་སྟེ་། 
 tasmin prahīṇe sarvākāre jñeye 'saktam apratihatañ ca jñānaṃ pravartata ity ataḥ sarvajñatvam adhigamyate |	དེ་སྤངས་ན་ཤེས་བྱའི་རྣམ་པ་ཐམས་ཅད་ཀུན་ལ་ཆགས་པ་མེད་པ་དང་། ཐོགས་པ་མེད་པའི་ཡེ་ཤེས་འཇུག་སྟེ་། དེའི་ཕྱིར་ཐམས་ཅད་མཁྱེན་པ་ཐོབ་པར་འགྱུར་རོ་༎
 atha vā dharmapudgalābhiniviṣṭāś cittamātraṃ yathābhūtaṃ na jānantīty ato dharmapudgalanairātmyapradarśanena saphale vijñaptimātre 'nupūrveṇa praveśārthaṃ prakaraṇārambhaḥ |	ཡང་ན་ཆོས་དང་གང་ཟག་ལ་མངོན་པར་ཞེན་པ་དག་སེམས་ཙམ་དུ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་མི་ཤེས་ཏེ་། དེའི་ཕྱིར་ཆོས་དང་གང་ཟག་ལ་བདག་མེད་པར་བསྟན་པས་རྣམ་པར་རིག་པ་ཙམ་འབྲས་བུ་དང་བཅས་པ་ལ་མཐར་གྱིས་འཇུག་༄༡༤༧ཨ་༌་༎ པར་བྱ་བའི་ཕྱིར་རབ་ཏུ་བྱེད་པ་འདི་བརྩམས་སོ་༎
 atha vā vijñānavad vijñeyam api dravyata eveti kecin manyante | vijñeyavad vijñānam api saṃvṛtita eva na paramārthata ity asya dviprakārasyāpy ekāntavādasya pratiṣedhārthaḥ prakaraṇārambhaḥ ||	ཡང་ན་རྣམ་པར་ཤེས་པ་བཞིན་དུ་ཤེས་བྱ་ཡང་རྫས་ཉིད་དུ་ཁ་ཅིག་སེམས་པ་དང་། གཞན་དག་ཤེས་བྱ་བཞིན་དུ་རྣམ་པར་ཤེས་པ་ཡང་ཀུན་རྫོབ་ཉིད་དུ་ཡོད་ཀྱི་དོན་དམ་པར་ནི་མེད་དོ་སྙམ་དུ་སེམས་པ་མཐའ་གཅིག་ཏུ་སྨྲ་བ་འདི་རྣམ་པ་གཉིས་དགག་པའི་ཕྱིར་རབ་ཏུ་བྱེད་པ་འདི་བརྩམས་སོ་༎
 ātmadharmopacāro hi vividho yaḥ pravartate | 1ab	བདག་དང་ཆོས་སུ་ཉེར་འདོགས་པ་༎ སྣ་ཚོགས་དག་ནི་གང་བྱུང་བ་༎
 lokaśāstrayor iti vākyaśeṣaḥ |	འཇིག་རྟེན་པ་དང་བསྟན་བཅོས་ལའོ་༎ ཞེས་བྱ་བ་ནི་ཚིག་གི་ལྷག་མའོ་༎
 vijñānapariṇāme 'sau | 1c	དེ་ནི་རྣམ་པར་ཤེས་པར་གྱུར་༎
 ātmadharmopacāra iti saṃbadhyate |	བདག་དང་ཆོས་སུ་ཉེར་འདོགས་པ་༎ ཞེས་བྱ་བ་དང་སྦྱར་རོ་༎
 ātmā dharmāś copacaryanta ity ātmadharmopacāraḥ |	བདག་དང་ཆོས་སུ་ཉེ་བར་འདོགས་པས་། བདག་དང་ཆོས་སུ་ཉེར་འདོགས་པ་སྟེ་།
 sa punar ātmaprajñaptir dharmaprajñaptiś ca |	དེ་ཡང་བདག་ཏུ་བཏགས་པ་དང་། ཆོས་སུ་བཏགས་པའོ་༎
 vividha ity anekaprakāraḥ |	སྣ་ཚོགས་ཞེས་བྱ་བ་ནི་རྣམ་པ་དུ་མ་སྟེ་།
 ātmā jīvo jantur manujo māṇava ity evamādika ātmopacāraḥ skandhā dhātava āyatanāni rūpaṃ vedanā saṃjñā saṃskārā vijñānam ity evamādiko dharmopacāraḥ	བདག་དང་སྲོག་དང་། སྐྱེ་བ་པོ་དང་། ཤེད་ལས་སྐྱེས་པ་དང་། ཤེད་བུ་དང་། དེ་དག་ལ་སོགས་པ་དག་ནི་བདག་ཏུ་ཉེ་བར་འདོགས་པའོ་༎ ཕུང་པོ་དང་། ཁམས་དང་། སྐྱེ་མཆེད་རྣམས་དང་། གཟུགས་དང་། ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་དང་། རྣམ་པར་ཤེས་པ་དང་། དེ་དག་ལ་སོགས་པ་དག་ནི་ཆོས་སུ་ཉེ་བར་འདོགས་པའོ་༎
 ayaṃ dviprakāro 'py upacāro vijñānapariṇāma eva na mukhye ātmani dharmeṣu ceti | kuta etat |	ཉེ་བར་འདོགས་པ་འདི་རྣམས་གཉིས་ནི་རྣམ་པར་ཤེས་པ་གྱུར་པ་ཉིད་དེ་།
 dharmāṇām ātmanaś ca vijñānapariṇāmād bahir abhāvāt |	བདག་གམ་ཆོས་རྣམས་དངོས་པོ་ལ་ཉེ་བར་འདོགས་པ་ནི་མ་ཡིན་ནོ་ཞེས་བྱ་བ་དེ་ཇི་ལྟ་བུ་ཞེན་ཆོས་རྣམས་དང་། བདག་ནི་རྣམ་པར་ཤེས་པ་གྱུར་པ་ལས་ཕྱི་རོལ་ན་མེད་པའི་ཕྱིར་རོ་༎
 ko 'yaṃ pariṇāmo nāma |	གྱུར་ཞེས་བྱ་བ་དེ་གང་ཞེ་ན་།
 anyathātvam |	གཞན་དུ་གྱུར་པ་སྟེ་།
 kāraṇakṣaṇanirodhasamakālaḥ kāraṇakṣaṇavilakṣaṇaḥ kāryasyātmalābhaḥ pariṇāmaḥ |	རྒྱུའི་སྐད་ཅིག་འགག་པ་དང་། དུས་མཉམ་དུ་རྒྱུའི་སྐད་ཅིག་དང་མི་འབྲལ་བ་འབྲས་བུའི་བདག་ཉིད་ཐོབ་པ་ནི་གྱུར་པའོ་༎
 tatrātmādivikalpavāsanāparipoṣād rūpādivikalpavāsanāparipoṣāc cālayavijñānād ātmādinirbhāso vikalpo rūpādinirbhāsaś cotpadyate |	དེ་ལ་བདག་ལ་སོགས་པར་རྣམ་པར་རྟོག་པའི་བག་ཆགས་ཡོངས་སུ་བརྟས་ཤིང་གཟུགས་ལ་སོགས་པ་རྣམ་པར་རྟོག་པའི་བག་ཆགས་ཡོངས་སུ་བརྟས་ན་ཀུན་གཞི་རྣམ་པར་ཤེས་པ་ལས་བདག་ལ་སོགས་པར་སྣང་བ་དང་། གཟུགས་ལ་སོགས་པར་སྣང་བའི་རྣམ་པར་རྟོག་པ་འབྱུང་ངོ་༎
 [tvbh_42] tam ātmādinirbhāsaṃ rūpādinirbhāsañ ca tasmād vikalpād bahirbhūtam ivopādāyātmādyupacāro rūpādidharmopacāraś cānādikālikaḥ pravartate vināpi bāhyenātmanā dharmaiś ca |	དེ་ལ་བདག་ལ་སོགས་པར་སྣང་བ་དང་། གཟུགས་ལ་སོགས་པར་སྣང་བ་ཡང་ཕྱི་རོལ་གྱི་བདག་དང་། ༄༡༤༧བ་ཆོས་རྣམས་མེད་པར་རྣམ་པར་རྟོག་པ་དེ་ལས་ཕྱི་རོལ་དུ་གྱུར་པ་ལྟ་བུ་རྒྱུར་བྱས་ནས་། བདག་ལ་སོགས་པར་ཉེ་བར་འདོགས་པ་དང་། གཟུགས་ལ་སོགས་པ་ཆོས་སུ་ཉེ་བར་འདོགས་པ་ཐོག་མ་མེད་པའི་དུས་ནས་འཇུག་སྟེ་།
 tad yathā taimirikasya keśoṇḍukādyupacāra iti |	དཔེར་ན་རབ་རིབ་ཅན་གྱིས་སྐྲ་ཤད་འཛིངས་པ་ལ་སོགས་པ་མཐོང་བ་བཞིན་ནོ་༎
 yac ca yatra nāsti tat tatropacaryate | tad yathā bāhīke gauḥ |	ཉེ་བར་འདོགས་པ་ཞེས་བྱ་བ་ནི་གང་ལ་གང་མེད་པ་དེ་ལ་དེ་ཉེ་བར་འདོགས་ཏེ་། དཔེར་ན་མི་བླུན་པོ་ལ་བ་ལང་ཞེས་བྱ་བ་ལྟ་བུའོ་༎
 evaṃ vijñānasvarūpe bahiś cātmadharmābhāvāt parikalpita evātmā dharmāś ca na tu paramārthataḥ santīti vijñānavad vijñeyam api dravyata evety ayam ekāntavādo nābhyupeyaḥ |	དེ་ལྟར་ན་རྣམ་པར་ཤེས་པའི་རང་གི་ངོ་བོ་དང་། ཕྱི་རོལ་ན་ཡང་བདག་དང་ཆོས་རྣམས་མེད་པས་བདག་དང་ཆོས་རྣམས་ཀུན་དུ་བརྟགས་པ་ཉིད་དེ་། དོན་དམ་པར་ཡོད་པ་མ་ཡིན་པས་ཤེས་བྱ་ཡང་རྣམ་པར་ཤེས་པ་བཞིན་དུ་རྫས་ཉིད་དོ་ཞེས་མཐའ་གཅིག་ཏུ་སྨྲ་བ་འདི་ཁས་མི་། བླང་ངོ་༎ 
 upacārasya ca nirādhārasyāsaṃbhavād avaśyaṃ vijñānapariṇāmo vastuto 'stīty upagantavyo yatrātmadharmopacāraḥ pravartate |	ཉེ་བར་འདོགས་པ་ནི་གཞི་མེད་པར་མི་སྲིད་པས་གང་ལ་བདག་དང་ཆོས་སུ་ཉེ་བར་འདོགས་པ་འབྱུང་བའི་རྣམ་པར་ཤེས་པ་གྱུར་པ་དངོས་པོ་ཡོད་པར་ངེས་ང་ར་། བླང་ངོ་༎ ཁས་བླང་ངོ་༎ 
 ataś cāyam abhyupagamo na yuktikṣamo vijñānam api vijñeyavat saṃvṛtita eva na paramārthata iti |	དེ་བས་ན་རྣམ་པར་ཤེས་པ་ཡང་ཤེས་བྱ་བཞིན་དུ་ཀུན་རྫོབ་ཉིད་དེ་། དོན་དམ་པར་མེད་དོ་ཞེས་ཁས་ལེན་པ་དེས་རིགས་པ་མི་བཟོད་དེ་།
