skt	tib
 māhāyāne traidhātukaṃ vijñaptimātraṃ vyavasthāpyate |	ཐེག་པ་ཆེན་པོ་ལ་ཁམས་གསུམ་པ་རྣམ་པར་རིག་པ་ཙམ་དུ་རྣམ་པར་གཞག་སྟེ་།
 cittamātraṃ bho jinaputrā yad uta traidhātukam iti sūtrāt |	མདོ་ལས་ཀྱེ་རྒྱལ་བའི་སྲས་དག་འདི་ལྟ་སྟེ་། ཁམས་གསུམ་པ་འདི་ནི་སེམས་ཙམ་མོ་ཞེས་འབྱུང་བའི་ཕྱིར་རོ་༎
 cittaṃ mano vijñānaṃ vijñaptiś ceti paryāyāḥ |	སེམས་དང་ཡིད་དང་། རྣམ་པར་ཤེས་པ་དང་། རྣམ་པར་རིག་པ་ཞེས་བྱ་བ་ནི་རྣམ་གྲངས་སུ་གཏོགས་པའོ་༎
 cittam atra sasaṃprayogam abhipretaṃ |	སེམས་དེ་ཡང་འདིར་མཚུངས་པར་ལྡན་པ་དང་བཅས་པར་དགོངས་པའོ་༎
 matram ity arthapratiṣedhārthaṃ |	ཙམ་ཞེས་བྱ་བ་སྨོས་པ་ནི་དོན་དགག་པའི་ཕྱིར་རོ་༎
 vijñaptimātram evedam asadarthāvabhāsanāt |	རྣམ་པར་ཤེས་པ་འདི་ཉིད་དོན་དུ་སྣང་བ་འབྱུང་སྟེ་།
 yadvat taimirikasyāsat keśoṇḍukādidarśanaṃ || 1 || atra codyate |	དཔེར་ན་རབ་རིབ་ཅན་རྣམས་ཀྱིས་སྐྲ་ཟླ་ལ་སོགས་པ་མེད་པར་མཐོང་བ་བཞིན་ཏེ་།
 kaścid artho nāsti |	དོན་གང་ཡང་མེད་དོ་༎ འདིར་འདི་སྐད་ཅེས་བརྒལ་ཏེ་། གལ་ཏེ་རྣམ་རིག་དོན་མིན་ན་༎
 na deśakālaniyamaḥ saṃtānāniyamo na ca |	ཡུལ་དང་དུས་ལ་ངེས་མེད་ཅིང་༎ སེམས་ཀྱང་དེས་མེད་མ་ཡིན་ལ་༎
 na ca kṛtyakriyā yuktā vijñaptir yadi nārthataḥ || 2 ||	བྱ་བ་བྱེད་བའང་མི་རིགས་འགྱུར་༎
 kim uktaṃ bhavati |	ཇི་སྐད་དུ་བསྟན་པར་འགྱུར་ཞེ་ན་།
 yadi vinā rūpādyarthena rūpādivijñaptir utpadyate na rūpādyarthāt |	གལ་ཏེ་གཟུགས་ལ་སོགས་པའི་དོན་མེད་པར་གཟུགས་ལ་སོགས་པའི་རྣམ་པར་རིག་པ་འབྱུང་སྟེ་གཟུགས་ལ་སོགས་པའི་དོན་ལས་མ་ཡིན་ན་།
 kasmāt kvacid deśa utpadyate na sarvatra |	ཅིའི་ཕྱིར་ཡུལ་ལ་ལར་འབྱུང་ལ་ཐམས་ཅད་ན་མ་ཡིན་།
 tatraiva ca deśe kadācid utpadyate na sarvadā |	ཡུལ་དེ་ཉིད་ན་ཡང་རེས་འགའ་འབྱུང་ལ་ཐམས་ཅད་དུ་མ་ཡིན་།
 taddeśakālapratiṣṭhitānāṃ sarveṣāṃ saṃtānāniyama utpadyate na kevalam ekasya |	ཡུལ་དང་དུས་དེ་ན་འཁོད་པ་ཐམས་ཅད་ཀྱི་སེམས་ལ་ངེས་པ་མེད་པ་འབྱུང་ལ་འགའ་ཙམ་ལ་མ་ཡིན་། 
 yathā taimirikāṇāṃ saṃtāne keśādyābhāso nānyeṣāṃ |	དེ་ལྟར་རབ་རི་བ་ཅན་ཉིད་ཀྱི་སེམས་ལ་སྐྲ་ལ་སོགས་པ་སྣང་གི་ལ་མ་ཡིན་། 
 kasmād yat taimirikaiḥ keśabhramarādi dṛśyate tena keśādikriyā na kriyate na ca tad anyair na kriyate |	། ༄༤བ་གཞན་དག་ལ་ནི་མ་ཡིན་༎ ཅིའི་ཕྱིར་གང་རབ་རིབ་ཅན་གྱིས་མཐོང་བའི་སྐྲ་དང་། སྦྲང་བུ་ལ་སོགས་པས་སྐྲ་ལ་སོག་པའི་བྱ་བ་མི་བྱེད་ལ་།
 yad annapānavastraviṣāyudhādi svapne dṛśyate tenānnādikriyā na kriyate na ca tad anyair na kriyate |	དེ་མ་ཡིན་པ་གཞན་དག་གིས་ནི་བྱེད་། རྨི་ལམ་ན་མཐོང་བའི་བཟའ་བ་དང་བཏུང་བ་དང་བགོ་བ་དང་དུག་དང་མཚོན་ལ་སོགས་པས་ཟས་དང་སྐོམ་ལ་སོགས་པའི་བྱ་བ་མི་བྱེད་ལ་། དེ་མ་ཡིན་པ་གཞན་དག་གིས་ནི་བྱེད་།
 gandharvanagareṇāsattvān nagarakriyā na kriyate na ca tad anyair na kriyate |	དྲི་ཟའི་གྲོང་ཁྱེར་ཡོད་པ་མ་ཡིན་པས་གྲོང་ཁྱེར་གྱི་བྱ་བ་མི་བྱེད་ལ་། དེ་མ་ཡིན་པ་གཞན་དག་གིས་ནི་བྱེད་།
 tasmād asadabhāvāvabhāsane deśakālaniyamaḥ saṃtānāniyamaḥ kṛtyakriyā ca na yujyate |	འདི་དག་དོན་མེད་པར་མེད་དུ་འདྲ་ན་ཡུལ་དང་དུས་ངེས་པ་དང་། སེམས་ངེས་པ་མེད་པ་དང་། བྱ་བ་བྱེད་པ་འདི་དག་ཀྱང་མི་རུང་ངོ་ཞེ་ན་།
 na khalu na yujyate | yasmāt |	མི་རུང་བ་མ་ཡིན་ཏེ་། འདི་ལྟར་།
 deśādiniyamaḥ siddhaḥ svapnavat	ཡུལ་ལ་སོགས་པ་ངེས་འགྲུབ་སྟེ་༎ རྨི་འདྲའོ་༎
 svapna iva svapnavat |	རྨི་ལམ་དུ་རྨིས་པ་དང་མཚུངས་པས་ན་རྨི་འདྲའོ་༎
 kathaṃ tāvat |	ཇི་ལྟ་ཞེ་ན་།
 svapne vināpy arthena kvacid eva deśe kiṃcid bhramarārāmastrīpurūṣādikaṃ dṛśyate na sarvatra | tatraiva ca deśe kadācid dṛśyate na sarvakālam iti siddho vināpy arthena deśakālaniyamaḥ |	རྨི་ལམ་ན་ཡང་དོན་མེད་པར་ཡུལ་ལ་ན་གྲོང་དང་། ཀུན་དགའ་ར་བ་དང་། སྐྱེས་པ་དང་བུད་མེད་ལ་སོགས་པ་ཇི་དག་སྣང་ལ་ཐམས་ཅད་ན་མ་ཡིན་ཡུལ་དེ་ཉིད་ན་ཡང་རེས་འགའ་སྣང་ལ་དུས་ཐམས་ཅད་དུ་མ་ཡིན་པས་དོན་མེད་པར་ཡང་ཡུལ་ལ་སོགས་པ་ངེས་པར་འགྲུབ་པོ་༎ སེམས་ཀྱང་ངེས་པ་མེད་།
 pretavat punaḥ | saṃtānāniyamaḥ	ཡི་དགས་བཞིན་ཏེ་།
 siddha iti vartate |	གྲུབ་ཅེས་བྱ་བར་བསྙེགས་སོ་༎
 pretānām iva pretavat |	ཡི་དགས་རྣམས་ཀྱི་དང་མཚུངས་པས་ན་ཡི་དགས་བཞིན་ནོ་༎
 kathaṃ siddhaḥ samaṃ |	ཇི་ལྟར་འགྲུབ་། ཐམས་ཅད་ཀྱིས་།
 sarvaiḥ pūyanadyādidarśane || 3 ||	ཀླུང་ལ་རང་ལ་སོགས་མཐོང་བཞིན་༎
 pūyapūrṇā nadī pūyanadī |	རང་གིས་གང་བའི་ཀླུང་ནི་རང་གི་ལུང་སྟེ་༎
 ghṛtaghaṭavat |	མར་གྱི་བུམ་པ་བཞིན་ནོ་༎
 tulyakarmavipākāvasthā hi pretāḥ sarve 'pi pūyapūrṇāṃ nadīṃ paśyanti naika eva |	ལས་ཀྱི་རྣམ་པར་སྨིན་པ་མཚུངས་པ་ལ་གནས་པའི་ཡི་དགས་རྣམས་ནི་ཀུན་གྱིས་ཀྱང་མཚུངས་པར་ཀླུང་རང་གིས་གང་བར་མཐོང་སྟེ་། གཅིག་འགས་ནི་མ་ཡིན་ནོ་༎
 yathā pūyapūrṇām evaṃ mūtrapurīṣādipūrṇāṃ daṇḍāsidharaiś ca puruṣair adhiṣṭhitām ity ādigrahaṇena |	རྣག་གིས་གང་བ་ཇི་ལྟ་བ་བཞིན་དུ་གཅིན་དང་། ངན་སྐྱུགས་དང་། མེ་མ་མུར་དང་། མཆིལ་མ་དང་། སྣབས་ཀྱིས་གང་བ་དང་། དབྱིག་པ་དང་། རལ་གྲི་ཐོགས་པའི་མི་དག་གིས་སྲུང་བ་ཡང་དེ་བཞིན་ཏེ་། སོགས་པ་ཞེས་བྱ་བར་བསྡུའོ་༎
 evaṃ saṃtānāniyamo vijñaptinām asaty apy arthe siddhaḥ || svapnopaghātavat kṛtyakriyā	དེ་ལྟར་ན་དོན་མེད་པར་ཡང་རྣམ་པར་རིག་པ་རྣམས་ཀྱི་སེམས་ངེས་པ་མེད་པར་འགྲུབ་པོ་༎ བྱ་བྱེད་རྨི་ལམ་གནོད་པ་འདྲ་༎
 siddha iti veditavyaṃ |	གྲུབ་ཅེས་བྱ་བར་རིག་པར་བྱའོ་། དཔེར་ན་རྨི་ལམ་ན་གཉིས་ཀྱིས་གཉིས་ཕྲད་པ་༄༥ཨ་༌་༎
 yathā svapne dvayasamāpattim antareṇa śukravisargalakṣaṇaḥ svapnopaghātaḥ |	མེད་པར་ཡང་ཁུ་བ་འབྱུང་བའི་མཚན་ཉིད་ནི་རྨི་ལམ་གྱི་གནོད་པའོ་༎
 evaṃ tāvad anyānyair dṛṣṭāntair deśakālaniyamādicatuṣṭayaṃ siddhaṃ | narakavat punaḥ | sarvaṃ	དེ་ལྟར་རེ་ཞིག་དཔེ་གཞན་དང་གཞན་དག་གིས་ཡུལ་དང་དུས་ངེས་པ་ལ་སོགས་པ་བཞིན་འགྲུབ་བོ་༎ ཐམས་ཅད་སེམས་ཅན་དམྱལ་བ་བཞིན་༎
 siddham iti veditavyaṃ |	གྲུབ་ཅེས་བྱ་བར་རིག་པར་བྱའོ་༎
 narakeṣv iva narakavat |	སེམས་ཅན་དམྱལ་བ་དག་ན་ཡོད་པ་དང་མཚུངས་པས་སེམས་ཅན་དམྱལ་བ་བཞིན་ནོ་༎
 kathaṃ siddhaṃ |	ཇི་ལྟར་འགྲུབ་ཅེ་ན་།
 narakapālādidarśane taiś ca bādhane || 4 ||	དམྱལ་བའི་སྲུང་མ་སོགས་མཐོང་དང་༎ དེ་དག་གིས་ནི་གནོད་ཕྱིར་རོ་༎
 yathā hi narakeṣu nārakāṇāṃ narakapālādidarśanaṃ deśakālaniyamena siddhaṃ |	དཔེར་ན་སེམས་ཅན་དམྱལ་བ་དག་ན་སེམས་ཅན་དམྱལ་བའི་སེམས་ཅན་རྣམས་ཀྱིས་སེམས་ཅན་དམྱལ་བའི་སྲུང་མ་ལ་སོགས་པ་མཐོང་སྟེ་། ཡུལ་དང་དུས་ངེས་པར་འགྲུབ་པོ་༎
 śvavāyasāyasaparvatādyāgamanagamanadarśanaṃ cety ādigrahaṇena |	ཁྱི་དང་བྱ་རོག་དང་ལྕགས་ཀྱི་རི་ལ་སོགས་པ་འོང་བ་དང་འགྲོ་བར་ཡང་མཐོང་བ་ནི་སོགས་པ་ཞེས་བྱ་བར་བསྡུ་སྟེ་། ཐམས་ཅད་ཀྱིས་མཐོང་གི་།
 sarveṣāṃ ca naikasyaiva taiś ca tadbādhanaṃ siddham asatsv api narakapālādiṣu samānasvakarmavipākādhipatyāt |	གཅིག་འགས་ནི་མ་ཡིན་ནོ་༎ དེ་དག་གིས་དེ་དགལ་གནོད་པ་ཡང་འགྲུབ་སྟེ་། དངོས་པོ་ལ་སེམས་ཅན་དམྱལ་བའི་སྲུང་མ་ལ་སོགས་པ་མེད་པར་ཡང་རང་གི་ལས་ཀྱི་རྣམ་པར་སྨིན་པ་མཚུངས་པའི་དབང་ཕྱིར་རོ་༎
 tathānyatrāpi sarvam etad deśakālaniyamādicatuṣtayaṃ siddham iti veditavyaṃ ||	དེ་བཞིན་དུ་གཞན་ཡང་ཡུལ་དང་དུས་ངེས་པ་ལ་སོགས་པ་བཞི་པོ་འདི་དག་ཐམས་ཅད་གྲུབ་པར་རིག་པར་བྱའོ་༎
 kiṃ punaḥ kāraṇaṃ narakapālās te ca śvāno vāyasāś ca sattvā neṣyante |	ཅིའི་ཕྱིར་སེམས་ཅན་དམྱལ་བའི་སྲུང་མ་དང་བྱ་རོག་དང་ཁྱི་ལ་སོགས་པ་དེ་དག་སེམས་ཅན་དུ་མི་འདོད་ཅེ་ན་།
 ayogāt |	མི་རིགས་པའི་ཕྱིར་རོ་༎
 na hi te nārakā yujyante |	དེ་དག་ནི་སེམས་ཅན་དམྱལ་བར་མི་རིགས་ཏེ་།
 tathaiva tadduḥkhāpratisaṃvedanāt |	དེ་བཞིན་དུ་སྡུག་བསྔལ་དེས་མི་མྱོང་བའི་ཕྱིར་རོ་༎ གཅིག་ལ་གཅིག་གནོད་པ་བྱེད་ན་ནི་འདི་དག་ནི་སེམས་ཅན་དམྱལ་བ་བདག་གོ་༎
 parasparaṃ yātayatām ime nārakā ime narakapālā iti vyavasthā na syāt | tulyākṛtipramāṇabalānāṃ ca parasparaṃ yātayatāṃ na tathā bhayaṃ syāt |	འདི་དག་ནི་སེམས་ཅན་དམྱལ་བའི་སྲུང་མ་དག་གོ་ཞེས་རྣམ་པར་གཞག་པ་མེད་པར་འགྱུར་རོ་། བྱད་གཟུགས་དང་བོང་ཚོད་དང་སྟོབས་མཚུངས་པ་དག་ནི་གཅིག་ལ་གཅིག་གནོད་པ་བྱེད་ཀྱང་ཇི་ལྟ་བུར་འཇིགས་པར་མི་འགྱུར་རོ་༎
 dāhaduḥkhaṃ ca pradīptāyām ayomayyāṃ bhūmāv asahamānāḥ kathaṃ tatra parān yātayeyuḥ |	ལྕགས་རབ་ཏུ་འབར་བའི་ས་གཞི་ལ་ཚ་བའི་སྡུག་བསྔལ་ཡང་མི་བཟོད་ན་ནི་ཇི་ལྟར་དེ་ན་གཞན་ལ་གནོད་པ་བྱེད་པར་འགྱུར་།
 anārakāṇāṃ vā narake kutaḥ saṃbhavaḥ |	སེམས་ཅན་དམྱལ་བ་པ་མ་ཡིན་པ་དག་སེམས་ཅན་དམྱལ་བར་འབྱུང་བར་ག་ལ་འགྱུར་།
 kathaṃ tāvat tiraścāṃ svargasaṃbhavaḥ |	འོ་ན་དུད་འགྲོ་དག་ཀྱང་ཇི་ལྟར་མཐོ་རིས་སུ་འབྱུང་སྟེ་།
 evaṃ narakeṣu tiryakpretaviśeṣāṇāṃ narakapālādīnāṃ saṃbhavaḥ syāt |	དེ་བཞིན་དུ་སེམས་ཅན་དམྱལ་བར་ཡང་དུད་འགྲོ་དང་ཡི་༄༥བ་དགས་ཀྱི་བྱེ་བྲག་སེམས་ཅན་དམྱལ་བའི་སྲུང་མ་ལ་སོགས་པ་འབྱུང་བར་འགྱུར་རོ་ཞེ་ན་། ཇི་ལྟར་དུད་འགྲོ་མཐོ་རིས་སུ་༎
 tiraścāṃ saṃbhavaḥ svarge yathā na narake tathā |	འབྱུང་བ་དེ་ལྟར་དམྱལ་བ་མིན་༎ ཡི་དགས་མིན་ཏེ་དེ་ལྟ་བུར་༎
 na pretānāṃ yatas tajjaṃ duḥkhaṃ nānubhavanti te || 5 ||	དེ་ཡོད་སྡུག་བསྔལ་དེས་མི་མྱོང་༎
 ye hi tiryañcaḥ svarge saṃbhavanti te tadbhājanalokasukhasaṃvartanīyena karmaṇā tatra saṃbhūtās tajjaṃ sukhaṃ pratyanubhavanti |	དུད་འགྲོ་གང་དག་མཐོ་རིས་སུ་འབྱུང་བ་དེ་དག་ནི་སྣོད་ཀྱི་འཇིག་རྟེན་ན་དེའི་བདེ་བ་མྱོང་བར་འགྱུར་བའི་ལས་ཀྱིས་དེར་འབྱུང་བ་དག་སྟེ་། དེ་ན་ཡོད་བའི་བདེ་བ་སོ་སོར་མྱོང་ངོ་༎
 na caiva narakapālādayo nārakaṃ duḥkhaṃ pratyanubhavanti |	སེམས་ཅན་དམྱལ་བའི་སྲུང་མ་ལ་སོགས་པ་དག་ནི་དེ་བཞིན་དུ་སེམས་ཅན་དམྱལ་བའི་སྡུག་བསྔལ་མི་མྱོང་ངོ་༎ 
 tasmān na tiraścāṃ saṃbhavo yukto nāpi pretānāṃ || teṣāṃ tarhi (vvs_5)	དེའི་ཕྱིར་དུད་འགྲོ་དག་དེར་འབྱུང་བར་མི་རིགས་སོ་༎
 nārakāṇāṃ karmabhis tatra bhūtaviśeṣāḥ saṃbhavanti varṇākṛtipramāṇabalaviśiṣṭā ye narakapālādisaṃjñāṃ pratilabhante | tathā ca pariṇamanti |	ཡི་དགས་ཀྱི་བྱེ་བྲག་དག་ཀྱང་མ་ཡིན་ནོ་༎ སེམས་ཅན་དམྱལ་བ་དེ་དག་གི་ལས་རྣམས་ཀྱིས་དེར་འབྱུང་བའི་བྱེ་བྲག་དག་འདི་ལྟ་བུར་འབྱུང་སྟེ་། མདོག་དང་བྱད་གཟུགས་དང་བོང་ཚོད་དང་སྟོབས་ཀྱི་བྱེ་བྲག་གང་གིས་སེམས་ཅན་དམྱལ་བའི་སྲུང་མ་ལ་སོགས་པའི་མིང་ཐོབ་པའོ་༎
 yad dvidhāṃ hastavikṣepādikriyāṃ kurvanto dṛśyante bhayotpādanārthaṃ |	གང་ལག་པ་བརྐྱང་པ་ལ་སོགས་པ་བྱ་བ་སྣ་ཚོགས་བྱེད་པར་སྣང་བ་དེ་ལྟ་བུར་ཡང་འགྲུབ་སྟེ་། དེ་དག་འཇིགས་པ་བསྐྱེད་པའི་ཕྱིར་རོ་༎
 yathā meṣākṛtayaḥ parvatā āgacchanto gacchanto 'yaḥśālmalīvane ca kaṇṭakā adhomukhībhavanta ūrddhvamukhībhavantaś ceti |	དཔེར་ན་ལུག་ལྟ་བུའི་རི་དགས་འོང་བ་དང་། འགྲོ་བ་དང་། ལྕགས་ཀྱི་ཤལ་ལ་མ་ལིའི་ནགས་ཚལ་ཆོར་མ་ཁ་ཐུར་དུ་ལྟ་བ་དང་གྱེན་དུ་ལྟ་བར་འགྱུར་བ་ལྟ་བུ་སྟེ་།
 na te na saṃbhavanty eva |	དེ་དག་ནི་མེད་པ་ཡང་མ་ཡིན་ནོ་ཞེ་ན་།
 yadi tatkarmabhis tatra bhūtānāṃ saṃbhavas tathā |	གལ་ཏེ་དེའི་ལས་ཀྱིས་དེར་འབྱུང་བ་དག་ནི་བྱུང་བ་དང་། དེ་བཞིན་འགྱུར་བར་འདུག་ན་གོ་༎
 iṣyate pariṇāmaś ca kiṃ vijñānasya neṣyate || 6 ||	རྣམ་པར་ཤེས་པར་ཅིས་མི་འདོད་༎
 vijñānasyaiva tatkarmabhis tathā pariṇāmaḥ kasmān neṣyate kiṃ punar bhūtāni kalpyante || api ca |	དེའི་ལས་རྣམས་ཀྱིས་དེར་རྣམ་པར་ཤེས་པ་ཉིད་དེར་དེ་ལྟ་བུར་འགྱུར་བ་ཅིའི་ཕྱིར་མི་འདོད་ལ་། ཅིའི་ཕྱིར་འབྱུང་བ་རྣམས་སུ་རྟོག་། 
 karmaṇo vāsanānyatra phalam anyatra kalpyate |	གཞན་ན་ལས་ཀྱི་བག་ཆགས་ལ་༎ འབྲས་བུ་དག་ནི་གཞན་དུ་རྟོག་། 
