skt	tib
 abhidharmakośabhāṣyam prathamaṃ kośasthānam oṃ namo buddhāya	༄༡བ་༅་༎ རྒྱ་གར་སྐད་དུ་། ཨཨ་བྷི་དྷརྨ་ཀོ་ཤའ་ཀའ་རི་ཀའ་། བོད་སྐད་དུ་། ཆོས་མངོན་པའི་མཛོད་ཀྱི་ཚིག་ལེའུར་བྱས་པ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 yaḥ sarvathāsarvahatāndhakāraḥ saṃsārapaṅkājjagadujjahāra |	dd་གང་ཞིག་ཀུན་ལ་མུན་པ་གཏན་བཅོམ་ཞིང་༎ འཁོར་བའི་འདམ་ལས་འགྲོ་བ་དྲངས་མཛད་པ་༎
 tasmai namaskṛtya yathārthaśāstre śāstraṃ pravakṣyāmyabhidharmakośam || vakk_1|1 ||	དོན་བཞིན་སྟོན་པ་དེ་ལ་ཕྱག་འཚལ་ནས་༎ ཆོས་མངོན་མཛོད་ཀྱི་བསྟན་བཅོས་རབ་བཤད་བྱ་༎
 prajñāmalā sānucarābhidharmaḥ tatprāptaye yāpi ca yacca śāstram |	ཆོས་མངོན་ཤེས་རབ་དྲི་མེད་རྗེས་འབྲང་བཅས་༎ དེ་ཐོབ་བྱ་ཕྱིར་གང་དང་བསྟན་བཅོས་གང་༎ འདིར་དེ་དོན་དུ་ཡང་དག་ཆུད་ཕྱིར་རམ་༎
 tasyārthato 'smin samanupraveśāt sa cā śrayo 'syetyabhidharmakośam || vakk_1|2 ||	འདི་ཡི་གནས་དེ་ཡིན་པས་ཆོས་མངོན་མཛོད་༎
 dharmāṇāṃ pravicayamantareṇa nāsti kleśānāṃ yata upaśāntaye 'bhyupāyaḥ |	ཆོས་རྣམས་རབ་ཏུ་རྣམ་འབྱེད་མེད་པར་ཉོན་མོངས་རྣམས་༎ གང་ཕྱིར་ཉེ་བར་ཞི་བར་བྱ་བའི་ཐབས་མེད་ལ་༎
 kleśaiśca bhramati bhavārṇave 'tra lokastaddhetorata uditaḥ kilaiṣa śāstrā || vakk_1|3 ||	ཉོན་མོངས་པས་ཀྱང་འཇིག་རྟེན་སྲིད་མཚོ་འདིར་འཁྱམས་ཏེ་༎ དེ་བས་དེ་ཕྱིར་འདི་ནི་སྟོན་པས་གསུངས་སོ་ལོ་༎
 sāsravānāsravā dharmāḥ saṃskṛtā mārgavarjitāḥ |	ཟག་བཅས་ཟག་པ་མེད་ཆོས་རྣམས་༎ ལམ་མ་གཏོགས་པའི་འདུས་བྱས་རྣམས་༎
 sāsravāḥ āsravāsteṣu yasmātsamanuśerate || vakk_1|4 ||	ཟག་བཅས་གང་ཕྱིར་དེ་དག་ལ་༎ ༄༢ཨ་༌་༎ ཟག་རྣམས་ཀུན་ཏུ་རྒྱས་པར་འགྱུར་༎
 anāsravā mārgasatyaṃ trividhaṃ cāpyasaṃskṛtam |	ཟག་མེད་ལམ་གྱི་བདེན་པ་དང་༎ འདུས་མ་བྱས་རྣམ་གསུམ་ཡང་སྟེ་༎
 ākāśaṃ dvau nirodhau ca tatrākāśamanāvṛtiḥ || vakk_1|5 ||	ནམ་མཁའ་དང་ནི་འགོག་པ་གཉིས་༎ དེ་ལ་ནམ་མཁའ་མི་སྒྲིབ་པའོ་༎
 pratisaṃkhyānirodho yo visaṃyogaḥ pṛthak pṛthak |	སོ་སོར་བརྟགས་པས་འགོག་པ་གང་༎ བྲལ་བའོ་སོ་སོ་སོ་སོ་ཡིན་༎ སྐྱེ་ལ་གཏན་དུ་གེགས་བྱེད་པ་༎
 utpādātyantavighno 'nyo nirodho 'pratisaṃkhyayā || vakk_1|6 ||	འགོག་གཞན་སོ་སོར་བརྟགས་མིན་པས་༎
 te punaḥ saṃskṛtā dharmā rūpādiskandhapañcakam |	འདུས་བྱས་ཆོས་རྣམས་དེ་དག་ཀྱང་༎ གཟུགས་ལ་སོགས་པའི་ཕུང་པོ་ལྔ་༎
 sa evādhvā kathāvastu saniḥsārāḥ savastukāḥ || vakk_1|7 ||	དེ་དག་ཉིད་དུས་གཏམ་གཞི་དང་༎ ངེས་པར་འབྱུང་བཅས་གཞི་དང་བཅས་༎
 ye sāsravā upādānaskandhāste saraṇā api |	གང་དག་ཟག་བཅས་ཉེར་ལེན་པའི་༎ ཕུང་པོའང་དེ་དག་འཐབ་བཅས་ཀྱང་༎
 duḥkhaṃ samudayo loko dṛṣṭisthānaṃ bhavaśca te || vakk_1|8 ||	སྡུག་བསྔལ་ཀུན་འབྱུང་འཇིག་རྟེན་དང་༎ ལྟ་གནས་སྲིད་པའང་དེ་དག་ཡིན་༎
 rūpaṃ pañcendriyāṇyarthāḥ pañcāvijñaptireva ca |	གཟུགས་ནི་དབང་པོ་ལྔ་དང་དོན་༎ ལྔ་དང་རྣམ་རིག་བྱེད་མིན་ཉིད་༎
 tadvijñānāśrayā rūpaprasādāścakṣurādayaḥ || vakk_1|9 ||	དེ་དག་རྣམས་ཀྱི་རྣམ་ཤེས་རྟེན་༎ མིག་ལ་སོགས་གཟུགས་དང་བ་རྣམས་༎
 rūpaṃ dvidhā viṃśatidhā śabdastvaṣṭavidhaḥ rasaḥ |	གཟུགས་རྣམ་གཉིས་དང་རྣམ་ཉི་ཤུ་༎ སྒྲ་ནི་རྣམ་པ་བརྒྱད་ཡོད་དེ་༎
 ṣoḍhā caturvidho gandhaḥ spṛśyamekādaśātmakam || vakk_1|10 ||	རོ་ནི་རྣམ་དྲུག་དྲི་རྣམ་བཞི་༎ རེག་བྱ་བཅུ་གཅིག་བདག་ཉིད་དོ་༎
 vikṣiptācittakasyāpi yo 'nubandhaḥ śubhāśubhaḥ |	ག-ཡེངས་དང་སེམས་མེད་པ་ཡི་ཡང་༎ དགེ་དང་མི་དགེ་རྗེས་འབྲེལ་གང་༎
 mahābhūtānyupādāya sa hyavijñaptirucyate || vakk_1|11 ||	འབྱུང་བ་ཆེ་རྣམས་རྒྱུར་བྱས་པ་༎ དེ་ནི་རྣམ་རིག་བྱེད་མིན་བརྗོད་༎
 bhūtāni pṛthividhāturaptejovāyudhātavaḥ |	འབྱུང་བ་དག་ནི་ས་༄༢བ་ཁམས་དང་༎ ཆུ་དང་མེ་དང་རླུང་ཁམས་རྣམས་༎
 dhṛtyādikarmasaṃsiddhā kharasnehoṣṇateraṇāḥ || vakk_1|12 ||	འཛིན་པ་ལ་སོགས་ལས་སུ་གྲུབ་༎ སྲ་གཤེར་དྲོ་ཉིད་ག-ཡོ་བ་རྣམས་༎
 pṛthivī varṇasaṃsthānamucyate lokasaṃjñayā |	འཇིག་རྟེན་གྱི་ནི་ཐ་སྙད་དུ་༎ ཁ་དོག་དབྱིབས་ལ་ས་ཞེས་བརྗོད་༎
 āpastejaśca vāyustu dhātureva tathāpi ca || vakk_1|13 ||	ཆུ་མེ་ཡང་ངོ་རླུང་ཚོགས་ཁམས་༎ ཉིད་ཡིན་དེ་དང་འདྲ་བའང་ཡིན་༎
 indriyārthāsta eveṣṭā daśāyatanadhātavaḥ |	དབང་དོན་དེ་དག་ཁོ་ན་ལ་༎ སྐྱེ་མཆེད་དང་ནི་ཁམས་བཅུར་འདོད་༎
 vedanānubhavaḥ saṃjñā nimittodgrahaṇātmikā || vakk_1|14 ||	ཚོར་བ་མྱོང་བའོ་འདུ་ཤེས་ནི་༎ མཚན་མར་འཛིན་པའི་བདག་ཉིད་དོ་༎
 caturbhyo 'nye tu saṃskāraskandhaḥ ete punastrayaḥ |	འདུ་བྱེད་ཕུང་པོ་བཞི་ལས་གཞན་༎
 dharmāyatanadhātvākhyāḥ sahāvijñaptyasaṃskṛtai || vakk_1|15 ||	དེ་གསུམ་རྣམ་རིག་བྱེད་མིན་དང་༎ འདུས་མ་བྱས་རྣམས་བཅས་པ་ནི་༎ ཆོས་ཀྱི་སྐྱེ་མཆེད་ཁམས་ཞེས་བྱ་༎
 vijñānaṃ prativijñaptiḥ mana āyatanaṃ ca tat |	རྣམ་ཤེས་སོ་སོར་རྣམ་རིག་པ་༎ ཡིད་ཀྱི་སྐྱེ་མཆེད་ཀྱང་དེ་ཡིན་༎
 dhātavaḥ sapta ca matāḥ ṣaḍ vijñānānyatho mahaḥ || vakk_1|16 ||	ཁམས་བདུན་དག་ཏུའང་འདོད་པ་སྟེ་༎ རྣམ་པར་ཤེས་པ་དྲུག་དང་ཡིད་༎
 ṣaṇṇāmanantarātītaṃ vijñānaṃ yaddhi tanmanaḥ |	དྲུག་པོ་འདས་མ་ཐག་པ་ཡི་༎ རྣམ་ཤེས་གང་ཡིན་དེ་ཡིད་དོ་༎
 ṣaṣṭhāśrayaprasiddhayarthaṃ dhatavo 'ṣṭādaśa smṛtāḥ || vakk_1|17 ||	དྲུག་པའི་རྟེན་ནི་རབ་བསྒྲུབ་ཕྱིར་༏་། ཁམས་ནི་བཅོ་བརྒྱད་དག་ཏུ་འདོད་༎
 sarvasaṃgraha ekena skandhenāyatanena ca |	ཕུང་པོ་དང་ནི་སྐྱེ་མཆེད་དང་༎ ཁམས་གཅིག་གིས་ནི་ཐམས་ཅད་བསྡུས་༎
 dhātunā ca svabhāvena parabhāvaviyogataḥ || vakk_1|18 ||	རང་གི་ངོ་བོ་ཉིད་ཀྱིས་ཏེ་༎ གཞན་གྱི་དངོས་དང་མི་ལྡན་ཕྱིར་༎ མིག་ལ་སོགས་པ་གཉིས་མོད་ཀྱི་༎
 jātigocaravijñānasāmānyādekadhātutā |	རིགས་དང་སྤྱོད་ཡུལ་རྣམ་པར་ཤེས་༏་།འདྲ་བའི་ཕྱིར་ན་ཁམས་གཅིག་ཉིད་༎
 dvitve 'pi cakṣurādīnāṃ śobhārtha tu dvayodbhavaḥ || vakk_1|19 ||	མཛེས་བྱའི་ཕྱིར་ན་གཉིས་བྱུང་ངོ་༎
 rāśyāyadvāragotrārthāḥ skandhāyatanadhātavaḥ |	སྤུངས་དང་སྐྱེ་སྒོ་རིགས་ཀྱི་དོན་༎ ཕུང་པོ་སྐྱེ་མཆེད་ཁམས་རྣམས་ཡིན་༎
 mohendriyarūcitraidhāttistraḥ skandhādideśanāḥ || vakk_1|20 ||	རྨོངས་དབང་འདོད་རྣམ་གསུམ་གྱི་ཕྱིར་༎ ཕུང་པོ་ལ་སོགས་གསུམ་བསྟན་ཏོ་༎
 vivādamūlasaṃsārahetutvāt kramakāraṇāt |	རྩོད་པའི་རྩ་བར་འགྱུར་པ་དང་༎ འཁོར་བའི་རྒྱུ་ཕྱིར་རིམ་རྒྱུའི་ཕྱིར་༎
 caittebhyo vedanāsaṃjñe pṛthakskandhau niveśitau || vakk_1|21 ||	སེམས་བྱུང་རྣམས་ལས་ཚོར་བ་དང་༎ འདུ་ཤེས་ལོགས་ཤིག་ཕུང་པོར་གཞག་། 
 skandheṣva saṃskṛtaṃ noktamarthāyogāt kramaḥ punaḥ |	ཕུང་པོ་དག་ཏུ་འདུས་མ་བྱས་༎ དོན་དུ་མི་རུང་ཕྱིར་མ་བཤད་༎
 yathaudārikasaṃklesabhājanādyarthadhātutaḥ || vakk_1|22 ||	རིམ་ནི་རགས་དང་ཀུན་ཉོན་མོངས་༎ སྣོད་སོགས་དོན་ཁམས་ཇི་བཞིན་ནོ་༎ ད་ལྟའི་དོན་ཕྱིར་དང་པོ་ལྔ་༎
 prāk pañca vārttamānārthyāt bhautikārthyāccatuṣṭayam |	འབྱུང་བ་ལས་གྱུར་དོན་ཕྱིར་བཞི་༎
 dūrāśutaravṛttyānyat yathāsthānaṃ kramo 'thavā || vakk_1|23 ||	གཞན་ནི་ཆེས་རིང་མྱུར་འཇུག་ཕྱིར་༎ ཡང་ན་ཇི་ལྟར་གནས་བཞིན་རིམ་༎
 viśeṣaṇārthaṃ prādhānyabdahudharmāgrasaṃgrahāt |	བྱེ་བྲག་དོན་དང་གཙོ་བོའི་ཕྱིར་༎ ཆོས་མང་བ་དང་མཆོག་བསྡུས་ཕྱིར་༎
 ekamāyatanaṃ rūpamekaṃ dharmākhyamucyate || vakk_1|24 ||	གཅིག་ནི་གཟུགས་ཀྱི་སྐྱེ་མཆེད་༄༣ཨ་༌་༎ དང་༏་། གཅིག་ནི་ཆོས་ཞེས་བྱ་བར་བརྗོད་༎
 dharmaskandhasahasrāṇi yānyaśītiṃ jagau muniḥ |	ཆོས་ཀྱི་ཕུང་པོ་བརྒྱད་ཁྲི་དག་། གང་རྣམས་ཐུབ་པས་གསུངས་དེ་དག་། 
 tāni vāṅnāma vetyeṣāṃ rūpasaṃskārasaṃgrahaḥ || vakk_1|25 ||	ཚིག་གམ་མིང་ཡིན་དེ་དག་ནི་༎ གཟུགས་དང་འདུ་བྱེད་དག་ཏུ་འདུས་༎
 śāstrapramāṇā ityeke skandhādīnāṃ kathaikaśaḥ |	ཁ་ཅིག་བསྟན་བཅོས་ཚད་ཅེས་ཟེར་༎ ཕུང་པོ་ལ་སོགས་གཏམ་རེ་ཡིན་༎
