skt	tib
 || hetubinduṭīkā || namaḥ sarvajñāya || [jinanamaskāreṇa maṅgalam |]	༄༡༨༡བ་༅་༎ རྒྱ་གར་སྐད་དུ་། ཧེ་ཏུ་བིནདུ་བི་བ་རན་། བོད་སྐད་དུ་། གཏན་ཚིགས་ཐིགས་པའི་འགྲེལ་པ་། བཅོམ་ལྡན་འདས་རྡོ་རྗེ་འཆང་བ་ལ་ཕྱག་འཚལ་ལོ་༎ སྐྱེ་བོའི་ཚོགས་ཀྱི་ཉོན་མོངས་སྐྱོབ་པའི་ཕྱིར་ན་ཐུགས་རྗེ་ཆེན་པོ་ཡང་དག་བསྐྱེད་བ་ཅན་༎
 yaḥ sañjātamahākṛpo vyasaninaṃ trātuṃ samagraṃ janam,	བསོད་ནམས་ཡེ་ཤེས་བདག་ཉིད་རབ་ཏུ་བསགས་པ་རྒྱ་ཆེ་བ་ཡི་རྒྱུ་དག་ངལ་བ་རྣམ་པར་བསལ་༎ 
 puṇyajñānamayaṃ[1]pracitya vipulaṃ hetuṃ vidhūtaśramaḥ | kṛtsnajñeyavisarppi[nirmalataraprajñoda]yādriṃ śrito	ཤེས་བྱ་མ་ལུས་རབ་འབྱམས་དྲི་མ་མེད་པའི་ཤེས་རབ་འཆར་བའི་རི་བོ་ལ་བརྟེན་བསལ་༎ 
 loke hārddatamopaho jinaravirmūrdhnā namasyāmi tam || 1 || __________notes__________ [1] puṇya- : prastuta-	ནས་༎ འཇིག་རྟེན་སྙིང་གི་མུན་པ་འཇོམས་མཛད་རྒྱལ་བ་ཉི་མ་གང་ཡིན་དེ་ལ་སྤྱི་བོས་ཕྱག་འཚལ་ལོ་༎
 [dharmakīrtivacasāṃ sarasatamatvakhyāpanam | ] varaṃ hidhārmakīrtteṣu[|1]2carviteṣv api carvaṇam[2]|	ཆོས་ཀྱི་གྲགས་པའི་རྣམས་ལ་ནི༎ དཔྱད་ཟིན་ཀྱང་ནི་དཔྱད་པ་མཛེས་༎ རྒུན་ནི་བཙིར་བ་གྱུར་ཀྱང་ནི་༎
 niṣpīḍitā'pi mṛdvī[kā mādhuryaṃ hi jahā]ti kim ? || 2 || __________notes__________ [2] carciteṣvapi carvanam -- t| [svalāghavaṃ prakhyāpya granthavivaraṇapratijñā | ]	མངར་བ་ཅིས་ན་འདོར་འགྱུར་རམ་༎ འགྲོ་རྣམས་ཕྱོགས་གཅིག་གང་གི་བློ་༎
 nyāyamārggatulārūḍhaṃ jagad ekatra yanmatiḥ |	རིགས་ལམ་གནས་ནས་གཞལ་གྱུར་ན་༎ རྒྱལ་གྱུར་དེ་གསུང་ཟབ་མོ་གང་༎
 jayet tasya kva gambhīrā giro 'haṃ jaḍadhīḥ kva ca ? || 3 ||	བདག་བློ་བླུན་པོས་ག་ལ་ཡིན་༎ དེ་ལྟ་ན་ཡང་བདག་ལས་ཀྱང༎
 tathāpi mandamatayaḥ santi matto ['pi kecana |	གང་དག་ཁ་ཅིག་བློ་དམན་པ་༎
 yānuddiśya] mayāpy eṣa hetubindur vibhajyate || 4 ||	ཡོད་པ་རྣམས་ལ་བདག་གིས་ནི་༎ གཏན་ཚིགས་ཐིགས་པར་རྣམ་པར་དབྱེ་༎
 [ādivākyasya prayojanaprakaṭanam | ] parokṣe -- [tt| 355b|] ty ādinā prakaraṇārambhe prayojanam āha |	ཁ་ཅིག་ནི་དོན་ལྐོག་ཏུ་གྱུར་པ་ལ་སོགས་པ་རབ་ཏུ་བྱེད་བ་རྩོམ་པའི་དགོས་པ་གསུངས་པ་བ་དེ་ཡང་ཉན་པའི་སྐྱེ་བོ་འཇུག་པའི་དོན་ཡིན་ནོ་ཞེས་བྱ་བ་དེ་ལ་༎ བསྟན་བཅོས་ཐམས་ཅད་ཉིད་དམ་ནི་༎ ཡང་ན་བྱ་བ་འགའ་ཞིག་ལ་༎ ཇི་སྲིད་དགོས་པ་མ་བརྗོད་པར་༎ དེ་སྲིད་གང་གིས་གཟུང་བར་བྱ་༎
 tac ca[3]śrotṛjanapravṛtty artham itikecit |	ཞེ་ན་།
 tad ukta[m -- sarvasyaiva hiśā]strasya karmaṇo vā'pi kasyacit | yāvat prayojanaṃnoktaṃtāvat tat kena gṛhyatām || [ślsū 1|12|]	དེ་ནི་མི་རིགས་ཏེ་།
 iti | tad ayuktam[4]| yato 'sya prakaraṇasyedaṃ prayojanam iti [pradarśane prayo]janaviśeṣaṃ prati upāyatāṃ prakaraṇasya niścityānupāye {p| 2|1} pravṛttyasambhavāt prekṣāvatāṃ tadarthitayā[5]pra[karaṇaśravaṇādau pravṛttiḥ] [s| 2a] syād iti tadabhidhānasyārthavattā[6]varṇyate na caitad[7]yuktam |	གང་གིས་རབ་ཏུ་བྱེད་པ་འདིའི་དགོས་པ་འདི་ཡིན་ནོ་ཞེས་བརྗོད་པས་དགོས་པའི་ཁྱད་པར་དག་གི་རབ་ཏུ་བྱེད་པ་ནི་ཐབས་སུ་ངེས་པ་ཡིན་ཏེ་། ཐབས་མ་ཡིན་པ་ལ་མི་འཇུག་པའི་ཕྱིར་དེ་དོན་དུ་གཉེར་བའི་རྟོག་པ་དང་ལྡན་པས་རབ་ཏུ་བྱེད་པ་མཉམ་པ་ལ་སོགས་པ་འཇུག་པར་འགྱུར་རོ་ཞེས་རྗོད་པར་བྱེད་པ་དོན་དང་ལྡན་པར་སྨྲ་བ་དེ་སྐད་སྟོན་པ་དེ་ནི་མི་རིགས་ཏེ་།
 yataḥ prekṣāvatāṃ pravṛttiḥ prayojanārthināṃ tadupāye[8]tadbhāvaniścayāt[9]|	གང་གི་ཕྱིར་རྟོག་པ་དང་ལྡན་པ་རྣམས་ཀྱིས་དགོས་པ་དོན་དུ་གཉེར་བ་རྣམས་ནི་དེའི་ཐབས་ངེས་པ་དེ་ཡོད་པ་ལས་ཡིན་ཏེ་།
 yathā kṛṣīva[lādīnāṃ sasyā]dy upāye bījādāva'bījādivivekenā'vadhṛtabījādibhāvānām |	དཔེར་ན་ཞིང་རྨོ་བ་ལ་སོགས་པ་རྣམས་ལོ་ཐོག་ལ་སོགས་པའི་ཐབས་ས་བོན་ལ་སོགས་པ་ས་བོན་མ་ཡིན་པ་ལས་དབེན་པའི་ས་བོན་ལ་སོགས་པ་ངེས་པར་འགྱུར་བ་བཞིན་ནོ་༎
 anyathā hy aniścitopāyānām upeyārthanāṃ [t| 206b|] pravṛttau prekṣāvattaiva hīyeta |	གཞན་དུ་ན་ཐབས་མ་ངེས་པའི་ཐབས་ལས་བྱུང་བ་དོན་དུ་གཉེར་བ་ནི་རྟོག་༄༡༨༢ཨ་༌་༎ པ་དང་ལྡན་པ་རྣམས་སྤོང་བར་འགྱུར་ཏེ་། ཐབས་ལས་བྱུང་བའམ་འབྱུང་བར་འགྱུར་བ་ལ་ཚད་མའི་བྱ་བ་མི་སྲིད་པའི་ཕྱིར་རོ་༎
