skt	tib
 for example -vat, -mat, remain undivided, and terms such as a numeral+ -dha| -vidha| -prakara remain also undivided| 3|3| compound words with the suffixes -ta| -tva or -bhava| -bhuta fundamentally remain undivided| for example: karyakaranabhava|-bhuta|-ta| 3|4| compound words with evam-, tat-, tatha-, para-, yatha-, su-, sva- in the wordhead fundamentally remain undivided| for example: evamjatiya, tadutpatti, tathakrta, paratantra, yathartha, yathasvam, sujnanatva, svabhava| 3|5| some compound words which are regarded as terminology remain also undivided| for example: agnihotra, ayogavyavaccheda, arthapatti, padartha, paramartha, prasajyapratisedha, viruddhavyabhicarin, samanantarapratyaya, samtanaparinama, samanyalaksana, svabhavapratibandha| 4| those terms whose wordhead is subject to the sandhi rules (for example, -d dhetu-) are cited in their original form (for example, -d *hetu-) for the sake of using this database to make an kWic index| 1| august| 1997 | tsukuba motoi ono note: this database is quite a tentative one, and i must admit that there are a lot of errors and defects in this version| i would appreciate it very much if the user would point out any errors in this version so that we can make a better new version in the future| e-mail: ono@logos|tsukuba|ac|jp *************************************************************************	༄༢༣༡བ་༌་༎ རྒྱ་གར་སྐད་དུ་། ཉའ་ཡ་བིན་དུ་ན་ནའ་མ་པྲ་ཀ་ར་ན་། བོད་སྐད་དུ་། རིགས་པའི་ཐིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 01001 samyag-jñāna-pūrvikā sarva-puruṣa-artha-siddhir iti tad vyutpādyate|	ཡང་དག་པའི་ཤེས་པ་ནི་། སྐྱེས་བུའི་དོན་ཐམས་ཅད་འགྲུབ་པའི་སྔོན་དུ་འགྲོ་བ་ཅན་ཡིན་པས་ན་དེ་བསྟན་ཏོ་༎
 01002 dvividhaṃ samyag-jñānam|	ཡང་དག་པའི་ཤེས་པ་ནི་རྣམ་པ་གཉིས་ཏེ་།
 01003 pratyakṣam anumānaṃ ca iti|	མངོན་སུམ་དང་རྗེས་སུ་དཔག་པའོ་༎
 01004 tatra pratyakṣaṃ kalpanā apoḍham abhrāntam|	དེ་ལ་མངོན་སུམ་ནི་རྟོག་པ་དང་བྲལ་ཞིང་མ་འཁྲུལ་པའོ་༎ རྟོག་པ་ནི་།
 01005 abhilāpa-saṃsarga-yogya-pratibhāsā pratītiḥ kalpanā|	ཤེས་པ་ལ་བརྗོད་པ་དང་འདྲེར་རུང་བ་སྣང་བ་སྟེ་དེ་དང་བྲལ་བའོ་༎
 01006 tayā rahitaṃ timira-āśubhramaṇa-nauyāna-saṃkṣobha-ādy-anāhita-vibhramaṃ jñānaṃ pratyakṣam|	རབ་རིབ་དང་། མྱུར་དུ་བསྐོར་བ་དང་། གྲུར་ཞུགས་པ་དང་། འཁྲུག་པ་ལ་སོགས་པས་འཁྲུལ་པ་མ་སྐྱེས་པའི་ཤེས་པ་ནི་མངོན་སུམ་མོ་༎
 01007 tat caturvidham|	དེ་ནི་རྣམ་པ་བཞི་སྟེ་།
 01008 indriya-jñānam| 01009 sva-viṣaya-anantara-viṣaya-sahakāriṇā indriya-jñānena samanantarapratyayena janitaṃ tan manovijñānam|	དབང་པོའི་ཤེས་པ་དང་། རང་གི་ཡུལ་གྱི་དེ་མ་ཐག་པ་ཡུལ་ལྷན་ཅིག་བྱེད་པ་ཅན་། དབང་པོའི་ཤེས་པ་མཚུངས་པ་དེ་མ་ཐག་པའི་རྐྱེན་གྱིས་བསྐྱེད་པའི་ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ་དང་། 
 01010 sarva-citta-caittānām ātma-saṃvedanam| 01011 bhūta-artha-bhāvanā-prakarṣa-paryantajaṃ yogijñānaṃ ca iti|	སེམས་དང་སེམས་ལས་བྱུང་བ་ཐམས་ཅད་ཀྱི་རང་རིག་པ་དང་། ཡང་དག་པའི་དོན་བསྒོམ་པའི་རབ་ཀྱི་མཐའ་ལས་བྱུང་བ་རྣལ་འབྱོར་པའི་ཤེས་པའོ་༎
 01012 tasya viṣayaḥ svalakṣaṇam|	དེའི་ཡུལ་ནི་རང་གི་མཚན་ཉིད་དེ་།
 01013 yasya arthasya saṃnidhāna-asaṃnidhānābhyāṃ jñāna-pratibhāsa-bhedas tat svalakṣaṇam|	དོན་གང་ཉེ་བ་དང་མི་ཉེ་བ་དག་ལས་ཤེས་པ་ལ་སྣང་བ་ཐ་དད་པ་དེ་ནི་རང་གི་མཚན་ཉིད་དོ་༎
 01014 tad eva paramārthasat| 01015 arthakriyāsāmarthya-lakṣaṇatvād vastunaḥ|	དེ་ཉིད་དོན་དམ་པར་ཡོད་པ་སྟེ་དངོས་པོའི་མཚན་ཉིད་ནི་དོན་བྱེད་མཚན་ཉིད་ཁོ་ན་ཡིན་པའི་ཕྱིར་རོ་༎ 
 01016 anyat sāmānyalakṣaṇam|	གཞན་ནི་སྤྱིའི་མཚན་ཉིད་དེ་།
 01017 so anumānasya viṣayaḥ|	དེ་ནི་རྗེས་སུ་དཔག་པའི་ཡུལ་ཡིན་ནོ་༎
 01018 tad eva ca pratyakṣaṃ jñānaṃ pramāṇa-phalam|	མངོན་སུམ་གྱི་ཤེས་པ་དེ་ཉིད་ཚད་མའི་འབྲས་བུ་སྟེ་།
 01019 artha-pratīti-rūpatvāt|	དོན་རྟོགས་པའི་ངོ་བོ་ཁོ་ན་ཡིན་པའི་ཕྱིར་རོ་༎
 01020 artha-sārūpyam asya pramāṇam|	དོན་དང་འདྲ་བ་ཉིད་དེའི་ཚད་མ་སྟེ་།
 01021 tad-vaśād artha-pratīti-siddher iti|	དེའི་དབང་གིས་དོན་རྟོགས་པ་འགྲུབ་པའི་ཕྱིར་རོ་༎ རིགས་པའི་ཐིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ་ལས་། མངོན་སུམ་གྱི་ལེའུ་སྟེ་དང་པོའོ་།
 02001 anumānaṃ dvividhā|	༎ ། རྗེས་སུ་དཔག་པ་ནི་རྣམ་པ་གཉིས་ཏེ་།
 02002 svārthaṃ parārthaṃ ca|	རང་གི་དོན་དང་གཞན་གྱི་དོན་ནོ་༎
 02003 tatra svārthaṃ trirūpāl liṅgād yad anumeye jñānaṃ tad anumānam|	དེ་ལ་རང་གི་དོན་གྱི་རྗེས་སུ་དཔག་པར་བྱ་བ་ལ་ཚུལ་གསུམ་པའི་རྟགས་ལས་ཤེས་པ་གང་ཡིན་པའོ་༎ 
 02004 pramāṇa-phala-vyavasthā atra api pratyakṣa-vat|	འདིར་ཡང་ཚད་མའི་འབྲས་བུ་རྣམ་པར་གཞག་པ་ནི་མངོན་སུམ་དང་འདྲའོ་༎
 02005 trairūpyaṃ punar liṅgasya anumeye sattvam eva, sapakṣa eva sattvam,	ཚུལ་གསུམ་པ་ཉིད་ཀྱི་རྟགས་ནི་རྗེས་སུ་དཔག་པར་བྱ་བ་ལ་ཡོད་པ་ཉིད་དང་། ༄༢༣༢ཨ་༌་༎ མཐུན་པའི་ཕྱོགས་ཉིད་ལ་ཡོད་པ་དང་། མི་མཐུན་པའི་ཕྱོགས་ལ་མེད་པ་ཉིད་དུ་ངེས་པའོ་༎
 asapakṣe ca asattvam eva niścitam| 02006 anumeyo atra jijñāṣita-viśeṣo dharmī| 02007 sādhya-dharma-sāmānyena samāno arthaḥ sapakṣaḥ|	རྗེས་སུ་དཔག་པར་བྱ་བ་ནི་འདིར་ཤེས་པར་འདོད་པའི་བྱེ་བྲག་དང་ལྡན་པའི་ཆོས་ཅན་ནོ་༎ མཐུན་པའི་ཕྱོགས་ནི་བསྒྲུབ་པར་བྱ་བའི་ཆོས་ཀྱི་སྤྱི་དང་དོན་མཐུན་པའོ་༎
 02008 na sapakṣo asapakṣaḥ|	མི་མཐུན་པའི་ཕྱོགས་ནི་མཐུན་པའི་ཕྱོགས་མ་ཡིན་པ་སྟེ་།
 02009 tato anyas tad-viruddhas tad-abhāvaś ca iti|	དེ་ལས་གཞན་པ་དང་། དེ་དང་འགལ་བ་དང་། དེ་མེད་པའོ་༎
 02010 trirūpāṇi ca trīṇy eva liṅgāni|	ཚུལ་གསུམ་པོ་དག་ནི་རྟགས་གསུམ་ཁོ་ན་དང་ལྡན་པ་སྟེ་།
 02011 anupalabdhiḥ svabhāvaḥ kāryaṃ ca iti|	མི་དམིགས་པ་དང་། རང་བཞིན་དང་། འབྲས་བུའོ་༎
 02012 tatra anupalabdhir yathā, na pradeśa-viśeṣe kvacid ghaṭaḥ,	དེ་ལ་མི་དམིགས་པ་ནི་དཔེར་ན་ཕྱོགས་ཀྱི་བྱེ་བྲག་འགའ་ཞིག་ན་བུམ་པ་མེད་དེ་།
 upalabdhi-lakṣaṇa-prāptasya anupalabdher iti	དམིགས་པའི་རིག་བྱར་གྱུར་པ་ལས་མི་དམིགས་པའི་ཕྱིར་རོ་ཞེས་བྱ་བ་ལྟ་བུའོ་༎
 02013 upalabdhi-lakṣaṇa-prāptir upalambha-pratyaya-antara-sākalyaṃ svabhāva-viśeṣaś ca|	དམིགས་པའི་རིག་བྱར་གྱུར་པ་ནི་དམིགས་པའི་རྐྱེན་གཞན་ཚང་བ་ཉིད་དང་རང་བཞིན་ཁྱད་པར་ཅན་ཏེ་། 
 02014 yaḥ svabhāvaḥ satsv anyeṣu upalambha-pratyayeṣu san pratyakṣa eva bhavati sa svabhāva-viśeṣaḥ|	རང་བཞིན་གང་ཡོད་ལ་དམིགས་པའི་རྐྱེན་གཞན་དག་ཀྱང་ཡོད་ན་མངོན་སུམ་ཁོ་ནར་འགྱུར་ཏེ་། 
 02015 svabhāvaḥ sva-sattā-mātra-bhāvini sādhya-dharme hetuḥ|	བའོ་༎ རང་བཞིན་ནི་རང་ཡོད་པ་ཙམ་དུ་གྱུར་པ་། བསྒྲུབ་པར་བྱ་བའི་ཆོས་ཀྱི་གཏན་ཚིགས་ཏེ་།
 02016 yathā vṛkṣo ayaṃ śiṃśapātvād iti|	དཔེར་ན་ཤིང་ཤ་པ་ཡིན་པའི་ཕྱིར་།
 02017 kāryaṃ yathā vahnir atra dhūmād iti|	འདི་ནི་ཤིང་ངོ་ཞེས་བྱ་བ་ལྟ་བུའོ་༎ འབྲས་བུ་ནི་དཔེར་ན་དུ་བ་ཡོད་པའི་ཕྱིར་། དེ་ན་མེ་ཡོད་དོ་ཞེས་བྱ་བ་ལྟ་བུའོ་༎
 02018 atra dvau vastu-sādhanau| ekaḥ pratiṣedha-hetuḥ	འདི་ལ་གཉིས་ནི་དངོས་པོ་སྒྲུབ་པའོ་༎ གཅིག་ནི་དགག་པའི་གཏན་ཚིགས་སོ་༎
 02019 svabhāvapratibandhe hi saty artho arthaṃ gamayet|	རང་བཞིན་འབྲེལ་པ་ཡོད་ན་། དོན་གྱིས་དོན་གོ་བར་བྱེད་དེ་།
 02020 tad-apratibaddhasya tad-avyabhicāra-niyama-abhāvāt|	དེ་དང་མ་འབྲེལ་ན་དེར་མི་འཁྲུལ་བར་ངེས་པ་མེད་པའི་ཕྱིར་རོ་༎
 02021 sa ca pratibandhaḥ sādhye arthe liṅgasya|	བསྒྲུབ་པར་བྱ་བའི་དོན་ལ་རྟགས་འབྲེལ་པ་དེ་ཡང་། དངོས་སུ་ན་བསྒྲུབ་པར་བྱ་བའི་དོན་གྱི་རང་བཞིན་ཡིན་པའི་ཕྱིར་དང་། བསྒྲུབ་པར་བྱ་བའི་དོན་ལས་འབྱུང་བའི་ཕྱིར་ཏེ་།
 02022 vastutas tādātmyāt tadutpatteś ca| 02023 atad-svabhāvasya atadutpatteś ca tatra apratibaddha-svabhāvatvāt|	དེའི་རང་བཞིན་མ་ཡིན་པ་དང་། དེ་ལས་བྱུང་བ་མ་ཡིན་པ་ནི་དེ་དང་འབྲེལ་པ་མེད་པའི་རང་བཞིན་ཡིན་པའི་ཕྱིར་རོ་༎ དེའི་བདག་ཉིད་དང་དེ་ལས་བྱུང་བ་དེ་གཉིས་ཀྱང་།
 02024 te ca tādātmya-tadupattī svabhāva-kāryayor eva iti tābhyām eva vastu-siddhiḥ|	རང་བཞིན་དང་འབྲས་བུ་ཁོ་ན་ཡིན་ཏེ་། དེ་གཉིས་ཁོ་ནས་དངོས་པོ་གྲུབ་པོ་༎
 02025 pratiṣedha-siddhir api yathoktāyā eva anupalabdheḥ|	དགག་པ་སྒྲུབ་ཀྱང་མི་དམིགས་པ་ཇི་སྐད་སྨོས་པ་ཁོ་ན་ལས་འགྱུར་ཏེ་།
 02026 sati vastuni tasyā asambhavāt|	དངོས་པོ་ཡོད་ན་ནི་དེ་མི་སྲིད་པའི་ཕྱིར་རོ་༎
 02027 anyathā ca anupalabdhi-lakṣaṇa-prāpteṣu deśa-kāla-svabhāva-viprakṛṣṭeṣv artheṣv ātma-pratyakṣa-nivṛtter abhāva-niścaya-abhāvāt|	གཞན་དུ་ནི་ཡུལ་དང་། དུས་དང་། རང་བཞིན་གྱིས་བསྐལ་པའི་དོན་དམིགས་པའི་རིག་བྱར་མ་༄༢༣༢བ་གྱུར་པ་རྣམས་ལ་། རང་གི་མངོན་སུམ་ལོག་ཀྱང་དངོས་པོ་མེད་པར་ངེས་པ་མེད་པའི་ཕྱིར་རོ་༎
 02028 amūḍha-smṛti-saṃskārasya atītasya vartamānasya ca pratipattṛ-pratyakṣasya nivṛttir abhāva-vyavahāra-pravartanī|	མི་རྨོངས་པར་དྲན་པའི་འདུ་བྱེད་སྒྲུབ་པ་པོའི་མངོན་སུམ་འདས་པ་དང་། ད་ལྟར་གྱི་ལོག་ན་དངོས་པོ་མེད་པའི་ཐ་སྙད་འཇུག་སྟེ་།
 02029 tasyā eva abhāva-niścayāt|	དེ་ཉིད་ཀྱི་དངོས་པོ་མེད་པར་ངེས་པའི་ཕྱིར་རོ་༎
 02030 sā ca prayoga-bhedād ekadaśa-prakārā|	དེ་ནི་སྦྱོར་བའི་བྱེ་བྲག་གིས་རྣམ་པ་བཅུ་གཅིག་སྟེ་།
 02031 svabhāva-anupalabdhir yathā, na atra dhūma upalabdhi-lakṣaṇa-prāptasya anupalabdhir iti|	རང་བཞིན་མི་དམིགས་པ་ནི་དཔེར་ན་འདི་ན་དུ་བ་མེད་དེ་དམིགས་པའི་རིག་བྱར་གྱུར་པ་ལས་མི་དམིགས་པའི་ཕྱིར་རོ་༎ ཞེས་བྱ་བ་ལྟ་བུའོ་༎
 02032 kārya-anupalabdhir yathā,	འབྲས་བུ་མི་དམིགས་པ་ནི་།
