skt	tib
 1| sādhanaṃ dūṣaṇaṃ caiva sābhāsaṃ parasaṃvide |	བསྒྲུབ་དང་སུན་ནི་འབྱིན་པ་དང་། ལྟར་སྣང་བཅས་པས་གཞན་རིག་བྱེད་༎
 pratyakṣam anumānaṃ ca sābhāsaṃ tv ātmasaṃvide ||	མངོན་སུམ་དང་ནི་རྗེས་དཔག་གཉིས་༎ ལྟར་སྣང་བཅས་པས་བདག་རིག་བྱེད་༎
 iti śāstrārthasaṃgrahaḥ ||	འདི་ནི་བསྟན་བཅོས་ཀྱི་དོན་བསྡུས་པའོ་༎
 2| vādinā svayaṃ sādhayitum iṣṭo 'rthaḥ sādhyaḥ |	རྒོལ་བ་བདག་ཉིད་ཀྱིས་བསྒྲུབ་པར་འདོད་པའི་དོན་ནི་བསྒྲུབ་པར་བྱའོ་༎
 sādhyate yena tat sādhanam |	གང་གིས་སྒྲུབ་པར་བྱད་པ་དེ་ནི་བསྒྲུབ་པ་ཡིན་ཏེ་།
 3| hetos trirūpavacanam |	གཏན་ཚིགས་ཀྱི་ཚུལ་གསུམ་བརྗོད་པའོ་༎
 kāni punas tāni triṇi rūpāṇi |	ཚུལ་གསུམ་པོ་དེ་དག་ཀྱང་གང་ཞེ་ན་།
 pakṣe sattvam evety ekaṃ rūpam |	ཕྱོགས་ལ་ཡོད་པ་ཉིད་ནི་ཚུལ་གཅིག་གོ་༎
 sapakṣa eva sattvam iti dvitīyaṃ rūpam |	མཐུན་པའི་ཕྱོགས་ཉིད་ལ་ཡོད་པ་ཞེས་བྱ་བ་ནི་ཚུལ་གཉིས་པའོ་༎
 vipakṣe cāsattvam eva niścitam iti tṛtīyam ||	མི་མཐུན་པའི་ཕྱོགས་ལ་མེད་པ་ཉིད་དུ་ངེས་པ་ཞེས་བྱ་བ་ནི་༄༣༡༤བ་ཚུལ་གསུམ་པའོ་༎
 4| tatra pakṣaḥ prasiddho dharmī prasiddheṇa viśeṣeṇa viśiṣṭaḥ svayaṃ sādhayitum iṣṭaḥ pratyakṣādyaviruddhaḥ |	དེ་ལ་ཕྱོགས་ནི་རབ་ཏུ་གྲུབ་པའི་ཆོས་ཅན་ནོ་༎ རབ་ཏུ་གྲུབ་པའི་ཁྱད་པར་གྱི་བྱེ་བྲག་བདག་ཉིད་སྒྲུབ་པར་འདོད་པ་མངོན་སུམ་ལ་སོགས་པ་དང་འགལ་བ་མེད་པ་ཡིན་ཏེ་།
 yathā śabdo dharmī anityatvena viśeṇa viśiṣtaḥ sādhyate kṛtakatvād iti hetuḥ ||	དཔེར་ན་ཆོས་ཅན་སྒྲ་མི་རྟག་པའི་ཁྱད་པར་གྱི་བྱེ་བྲག་དང་ལྡན་པ་ནི་བསྒྲུབ་པར་བྱའོ་༎ བྱས་པའི་ཕྱིར་རོ་ཞེས་བྱ་བ་ནི་གཏན་ཚིགས་ཡིན་པ་བཞིན་ནོ་༎
 5| kaḥ sapakṣaḥ |	མཐུན་པའི་ཕྱོགས་གང་ཞེ་ན་།
 sādhyadharmeṇa sāmānyena samānaḥ sapakṣo yathā ghaṭādir iti ||	བསྒྲུབ་པར་བྱ་བའི་ཆོས་ཀྱི་སྤྱིས་མཐུན་པ་ནི་མཐུན་པའི་ཕྱོགས་ཏེ་། དཔེར་ན་བུམ་པ་ལ་སོགས་པ་ལྟ་བུའོ་༎
 6| ko vā hetor vipakṣaḥ |	གཏན་ཚིགས་ཀྱི་མི་མཐུན་པའི་ཕྱོགས་གང་ཞེ་ན་།
 yatra sādhyābhāvena hetor abhāvo niyamena kathyate [ yathākāśādir iti ||	གང་དུ་བསྒྲུབ་པར་བྱ་བ་མེད་པས་གཏན་ཚིགས་མེད་པར་ངེས་པར་སྟོན་པ་ཡིན་ཏེ་། དཔེར་ན་ནམ་མཁའ་ལ་སོགས་པ་བཞིན་ནོ་༎
 7| etad eva ca hetos trirūpavacanaṃ parapratyāyanāya prayujyamānaṃ parārtham anumānam ucyate |	གཏན་ཚིགས་ཀྱི་ཚུལ་གསུམ་པ་བསྟན་པ་དེ་ཉིད་ཀྱིས་གཞན་ཁོང་དུ་ཆུད་པའི་ཆེད་དུ་སྦྱོར་བར་བྱས་པ་ནི་གཞན་གྱི་དོན་རྗེས་སུ་དཔག་བ་ཞེས་བསྟན་ཏོ་༎ 
 yathā anityaḥ śabda iti pakṣavacanaṃ kṛtakatvād iti hetuvacanam |	དཔེར་ན་སྒྲ་མི་རྟག་གོ་ཞེས་བྱ་བ་ནི་ཕྱོགས་བརྗོད་པའོ་༎ བྱས་པའི་ཕྱིར་རོ་ཞེས་བྱ་བ་ནི་གཏན་ཚིགས་བརྗོད་པའོ་༎
 ghaṭādivad iti sapakṣavacanaṃ |	བུམ་པ་ལ་སོགས་པ་བཞིན་ནོ་ཞེས་བྱ་བ་ནི་མཐུན་པའི་ཕྱོགས་བརྗོད་པའོ་༎
 ākāśavad iti vipakṣavacanam ||	ནམ་མཁའ་ལ་སོགས་པ་བཞིན་ནོ་ཞེས་བྱ་བ་ནི་མི་མཐུན་པའི་ཕྱོགས་བརྗོད་པའོ་༎
 8| tat punar dvividhaṃ dṛṣṭam |	དེ་ཡང་རྣམ་པ་གཉིས་སུ་སྣང་སྟེ་།
 sādharmyeṇa vaidharmyeṇa ca | (htu 262)	ཆོས་མཐུན་པ་དང་མ་ཆོས་མི་མཐུན་པའོ་།
 9| tatra sādharmyeṇa tāvat |	དེ་ལ་རེ་ཞིག་ཆོས་མཐུན་པ་ནི་༎
 yat kṛtakaṃ tat sarvam anityaṃ dṛṣṭam |	གང་བྱས་པ་དེ་ཐམས་ཅད་ནི་མི་རྟག་པར་མཐོང་བ་༎
 yathā ghaṭādiḥ |	དཔེར་ན་བུམ་པ་ལ་སོགས་པའོ་༎
