skt	tib
 hetutattvopadeśaḥ mañjuśrīkumārabhūtāya namaḥ	༄༣༡༤ཨ་༅་༎ རྒྱ་གར་སྐད་དུ་། ཧེ་ཏུ་ཏ་ཏཏབ༹་ཨཽ་པ་དེ་ཤ་། བོད་སྐད་དུ་། གཏན་ཚིགས་ཀྱི་དེ་ཁོ་ན་ཉིད་བསྟན་པ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 1| sādhanaṃ dūṣaṇaṃ caiva sābhāsaṃ parasaṃvide |	བསྒྲུབ་དང་སུན་ནི་འབྱིན་པ་དང་། ལྟར་སྣང་བཅས་པས་གཞན་རིག་བྱེད་༎
 pratyakṣamanumānaṃ ca sābhāsaṃ tvātmasaṃvide ||	མངོན་སུམ་དང་ནི་རྗེས་དཔག་གཉིས་༎ ལྟར་སྣང་བཅས་པས་བདག་རིག་བྱེད་༎
 ayaṃ śāstrārtharāṃgrahaḥ ||	འདི་ནི་བསྟན་བཅོས་ཀྱི་དོན་བསྡུས་པའོ་༎
 2| vādinā svayaṃ sādhayitumiṣṭo 'rthaḥ sādhyaḥ |	རྒོལ་བ་བདག་ཉིད་ཀྱིས་བསྒྲུབ་པར་འདོད་པའི་དོན་ནི་བསྒྲུབ་པར་བྱའོ་༎
 yena sādhyate tatsādhanam ||	གང་གིས་སྒྲུབ་པར་བྱད་པ་དེ་ནི་བསྒྲུབ་པ་ཡིན་ཏེ་།
 3| hetostrairūpyamucyate |	གཏན་ཚིགས་ཀྱི་ཚུལ་གསུམ་བརྗོད་པའོ་༎
 kiṃ punastattrairūpyam |	ཚུལ་གསུམ་པོ་དེ་དག་ཀྱང་གང་ཞེ་ན་།
 pakṣe sattvameva prathamaṃ rūpam |	ཕྱོགས་ལ་ཡོད་པ་ཉིད་ནི་ཚུལ་གཅིག་གོ་༎
 sapakṣa eva sattvamiti dvitīyaṃ rūpam |	མཐུན་པའི་ཕྱོགས་ཉིད་ལ་ཡོད་པ་ཞེས་བྱ་བ་ནི་ཚུལ་གཉིས་པའོ་༎
 vipakṣe ca asattvameva niścitamiti tṛtīyaṃ rūpam ||	མི་མཐུན་པའི་ཕྱོགས་ལ་མེད་པ་ཉིད་དུ་ངེས་པ་ཞེས་བྱ་བ་ནི་༄༣༡༤བ་ཚུལ་གསུམ་པའོ་༎
 4| tatra pakṣaḥ prasiddho dharmī prasiddhaviśeṣaṇena viśiṣṭaḥ svayaṃ sādhayitumiṣṭaḥ pratyakṣādyaviruddhaḥ |	དེ་ལ་ཕྱོགས་ནི་རབ་ཏུ་གྲུབ་པའི་ཆོས་ཅན་ནོ་༎ རབ་ཏུ་གྲུབ་པའི་ཁྱད་པར་གྱི་བྱེ་བྲག་བདག་ཉིད་སྒྲུབ་པར་འདོད་པ་མངོན་སུམ་ལ་སོགས་པ་དང་འགལ་བ་མེད་པ་ཡིན་ཏེ་།
 yathā dharmī śabdo 'nitya iti viśeṣaṇena viśiṣṭaḥ sādhyaḥ | kṛtakatvāditi heturbhavatīti ||	དཔེར་ན་ཆོས་ཅན་སྒྲ་མི་རྟག་པའི་ཁྱད་པར་གྱི་བྱེ་བྲག་དང་ལྡན་པ་ནི་བསྒྲུབ་པར་བྱའོ་༎ བྱས་པའི་ཕྱིར་རོ་ཞེས་བྱ་བ་ནི་གཏན་ཚིགས་ཡིན་པ་བཞིན་ནོ་༎
 5| kaḥ punaḥ sapakṣaḥ |	མཐུན་པའི་ཕྱོགས་གང་ཞེ་ན་།
 sādhyadharmasāmānyena samānaḥ sapakṣaḥ |	བསྒྲུབ་པར་བྱ་བའི་ཆོས་ཀྱི་སྤྱིས་མཐུན་པ་ནི་མཐུན་པའི་ཕྱོགས་ཏེ་།
 yathā ghaṭādiriti ||	དཔེར་ན་བུམ་པ་ལ་སོགས་པ་ལྟ་བུའོ་༎
 6| ko hetorvipakṣaḥ |	གཏན་ཚིགས་ཀྱི་མི་མཐུན་པའི་ཕྱོགས་གང་ཞེ་ན་།
 yatra sādhyābhāvāddhetvabhāvo niścayena pradarśyate |	གང་དུ་བསྒྲུབ་པར་བྱ་བ་མེད་པས་གཏན་ཚིགས་མེད་པར་ངེས་པར་སྟོན་པ་ཡིན་ཏེ་།
 yathākāśādiḥ ||	དཔེར་ན་ནམ་མཁའ་ལ་སོགས་པ་བཞིན་ནོ་༎
 7| trirūpahetupradarśanena parāvagamanimittaṃ kṛtaḥ prayogaḥ parārthānumānabhityucyate |	གཏན་ཚིགས་ཀྱི་ཚུལ་གསུམ་པ་བསྟན་པ་དེ་ཉིད་ཀྱིས་གཞན་ཁོང་དུ་ཆུད་པའི་ཆེད་དུ་སྦྱོར་བར་བྱས་པ་ནི་གཞན་གྱི་དོན་རྗེས་སུ་དཔག་བ་ཞེས་བསྟན་ཏོ་༎ 
 yathā śabdo 'nitya iti pakṣavacanam |	དཔེར་ན་སྒྲ་མི་རྟག་གོ་ཞེས་བྱ་བ་ནི་ཕྱོགས་བརྗོད་པའོ་༎
 kṛtakatvāditi hetuvacanam |	བྱས་པའི་ཕྱིར་རོ་ཞེས་བྱ་བ་ནི་གཏན་ཚིགས་བརྗོད་པའོ་༎
 ghaṭādivaditi sapakṣavacanam |	བུམ་པ་ལ་སོགས་པ་བཞིན་ནོ་ཞེས་བྱ་བ་ནི་མཐུན་པའི་ཕྱོགས་བརྗོད་པའོ་༎
