		10.0
mss si  si  hoeH nle    sht i fol v kpsi	@211a rgya gar skad du / a'arya k'a shya pa pa ri brta n'a ma mah'a y'a na s'u tra / bod skad du / 'phags pa 'od srung gi le'u zhes bya ba theg pa chen po'i mdo / bam po dang po / sangs rgyas dang byang chub sems dpa' thams cad la phyag 'tshal lo //	34.258454815376645
sidDam evam mayA Srutam ekasmim samaye BagavAn rAjagRhe viharati sma	'di skad bdag gis thos pa dus gcig na / bcom ldan 'das /	70.75837600108011
gRdDakUwe parvate mahatA Bikzu saMGena sArDam azwABiH Bikzu sahasrEH zoxaSaBiH ca boDisatva sahasrEH nAnA budDa kzetra saMnipatitEH	rgyal po'i khab bya rgod phung po'i ri la dge slong @211b brgyad stong gi dge 'dun chen po dang / byang chub sems dpa' sangs rgyas kyi zhing sna tshogs nas 'dus pa khri drug stong thams cad kyang / 'di lta ste /	89.26221982232963
eka jAti prabadDEH yat uta anuttarasyAm samyaksamboDO	bla na med pa yang dag par rdzogs pa'i byang chub tu skye ba gcig gis thogs pa sha stag dang thabs gcig tu bzhugs / 'di lta ste / te /	71.49676720294158
tatra BagavAn Ayuzmantam mahAkASyapam Amantrayati sma	de'i tshe na tshe dang ldan pa 'od srung chen po 'khor de nyid du 'dus par gyur nas 'dug go; de nas bcom ldan 'das kyis tshe dang ldan pa 'od srung chen po la bka' stsal pa /	77.44375221395359
catvAraH ime kASyapa DarmAH boDisatvasya prajQApArihANAya saMvartante	'od srung / chos bzhi po 'di dag ni byang chub sems dpa'i shes rab yongs su nyams par 'gyur ba ste /	85.80289267483943
katame catvAraH yat uta agOravaH Bavati Darme ca Darma BANake ca	bzhi gang zhe na / 'di lta ste / chos dang chos smra ba la mi gus pa yin /	81.97775941342879
Darma mAtsaraH fot r kpsi	chos la ser sna byed cing chos la slob dpon gyi dpe mkhyud byed pa yin /	54.58430804146661
ca Bavati  Darma AcArya muzwim ca karoti Darma kAmAnam ca pudgalAnAm Darma antarAyam karoti	chos 'dod pa'i gang zag rnams la chos kyi bar chad byed cing 'dun pa zlog par byed /	71.71146706869177
vicCandayati	rnam par 'khrug pa byed de /	73.57616175924029
vikzipati  na deSayati praticCAdayati	mi ston cing rab tu 'chab pa yin /	74.26182687983794
ABimAnikaH ca Bavati Atma utkarzI parapaMsakaH ime	mngon pa'i nga rgyal gyis bdag la bstod cing gzhan la smod pa yin te / 'od srung /	79.50514910807487
kASyapa catvAraH DarmAH boDisatvasya prajQApArihANAya saMvartate	chos bzhi po de dag ni byang chub sems dpa'i shes rab yongs su nyams par 'gyur ba'o //	74.55078863117635
tatra idam ucyate  agOravaH	de la 'di skad ces bya ste /	79.54099171502249
Bavati ca Darma BANake Darmezu mAtsarya rataH ca Boti	chos smra ba la gus pa med pa yin //	78.78748141394722
AcArya muzwim ca karoti Darme Darma arTikAnA	chos la ser sna byed par gyur pa dang // chos la slob dpon dpe mkhyud byed pa yin // chos 'dod rnams la bgegs ni byed gyur cing //	76.46192136429678
ca karoti viGnam vicCandayantaH viviDam kzipantaH Darmam na deSayati jina praSastAn saH AtmaH utkarzaNi fol v kpsi	'dun pa bzlog la de bzhin @212a *// rnam 'khrug byed // rgyal bas bsngags pa'i chos ni yong mi ston /	65.15081137724954
nitya yuktaH para paMsane ca aBirataH kusIdaH	le lo can te bdag bstod rtag tu brtson //	69.72618820609115
caturaH ime DarmAH jinena proktA prajQA prahANAya	gzhan la smod par byed la mngon par dga'; ;chos bzhi 'di dag rgyal ba'i sras rnams kyi //	66.91974390780909
jina urasAnAm etAm hi catvAri jahitvA DarmAH caturaH parAm Darma jina ukta BAvayet	shes rab nyams par 'gyur bar rgyal bas gsungs // chos bzhi 'di dag rab tu spangs byas la // rgyal bas gsungs pa'i chos bzhi gzhan bsgom mo //	83.0350542198403
catvAraH ime kASyapa DarmAH boDisatvasya mahA prajQAtAyE saMvartante	'od srung / chos bzhi po 'di dag ni byang chub sems dpa'i shes rab chen por 'gyur ba ste /	84.47485193403361
katame catvAraH	bzhi gang zhe na / 'di lta ste /	86.94314384460449
yat uta sa gOravaH Bavati Darme ca Darma BANake ca	chos dang chos smra ba la gus pa dang bcas pa yin /	82.8272516627873
yaTASrutAn ca DarmAn yaTA paryAptAn pareByaH vistareNa saMprakASayati nirAmizeNa cittena na pratikAMkzayati SravaNam fot r kpsi	zang zing med pa'i sems kyis rnyed pa dang bkur sti dang tshigs su bcad pa la mi re bar ji ltar thos pa dang / ji ltar khong du chud pa'i chos rnams gzhan dag la rgya cher yang dag par rab tu ston par byed pa yin /	87.18861759358167
lABa satkAra Slokam bAhu Srutyena ca prajQA gamam viditvA	mang du thos pa las shes rab 'byung bar rig nas /	72.2812269859626
