		10.0
vEdya arTa viniScaya sUtram SrI maQju gura veSriye namaH	@262b / /rgya gar skad du /aartha bi ni shtsa ya n'a ma dharma pary'a ya / bod skad du / don rnam par nges pa zhes bya ba'i chos kyi rnam grangs / sangs rgyas dang / byang chub sems dpa' thams cad la phyag 'tshal lo // 'di skad bdag gis thos pa dus @263a *// gcig na / bcom ldan 'das mnyan yod na shar phyogs kyi kun dga' ra ba ri dvags 'dzin gyi ma'i khang pa na dge slong stong nyis brgya lnga bcu'i dge slong gi dge 'dun chen po dang thabs gcig tu bzhugs so // de nas bcom ldan 'das kyis sprin ltar zab cing snyan la rgya che ba'i tshangs pa'i dbyangs kyis dge slong rnams la bka' stsal pa / dge slong dag / khyed la chos bshad par bya ste / tshangs par spyod pa / thog mar dge ba / bar du dge ba / tha mar dge ba / don bzang po / tshig 'bru bzang po / ma 'dres pa / yongs su rdzogs pa / yongs su dag pa / yongs su byang ba / 'di lta ste / don rnam par nges pa zhes bya ba'i chos kyi rnam grangs yang dag par rab tu bshad par bya yi / de legs par rab tu nyon la yid la zungs shig dang bshad do // dge slong dag gis bcom ldan 'das legs so zhes gsol te / bcom ldan 'das kyi ltar nyan pa dang / bcom ldan 'das kyis de dag la 'di skad ces bka' stsal to //	10.0
BagavAn Aha  kaH ca asO BikzavaH rTa viniScayaH nAma Darma paryAyaH yat uktam  paQca skanDAH paQca upAdAna skanDAH azwAdaSa DAtavaH	dge slong dag / don rnam par nges pa zhes bya ba'i chos kyi rnam grangs de gang zhe na /	62.6041192555713
dvAdaSa AyatanAni dvAdaSa aFgaH pratItyasamutpAdaH catvAri Arya satyAni dvAviMSati indriyANi catvAri DyAnAni catasraH ArUpya samApattayaH catvAraH brahma vihArAH catasraH pratisaMvidaH catasraH samADi BAvanAH catvAri smRti upasTAnAni catvAri samyak prahANAni catvAraH RdDi pAdAH paQca indriyANi paQca balAni sapta boDi aFgAni Arya azwa aFga mArgaH zoxaSa AkArA AnApAna anusmRtiH catvAri srotApatti aFgAni daSa taTAgata balAni catvAri vESAradyAni catasraH pratisaMvidaH azwAdaSa AveNika budDa DarmAH dvAtriMSat mahApuruza lakzaNAni aSIti anuvyaQjanAni	'di lta ste; phung po lnga dang / nye bar len pa'i phung po lnga dang / khams bco brgyad dang / skye mched bcu gnyis dang / rten cing 'brel par 'byung ba yan lag bcu gnyis dang / 'phags @263b pa'i bden pa bzhi dang / dbang po nyi shu rtsa gnyis dang / bsam gtan bzhi dang / tshangs pa'i gnas pa bzhi dang / lam bzhi dang / ting nge 'dzin bsgom pa bzhi dang / dran pa nye bar gzhag pa bzhi dang / yang dag pa spong ba bzhi dang / rdzu 'phrul gyi rkang pa bzhi dang / dbang po lnga dang / stobs lnga dang / byang chub kyi yan lag bdun dang / 'phags pa'i lam yan lag brgyad pa dang / dbugs rdzub pa dang / 'byung ba dran pa rnam pa bcu drug dang / rgyun du zhugs pa'i yan lag bzhi dang / de bzhin gshegs pa'i stobs bcu dang / mi 'jigs pa bzhi dang / so so yang dag par rig pa bzhi dang / sangs rgyas kyi chos ma 'dres pa bco brgyad dang / skyes bcu chen po'i mtshan sum cu rtsa gnyis dang / dpe byad bzang po brgyad cu ste /	92.15912624010801
ayam BikzavaH rTa viniScayasya Darma paryAyasya uddeSaH	dge slong dag / 'di ni don rnam par nges pa'i chos kyi rnam grangs mdor bstan pa'o //	91.85985065816058
tatra BikzavaH katame paQca skanDAH	dge slong dag / de la phung po lnga gang zhe na /	94.71749298913139
tat yaTA  rUpa skanDaH	'di lta ste /	73.58333343725938
vedanA skanDaH saMjQA skanDaH saMskAra skanDaH	gzugs kyi phung po dang / tshor ba'i phung po dang / 'du shes kyi phung po dang / 'du byed kyi phung po dang / rnam par shes pa'i phung po ste / dge slong dag /	87.82449068963295
vijQAna skanDaH ime BikzavaH paQca skanDAH	'di dag ni phung po lnga'o //	78.19141902594731
tatra BikzavaH katame paQca upAdAna skanDAH tat yaTA  rUpa upAdAna skanDaH	dge slong dag / de la nye bar len pa'i phung po lnga gang zhe na / 'di lta ste /	90.47981927520514
vedanA upAdAna skanDaH saMjQA upAdAna skanDaH saMskAra upAdAna skanDaH	gzugs nye bar len pa'i phung po dang / tshor ba nye bar len pa'i phung po dang / 'du shes nye bar len pa'i phung po dang / @264a *// 'du byed nye bar len pa'i phung po dang / rnam par shes pa nye bar len pa'i phung po ste / dge slong dag /	83.21182512279194
vijQAna upAdAna skanDaH ime BikzavaH paQca upAdAna skanDAH	'di dag ni nye bar len pa'i phung po lnga'o //	83.75976060918649
tatra Bikzavam katame zwadaSa DAtavaH	dge slong dag / de la khams bco brgyad gang zhe na /	79.35889073518607
tat yaTA  cakzuDAtuH rUpa DAtuH cakzuH vijQAna DAtuH SrotaDAtuH	'di lta ste /	20.157801958230827
Sabda DAtuH Srotra vijQAna DAtuH GrANa DAtuH ganDaDAtuH GrANa vijQAna DAtuH jihvA DAtuH rasa DAtuH jihvA vijQAna DAtuH kAyaDAtuH sparSa DAtuH kAya vijQAna DAtuH manaH DAtuH DarmaDAtuH manaH vijQAna DAtuH	mig gi khams dang / gzugs kyi khams dang / mig gi rnam par shes pa'i khams dang / rna ba'i khams dang / sgra'i khams dang / rna ba'i rnam par shes pa'i khams dang / sna'i khams dang / dri'i khams dang / sna'i rnam par shes pa'i khams dang / lce'i khams dang / ro'i khams dang; lce'i rnam par shes pa'i khams dang / lus kyi khams dang / reg bya'i khams dang / lus kyi rnam par shes pa'i khams dang / yid kyi khams dang / chos kyi khams dang; yid kyi rnam par shes pa'i khams te /	77.98641577263186
ime BikzavaH ucyante zwAdaSa DAtavaH	dge slong dag / 'di dag ni khams bco brgyad ces bya'o // dge slong dag /	91.80214117565396
tatra BikzavaH katamAni dvAdaSa AyatanAni yat uta cakzuH aDyAtmikam Ayatanam	de la skye mched bcu gnyis gang zhe na /	71.96235314337798
rUpam aDyAtmikam Ayatanam Srotram aDyAtmikam Ayatanam SabdaH bAhyam Ayatanam GrANam aDyAtmikam Ayatanam ganDaH bAhyam Ayatanam jihvA aDyAtmikam Ayatanam rasaH bAhyam Ayatanam kAyaH DyAtmikam Ayatanam sparSaH bAhyam Ayatanam manaH aDyAtmikam Ayatanam DarmaH bAhyam Ayatanam	'di lta ste; mig nang gi skye mched dang / gzugs phyi'i skye mched dang / rna ba nang gi skye mched dang / sgra phyi'i skye mched dang / sna nang gi skye mched dang / dri phyi'i skye mched dang / lce nang gi skye mched dang / ro phyi'i skye mched dang / lus nang gi skye mched dang / reg bya phyi'i skye mched dang / yid nang gi skye mched dang / chos phyi'i skye mched de /	78.39675590184486
imAni BikzavaH ucyante dvAdaSa AyatanAni	dge slong dag / @264b 'di dag ni skye mched bcu gnyis zhes bya'o //	94.07092512795614
tatra BikzavaH katamaH dvAdaSa aFgaH pratItyasamutpAdaH	dge slong dag / de la rten cing 'brel par 'byung ba yan lag bcu gnyis gang zhe na / 'di lta ste /	92.00788324587876
avidyA pratyayAH saMskArAH	ma rig pa'i rkyen gyis 'du byed rnams /	96.65004547437032
saMskAra pratyayam vijQAnam	'du byed kyi rkyen gyis rnam par shes pa /	94.52359465190342
vijQAna pratyayam nAma rUpam	rnam par shes pa'i rkyen gyis ming dang / gzugs /	96.65856419290814
nAma rUpa pratyayam zaz Ayatanam	ming dang / gzugs kyi rkyen gyis skye mched drug /	96.73684320449829
zaz Ayatana pratyayaH sparSaH	skye mched drug gi rkyen gyis reg pa /	90.6366972672312
sparSa pratyayA vedanA	reg pa'i rkyen gyis tshor ba /	93.37565771738689
vedanA pratyayA tRzNA	tshor ba'i rkyen gyis sred pa /	95.89697644787451
tRzNA pratyayAt upAdAnam	sred pa'i rkyen gyis len pa /	86.86440411107293
upAdAna pratyayAt BavaH	len pa'i rkyen gyis srid pa /	90.01466735478105
Bava pratyayAt jAtiH	srid pa'i rkyen gyis skye ba /	91.66110690434773
jAti pratyayAH jarA maraNa Soka parideva duHKa dOrmanasya upAyAsAH avsU vEdya saMBavanti	skye ba'i rkyen gyis rga shi dang / mya ngan dang / sme sngags 'don pa dang / sdug bsngal ba dang / yid mi bde ba dang / 'khrug pa rnams 'byung bar 'gyur te /	94.35529746238353
