		10.0
sarva taTAgata tattva saFgrah CapteH vajraDatu maha mandala viDi vistara mandalaH i	@92b / /rgya gar skad du /sarba ta th'a ga tattva sam gra ha n'a ma mah'a y'a na s'u tra / bod skad du / de bzhin gshegs pa thams cad kyi de kho na nyid bsdus pa zhes bya ba theg pa chen po'i mdo / bam po dang po /sangs rgyas dang / byang chub sems dpa' thams cad la phyag 'tshal lo //	65.60173129836785
evam mayA Srutam ekasmin samaye BagavAn sarva taTAgata vajra aDizWAna samaya jQAna viviDa viSeza samanvAgataH	'di skad bdag gis thos pa dus gcig na; bcom ldan 'das rnam par snang mdzad thugs rje chen po de bzhin gshegs pa thams cad kyi rdo rje byin gyis brlabs dang / dam tshig gi ye shes rnam pa sna tshogs kyi @93a *//	88.83259615739483
sarva taTAgata ratna mukuwa trEDAtuka Darma rAjya aBizeka prAptaH	khyad par dang ldan pa / de bzhin gshegs pa thams cad kyi rin po che'i dbu rgyan gyis khams gsum gyi chos kyi rgyal po'i dbang bskur ba mnga' brnyes pa /	88.50279123621898
sarva taTAgata sarva jQAna mahA yogi ISvaraH	de bzhin gshegs pa thams cad kyi thams cad mkhyen pa'i ye shes rnal 'byor chen po'i dbang phyug /	93.86023646492987
sarva taTAgata sarvamudrA samatA aDigata viSva kArya karaNa tA Seza an avaSeza sattva DAtu sarva ASAparipUrakaH	de bzhin gshegs pa thams cad kyi phyag rgya thams cad mnyam pa nyid thugs su chud cing thams cad kyi dgos pa mdzad pa nyid kyis sems can gyi khams ma lus shing lus pa med pa thams cad kyi re ba thams cad yongs su skong ba'i 'phrin las mdzad pa /	87.62712924904419
mahA kRpaH vErocanaH SASvataH tri aDva samaya vyavasTitaH sarva kAya vAc citta vajraH taTAgataH	thugs rje che ba rnam par snang mdzad dus gsum du rtag par bzhugs shing sku las mdzad pa / dang / gsung dang / thugs thams cad rdo rje lta bur gyur pa'i de bzhin gshegs pa / de bzhin gshegs pa thams cad bzhugs shing bsngags bstod pa /	83.62985030064948
sarva taTAgata aDyuzita praSasta stavite mahA maNi ratna pratyupte vicitra varNa GaNwA avasakta mAruta udData pawwa sraj ca amara hAra arDa hAra candra upakanizWa deva rAjasya Bavane vijahAra	nor bu dang / rin po che chen pos spras pa / kha dog sna tshogs shing dril bu btags pa / dar dang / 'phan dang / me tog gi phreng ba dang / rnga ma dang / dra ba dang / dra ba phyed pa dang / zla ba rlung gis bskyod pa rnams kyis mdzes par byas pa'i 'og min gyi lha'i rgyal po'i gnas na bzhugs pa /	86.58302550994136
navanavatiBiH boDisattva kowiBiH sArDam	byang chub sems dpa' bye ba phrag dgu bcu rtsa dgu la /	79.27276984128085
tat yaTA vajrapANinA ca boDisattvena avalokita ISvareNa ca boDisattvena AkASa garBeNa ca vajramuzwinA ca maQju SriyA ca	'di lta ste /	10.0
saha citta utpAda Darma cakra pravartinA ca gagana gaQjena ca sarvamAra bala pramardinA ca evaMpramuKEH navanavatiBiH boDisattva kowiBiH	byang chub sems @93b dpa' sems dpa' chen po phyag na rdo rje dang / kun tu spyan ras gzigs kyi dbang po dang / nam mkha'i snying po dang / rdo rje khu tshur dang / 'jam dpal dang / sems bskyed ma thag tu chos kyi 'khor lo bskor ba dang / nam mkha'i mdzod dang / bdud kyi stobs thams cad rab tu 'joms pa la sogs pa byang chub sems dpa' sems dpa' chen po bye ba phrag dgu bcu rtsa dgu dang / gang+g'a'i klung gi bye ma snyed kyi de bzhin gshegs pa rnams dang thabs gcig tu bzhugs te /	55.09843047187783
