		10.0
sdp  i	@412b / /rgya gar skad du / sarba du rga ti pa ri sho dha na te dzo r'a dza s+ya ta th'a ga s+y'a aarha te sa myaksam buddha s+ya kalpe ka de sha n'a ma // bod skad du / de bzhin gshegs pa dgra bcom pa yang dag par rdzogs pa'i sangs rgyas ngan song thams cad yongs su sbyong ba gzi brjid kyi rgyal po'i brtag pa phyogs gcig pa zhes bya ba /	29.973746620845088
om namaH SrI vajra sattvAya	bcom ldan 'das dpal sh'akya sengge la phyag 'tshal / @413a *// lo //	80.13703349057366
evam mayA Srutam ekasmin samaye BagavAn sarva deva uttama nanda vane viharati sma	'di skad bdag gis thos pa dus gcig na / bcom ldan 'das lha thams cad kyi mchog dga' ba'i tshal na bzhugs te /	86.89547032617087
maNi suvarNa SAKA latA badDa vanaspati gulma ozaDi kamala utpala karNikAra bakula tilaka aSoka mAnda Arava mahAmAndAra vAdiBiH nAnAviDEH puzpEH upaS kalpavRkza samalaMkRte	nor bu dang / gser gyi shing lo ma dang / yal ga dang / lcug mar bcas pa'i sdong po dang / shing gel ba dang / sman dang / me tog ka ma la dang / me tog autpal dang / me tog ka rni k'a dang / me tog bakku la dang / me tog ti la ka dang / me tog aa sho ka dang / me tog mand'a ra ba dang / me tog mand'a ra ba chen po la sogs pa me tog rnam pa sna tshogs pas nye bar mdzes pa // dpag bsam gyi shing rnams kyis yang dag par brgyan pa //	74.2763400412468
nAnA alaMkAra viBUzite	rgyan sna tshogs kyis rnam par spras pa /	89.00090395532003
nAnA pakzi gaNa kUjite	bya'i tshogs sna tshogs skad snyan pa 'byin pa /	69.82707246144612
tUrya mukunda veNu BerI praBRti praNadite	rnga dang / rnga mu kunda dang / gling bu dang / rnga bhi ri la sogs pa'i sga sgrogs pa /	74.98978427688802
Sakra brahma Adideva apsaroBiH nAnAviDABiH vikrIxite	brgya byin dang / tshangs pa la sogs pa dang / lha'i bu rnam pa sna tshogs pa rnams rnam par rtse ba /	80.5204407462418
sarva budDa boDisattva aDizWite	sangs rgyas dang byang chub sems dpa' thams cad kyis byin gyis brlabs pa na'o //	86.25030448734877
sarva Sakra brahma Adideva vidyADara deva apsaraH parzad kowI niyuta Sata sahasrEH aneka yakza rAkzasa asura garuxa ganDarva kinnara mahoraga nAga Adi p nAnAviDABiH mahA boDisattva kowI Sata sahasrEH azwABiH	brgya byin dang / tshangs pa la sogs pa'i lha thams cad dang / rig pa 'dzin pa dang / lha'i bu mo 'khor bye ba khrag khrig brgya stong phrag brgya stong rnams dang / gnod sbyin dang / srin po dang / lha ma yin dang / nam @413b mkha' lding dang / dri za dang / mi'am ci dang / lto 'phye chen po dang / klu la sogs pa 'khor rnam pa sna tshogs du ma dang / byang chub sems dpa' sems dpa' chen po bye ba khrag khrig brgya stong phrag brgyad rnams la /	79.09516187302773
tat yaTA pratiBAna matinA ca boDisattvena mahAsattvena acala matinA ca vipula matinA ca samantamatinA ca ananta matinA ca asamantamatinA ca kamala matinA ca mahAmatinA ca divAmatinA ca viviDa matinA ca aSeza matinA ca samantaBadreNa ca	'di lta ste // byang chub sems dpa' sems dpa' chen po blo gros spobs pa dang / blo gros mi g-yo ba dang / blo gros yangs pa dang / kun tu blo gros dang / blo gros mtha' yas pa dang / kun nas legs pa'i blo gros dang / blo gros ka ma la dang / blo gros chen po dang / blo gros lha rdzas dang / blo gros sna tshos pa dang / blo gros ma lus pa dang / kun tu bzang po ste /	65.79614540125279
