		10.0
Arya tArA BawwArikA nAma azwa uttaraSataka stotra om namaH SrImat Arya tArAyE	@75b rgya gar skad du / a'arya t'a ra bha tt'a ri ka n'a ma aashta sha ta kam/ bod skad du / rje btsun ma 'phags ma sgrol ma'i mtshan brgya rtsa brgyad pa / rje btsun ma 'phags ma sgrol ma la phyag 'tshal lo //	73.52554371979934
SrImat potalake ramye nAnA DAtu virAjite	dpal ldan yid 'ong po ta la // sna tshogs khams kyis rnam par spras //	76.53631481792638
nAnA druma latA AkIrNe nAnA pakzi nikUjite  tB	sna tshogs ljon pas bkram pa ste / @76a *// skye gnyis du ma sgra 'byin pa //	80.24766701035986
nAnA nirJara JaMkAre nAnA mRga samAkule	'bab chu sna tshogs ku co che // ri dvags sna tshogs 'khrugs pa ste //	80.21936365967348
nAnA kusuma jAtIBiH samantAt aDivAsite  tB	me tog sna tshogs rigs rnams kyis // kun tu dri yis bkang ba ste // sna tshogs yid 'ong 'bras bur ldan //	70.72306945827394
nAnA hRdaya Pala upete zawpada udgIta nisvane	rkang pa drug pa glu yi sgra // mi'am ci yis glu snyan len //	72.096008285647
kinnarEH maDurEH gItEH matta vAraNa saMkule  tB	glang chen smyon pas yang dag khengs //	71.77773320369232
sidDa vidyADAra gaNEH ganDarvEH ca ninAdite muniBiH vIta rAgEH ca satatam saMnizevite  tB	rig 'dzin grub pa'i tshogs rnams dang // dri za rnams kyang glu len pa //	60.84764525207024
boDisatva gaNEH ca anyEH daSa BUmi ISvarEH api	thub pa 'dod chags bral rnams dang // byang chub sems dpa'i tshogs gzhan dang // sa bcu'i dbang phyug rnams dang ni //	72.08104322098137
AyatAra AdiBiH devI vidyA rAjQI sahasrakEH  tB	'phags ma sgrol sogs lha mo rnams // rig pa'i rgyal mo stong rnams kyis // rtag tu legs par sten pa'o //	73.0484667768751
kroDa rAja gaNEH ca anyEH hayagrIvA AdiBiH vRte	khro bo'i rgyal po'i tshogs gzhan dang // rta mgrin la sogs kyis bskor ba //	82.58956344399577
sarva satva hita udyuktaH BagavAn avalokitaH  tB	sems can kun la phan par brtson // bcom ldan 'das ni spyan ras gzigs //	88.06714176804218
vijahAra tatas SrImAn padma garBa Asane sTitaH	bzhugs te de phyir dpal dang ldan; ;padma'i snying po thub pa'i gdan // dka' thub chen po dang ldan pa //	73.14568946184691
mahatA tapasA yuktaH mEtryA ca kRpayA anvitaH  tB	byams pa dang ni snying rje ldan //	69.52225995063782
Darmam dideSa tasyAm sa mahatyAm deva parzadi	lha yi 'khor ni chen po la // chos gsung po ni yang dag bzhugs // de ru nyer 'dug yang dag langs //	78.85945063446846
tatra upavizwam Agamya vajrapANiH mahA balaH  tB	phyag na rdo rje stobs po che //	76.87726950645447
parama kRpayA yuktaH papracCa iti avalokitam	mchog tu snying rje dang ldan pas // spyan ras gzigs la zhus pa ste //	82.47755917057286
taskara uraga siMha agni gaja vyAGra ambu saMkawe  tB	rkun po sbrul dang sengge @76b me; ;glang po stag dang chus 'jigs pa // zhi mdzad thub pas sems can rnams //	75.53390586606523
sIdanti amI mune satvAH magnAH saMsAra sAgare	'khor ba'i rgya mtshor bying ba rnams //	73.58208394050598
badDAH saMsArakEH pASEH rAga dveza tama upahEH	'khor ba'i zhags pas bcings pa rnams // chags sdang gti mug dri ma las //	83.94529055354852
mucyante yena saMsArAt tat me brUhi mahA mune	gang gis sems can grol 'gyur ba // de gsungs bdag la thub chen po //	87.90250072481217
evam ukte jagannATaH sa SrImAn avalokitaH	de skad zhus nas bcom ldan 'das // 'jig rten mgon pos 'di skad gsungs // dpal ldan de ni spyan ras gzigs //	84.99393206195661
uvAca maDurAm vANIm vajrapANim praboDinam	phyag na rdo rjer rab rtogs byed // snyan pa'i tshig ni 'di skad gsungs //	77.92354798992656
SRNu guhyaka rAja indra amita ABasya tAyinaH	nyon cig gsang ba'i rgyal dbang po; ;skyob pa 'od dpag med pa yi //	80.55755475034235
praNiDAna vaSa utpannA mama AjQA loka mAtaraH	smon lam stobs kyis byung ba ste // nga yis 'jig rten ma rung shes //	74.20011438756981
mahA karuNayA upetAH jagat udDaraNa udDRtAH	snying rje che dang ldan pa yis // 'gro ba 'don par brtson pa mo // nyi ma shar ba dang 'dra ba //	75.16768879688874
udita Aditya saMkASAH pUrNa indu vadana praBAH	zla ba nya 'dra byed kyi 'od //	74.96585003022224
BAsayanti drumAn tArAH sa deva asura mAnuzAn	lhar bcas mi dang lha min rnams // 'di rnams thams cad gsal bar byed //	80.65878429817394
kampayanti trayaH lokAn trAsyantI yakza rAkzasAn	'jig rten gsum po g-yo bar byed // gnod sbyin srin po 'jigs par byed //	81.60483598381671
nIlotpala karA devI mA BEH mA BEH iti bruvan	phyag na autpal sngon po bsnams // ma 'jigs ma 'jigs zhes brjod ma // bar snang du ni 'bar bar gnas // 'gro ba yang dag gzung don du; ;mtshon gyi bskal pa byung ba dang // 'jigs pa sna tshogs 'khrugs don du //	62.76132800466145
jagat saMrakzaNa arTAya aham utpAditAH jinEH kAntAre Sastra saMparke nAnA Baya samAkule	rgyal ba rnams kyi bdag bskyed de // ming rnams dran pa nyid kyis kyang // sems can thams @77a *//	57.73318853359844
smaraNAt eva nAmAni satvAn rakzAmi aham sadA	cad bdag gis srung // sna tshogs 'jigs pa'i rgya mtsho las //	76.12675573016512
tArayizyAmi aham nATa nAnA Baya mahA arNavAt	sems can thams cad bdag gis bsgral //	60.79210383183246
tena tArA iti mam loke gAyanti muni puMgavAH	des na bdag la 'jig rten du // rgyal ba'i tshogs kyis sgrol mar bsgrags //	72.67160826732699
kRta aQjali puwAH BUtvA tatas sAdara sADvasAH	thal mo sbyar ba byas nas ni //	70.25883577715966
jvalatIryantarIkzesTaH idam vacanam abravIt	spyan sngar 'dug ste 'di skad gsol // gus dang bcas pas yang dag gnas //	64.35730868852552
nAma azwaSatakam brUhi yat purA kIrtitam jinEH	gang zhig rgyal bas sngon bsgrags pa // gsungs shig mtshan brgya rtsa brgyad pa //	89.18627103261488
dASa BUm i ISvarEH nATEH boDisatvEH mahardDikEH	sa bcu'i dbang phyug mgon rnams dang // byang chub sems dpa' rab dga' ba //	70.15334159275245
sarva pApa haram puNyam mAFgalyam kIrti varDanam	sdig pa spong byed bsod nams dang // bkra shis grags pa 'phel bar byed //	85.0961819430109
Dana hAni akaram ca eva Arogya puzwi varDanam	/ gter dang nor rnams 'phel byed nyid // nad rnams thams cad brlag par byed // dpal dang shis pa 'jog par byed // nad med tshe ni 'phel bar byed //	79.98149022887605
mEtrIm Alambya satvAnAm tat kIrtaya mahA mune	sems can rnams la byams bsgoms la // de dag sgrogs shig thub chen po //	83.54191993332333
evam ukte Ta BagavAn prahasan avalokitaH	de skad zhus nas bcom ldan 'das // spyan ras gzigs dbang rab tu bzhad //	80.19071366027181
vyavalokya diSaH sarvA mEtryA sPuraNayA dRSA	phyogs rnams thams cad rab gzigs nas // 'di lta bu yi byams pa spros //	72.90392795013622
dakziNa karam udDRtya puNya lakzaNa maNxitam	phyag ni g-yas pas phyag thabs mdzad // bsod nams mtshan nyid ldan pa yi //	80.68278866875313
tam uvAca mahA prAjQaH sADu sADu mahA tapaH	de gsungs shes rab shin tu che // legs so legs so dka' thub che //	85.25836238271431
nAmAni SRNu mahABAga sarva satva eka vatsalaH	sems can kun la gcig tu brtse // @77b skal pa chen po'i mi rnams nyon //	77.24653038045332
yAni saMkIrtya manujAH samyak te syuH DaneSvarAH	mi rnams gang zhig 'di sgrog pa // nor gyi dbang phyug yang dag 'gyur //	86.54319518447612
sarva vyADi vinirmuktAH sarva ESvarya guNa anvitAH	nad rnams thams cad yang dag grol // dbang phyug kun dang yang dag ldan // dus min 'chi ba nges par 'joms //	74.42716954182455
akAla mRtyu nirdagDAH cyutAH yAnti suKAvatIm	'chi ba bde ba can 'gro ba //	65.55741027305866
tAni aham saMpravakzyAmi deva saMGAH SRNuDva me	de rnams bdag gis bshad par bya // lha yi dge 'dun bdag la nyon // 'di la rjes su yi rang gis //	86.46229228487049
anumodeta sadDarme BavizyaDvam su nirvRtAH om locane su locane tAre tAra utsave sarva satva anukampini sarva satva uttAriNi sahasra Buje sahasra netre	legs par bsngams par 'gyur la bstod //	10.0
om namaH Bagavate valokyaH AvalokyA sarva satvAnAm ca aham Puw svAhA om SudDe viSudDe SoDana viSoDani sugata Atmaje mEtrI hRdaye nirmale SyAme SyAma rUpiNi mahA prAjQe pravare pravara BUzite parAjite mahA rOdri viSvarUpi mahA yaSa	aom//	10.0
kalpa agni mahA tejAH loka DAtrI mahA yaSA	dge ba can ni gzi brjid che // 'jig rten gso byed snyan pa che //	77.88219804259971
sarasvatI viSAla akzI prajQA SrI budDi varDanI	dbyangs can ma ni spyan yangs ma // shes rab dpal dang blo 'phel ma //	84.9950576681481
om DRti dA puzwi dA svAhA oMkArA kAmarUpiNI	gso byed ma dang rgyas byed ma / sv'a h'a / aom gyi rnam par 'dod gzugs ma //	85.20613071912724
sarva satva hita udyuktA saMgrAme tAraNI jayA	sems can kun la phan par brtson // g-yul las sgrol byed rgyal ba mo //	82.54324416582493
prajQApAramitA devI AryAtArA manoramA	lha mo shes rab pha rol phyin // 'phags ma sgrol ma yid 'ong ma // rdza rnga dung can rgyas pa po //	72.10772509349836
dunduBi saKinI pUrNa vidyA rAjQI priyaMvadA	rig pa'i rgyal mo tshig snyan ma //	73.02526317323958
candrAnanA mahAgOrI ajitA pIta vAsasA	zla ba'i gdong can dkar mo che // mi pham gos ni ser mo can //	78.31994888090318
mahAmAyA mahASvetA mahA bala parAkramA	sgyu ma chen mo dkar mo che // stobs po che la pha rol phyin //	78.87528492650509
mahArOdrI mahAcaNxI duzwa satva nisUdanI	rtsub mo chen mo gtum chen mo // sdang ba'i sems kyis brlag byed ma //	80.87045464183996
praSAntA SAnta rUpA ca vijayA jvalana praBA	rab tu zhi ba zhi ba'i gzugs // rnam par rgyal ba 'bar ba'i 'od // glog gi phreng ba'i rgyal mtshan can //	69.81450210291536
vidyunmAlI DvajI KaxgI cakrI cApa yuta AyuDA	ral gri 'khor lo gzhu thogs mtshon // 'chol byed rengs @78a *// byed nag mo che //	81.47587909759353
jamBanI stamBanI kAlI kAlarAtrI niSAcarI	mtshan mo nag mo mtshan spyod ma // srung byed rmongs byed zhi ba mo //	75.33180605987943
rakzaNI mohinI SAntA kAntA viBAvinI SuBA	mdzes ma dge ma 'dra ba'i lding //	71.00117708654965
brAhmaNI vedamAtA ca guhA ca guhavAsinI	tshangs pa mo dang rig byed ma; ;gsang ba mo ni brag phug gnas // bkra shis don byed zhi ba mo //	82.34203013423544
mAFgalyA SaFkarI sOmyA jAtavedAH manojavA	skyes gnas rig byed yid mgyogs ma // thod pa can ni shugs chen mo // tshangs ma bden ma gzhan mi rgyal //	65.0831860261924
kApAlinI mahABAgA saMDyA satya aparAjitA sArTavAhA kRpa dRzwI nazwa mArga pradarSanI	ded dpon chen mo snying rje gnas // chud zos pa la lam rab ston //	70.37666979815317
vara dA SAsanI SAstrI strI rUpa amita vikramA	mchog ster ster byed ston pa mo // bud med gzugs la dpag med gnon //	82.25486526491227
SavalI yoginI sidDA cANxAlI ca amRtA DruvA	ri khrod ma dang rnal 'byor ma / grub ma gtum ma bdud rtsi ma // des ma nor ma bsod nams ma //	78.94353023285687
DanyA puNyA mahABAgA suBAgA priyadarSanI	skal chen skal bzang mdzes ston ma //	75.06096290897679
kRtAnta trAsanI BImA ugrAH ugra mahA tapA	mthar byed skrag byed 'jigs byed ma // drag dang brtul zhugs chen mo ma //	79.32950831135295
jagat eka hita udyuktA SaraNya Bakti vatsalA	'gro la gcig tu phan par brtson // skyabs byed gus la gsong po ma // ngag gi dbang phyug zhi phra ma //	78.78630132994454
vAgISvarI SivA sUkzmA nityA sarva arTa mAtRkA	rtag par kun 'gro rjes 'gro ma //	60.01096235622059
sarva arTa sADanI BadrA goptrI DAtrI DanaMjayA	don kun sgrub byed bzang po ma // gsad byed gso byed nor ster ma // mi 'jigs bsod nams go ta ma //	78.66792049356361
aBayA gOtamI puNyA SrImat loka ISvara AtmajA tArA nAma guNa anantA sarva ASA paripUraNI	spyan ras gzigs dbang bdag nyid skyes //	48.80386358779514
nAma azwottaraSatakam tat kIrtitam hitena vaH	mtshan brgya rtsa brgyad 'di dag ni // phan par byed par grags pa ste //	82.2223857309477
rahasyam adButam guhyam devAnAm api durlaBam	mchog tu rmad byung gsang ba'o // lha yul na yang rnyed dka' ba // skal @78b bzang bskal pa dang ldan byed //	79.29911353553165
sOBAgyam BAgya karaNam sarva kIlbiza nASanam	dug ni thams cad nyams byed pa //	69.35759083429971
sarva vyADi praSamanam sarva satva suKa Avaham	nad ni thams cad zhi byed ma // sems can kun la bde ster ma //	87.55932061465205
trikAram yaH paWet DImAn SuciH snAna samAhitaH	blo ldan gang zhig lan gsum klog / mnyam bzhag gtsang sbra byas pa yis // des ni dus mi ring ba ru //	81.98957833403759
acireNa eva kAlena rAjya Sriyam avApnuyAt	rgyal srid dpal yang thob par 'gyur //	80.33363613329436
duHKitaH syAt suKI nitya daridraH DanavAn Bavet	rtag tu sdug pa'ang bde bar 'gyur // bkren pa phyug por 'gyur ba'o //	81.75549019958297
