		10.0
AcArya kamala SIla viracitaH maDyamakAlokaH	@133b # // rgya gar skad du /ma dhya ma k'a lo ka n'a ma / bod skad du / dbu ma snang ba zhes bya ba / 'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	70.2463992693178
ajQAninaH ye tra vipanna dRzwyA BAvezu ca Asakti mahA grahANAm	'di na mi mkhas gang dag lta ba nyams pas dngos la zhen pa'i gdon chen gyis //	83.19062763220515
vaSena grastAH hi praNazwa prajQAH nAgArjuna AdIn= ca mahA mahimnaH	zin pa'i dbang gis blo gros nyams pas che ba'i che ba klu sgrub la sogs la //	77.29305352624472
kzipanti tena Atma vinASaH eva tezAm mahABUta graha upaSAntyE	smod par byed kyang bdag nyid phung ba 'ba' zhig byed du zad pa de dag gi /'byung po'i gdon	81.47043441564466
prAraByate poza karaH ByupAyaH kAruNyam ASritya mayA aDUnA atra	rnams zhi bar bya phyir snying rjes gso ba'i thabs ni brtsam par bya //	70.12054495166959
BAva aBiniveSaH eva tAvat samasta saFkleSa jAla mUlam	kun nas nyon mongs pa'i dra ba mtha' dag 'byung ba'i rtsa ba ni dngos por mngon par zhen pa yin pas de yongs su spangs te /	85.85860175587196
atas tat parihRtya niHSreyasa pada aBilAziNAm sarva Darma niHsvaBAva tA vyutpAdana arTam idam AraByate	legs pa'i go 'phang 'dod pa rnams la chos thams cad ngo bo nyid med par bstan pa'i phyir 'di rtsom mo //	78.68984351789484
parama arTa gamBIra udaDinayam anavagAhya atra kecid AhuH  yukti AgamAByAm sarva Darma niHsvaBAva tA siDyati iti ced	'di na kha cig don dam pa zab mo'i tshul gyi rgya mtsho'i gting mi dpogs nas rtsom mo // smra ba / lung ngam rigs pa'i sgo nas chos thams cad ngo bo nyid med par bsgrub par 'gyur grang na /	83.97188498562001
na AgamaH tAvat SaktaH	re zhig bka' lung gi sgo nas ni nus pa ma yin te /	85.7204529285431
kena api taTA aByupagama aBAvAt	de @134a * // su yang khas mi len pa'i phyir ro //	83.32824449539184
vivakzA aDIna tvAt vacanAnAm tad vastu sambanDa aBAvAt ca na prAmANyam	tshig ni 'dod pa tsam gyi rjes su byed pa yin te / de lta bu'i dngos po dang 'brel pa med pas tshad ma dang mi ldan pa'i yang phyir ro // 'brel pa yod du chug na yang tshu rol mthong ba rnams kyis gtan la dbab par mi nus pa'i phyir ro //	75.83440271992275
syAt api sambanDaH taTA api arvAk darSiBiH avaDArayitum na Sakyate prekzakAH tat pravacanam ata  maByupagamyamAneByaH pi niHsaMSayam sarva BAvAnAm niHsvaBAvatA pratipAdakam kim api vacanam upadarSayitum	rtogs par byed pa gang dag de'i gsung rab kyi lugs khas len pa de dag la yang gang gis na the tshom med par dngos po ma lus pa'i ngo bo nyid med par rtogs par 'gyur ba de lta bu'i tshig ni cung zad kyang nye bar bstan par mi nus so //	75.5234386882175
sUtrezu kezucid  niHsvaBAvAH sarva DarmAH anutpannAH AdiSAntAH prakRti parinirvRtAH ityAdIni vacanAni AgacCanti tAni api neya arTAni eva veditavyAni	mdo kha cig las chos thams cad ni ngo bo nyid med pa ma skyes pa gzod ma nas zhi ba / rang bzhin gyis yongs su mya ngan las 'das pa'o zhes bya ba la sogs pa 'byung ba gang yin pa de yang drang ba'i don nyid du rtogs par bya ste /	86.64654296155292
nAnA aBisanDi dvAreNa BagavataH deSanayA avatAraNAt	bcom ldan 'das kyi bstan pa ni dgongs pa sna tshogs kyi sgo nas 'jug pa'i phyir ro //	85.08878946304321
trayANAm svaBAvAnAm parikalpita paratantra parinizpannAnAm kramaSas lakzaNataH utpattitaH paramArTataH niHsvaBAva tAm sanDAya sarva	de la ngo bo nyid gsum po kun brtags pa dang / gzhan gyi dbang dang / yongs su grub pa rnams ni go rims bzhin du mtshan nyid dang / skye ba dang / don dam pa ngo bo nyid med pa las dgongs nas chos thams cad ngo bo nyid med pa nyid du gsungs te /	88.43287124927221
tena niHsvaBAva tvAt anutpannA	de bas na ngo bo nyid med pa'i phyir ma skyes pa'o //	92.68056616693173
tatas AdiSAntAH	de'i phyir gzod ma nas zhi ba'o //	86.1549874193528
tena prakRti parinirvRtAH	de'i phyir rang bzhin gyis yongs su mya ngan las 'das pa ste /	84.65188554025465
taTA eva BagavatA Arya sanDi nirmocana sUtra AdO sUtra arTa aBiprAya yogaH deSitaH	de bzhin du bcom ldan 'das nyid kyis 'phags pa dgongs pa nges par 'grel pa la sogs pa las mdo'i don gyi dgongs pa sbyar ba bstan pa yin no //	91.11497641908957
dvEta aBAsi vijQAna mAtreNa sarva DarmANAm utpatti AdayaH viBajyante	gzhan yang gnyis su snang ba'i rnam par shes pa kho nar chos thams cad skye ba la sogs pa bye brag 'byed kyi /	85.41735283492544
na tu sva saMvedana mAtreNa	rang rig pa tsam gyis ni ma yin no //	92.38697666090889
dvEta ABAsaH pi miTyA tena sarva BAvAH api mRzA eva vyavasTApyante	gnyis su snang ba yang brdzun pa'i phyir des rnam par gzhag pa'i ngo bo thams cad kyang brdzun pa nyid yin no //	84.88379918653195
parikalpitasya lakzaNa niHsvaBAva tvAt sarva Darma anutpAda AdayaH deSitAH	de bas na kun brtags pa'i mtshan nyid ngo bo nyid med pa nyid kyis chos thams cad skye ba med pa la sogs par gsungs nyid yin no //	88.44866953867711
na tu paramArTataH	kyi / don dam par ni ma yin te /	86.40424871444702
atas na Agama dvArA sarva Darma niHsvaBAva tA sADayitum Sakyate	de'i phyir re zhig lung gi sgo nas ni nus pa ma yin no //	75.35920007409752
na api yukti dvArA	rigs pa'i sgo nas kyang ma yin te /	78.07136351721627
na Kalu sarve BAvAH pratyakzate evam viviktAH SUnyAH anuBUyante vastu tvAt tasya vizayANAm aBAvAya tAvat nIrUpa tayA na kaTam api svarUpa upadarSanena vijQAna janaka tvam yujyate	'di ltar re zhig mngon sum gyis ni dngos po ma lus pa dben par rtogs par mi 'gyur te / de'i yul ni dngos po yin pa'i phyir @134b ro ; / dngos po med pa ni ngo bo nyid med pa nyid kyis ji ltar yang rang gi ngo bo nye bar ston pas rnam par shes pa skyed par byed pa nyid du rigs pa ma yin pa'i phyir ro //	90.6224544720924
janaka tve sati vastu tva prasaFgaH	ji ste skyed par byed pa nyid yin na ni dngos po nyid du thal bar 'gyur te ro //	88.7908541676437
arTa kriyA samarTya tvAt vastu lakzaNasya	/ dngos po'i mtshan nyid ni don byed nus pa yin pa'i phyir ro //	92.57476289886289
yat pratyakzam tat api yadi sa svaBAvam tadA sarva Darma niHsvaBAvatA pratijQAyAH hAni prasaFgaH	mngon sum gang yin pa de yang ngo bo nyid dang bcas pa yin na ni de'i tshe chos thams cad ngo bo nyid med pa nyid du dam bcas pa nyams par 'gyur ro //	90.83815595359114
yadi tad niHsvaBAvam	'on te de ngo bo nyid med pa yin na ni /	90.52222275733948
kaTam tena sarva DarmANAm viviktatA anuBUyate	ji ltar des dngos po ma lus pa dben par rtogs par 'gyur /	82.07416243173384
aTa kEScid arTa antarA viviktatA iti pakzaH gRhyate tadA itareNa tAvat pratyakzeNa SUnyatA grAhyA syAt	gzhan yang don gzhan gyis dben pa'i phyogs la sogs pa 'ga' zhig 'dzin na ni de las gzhan pas stong pa nyid mngon sum gyis rtogs par bya ba yin par 'gyur na /	87.98883736424227
sarva DarmaH svaBAva vAdizu ye kecana DarmAH pratyakzeNa upalaByante te sarve DarmAH viviktAH pratIyeran sarva DarmANAm svaBAva vivikta tA tAvat na asti kim api vastu tasyAH api sarva Darma antargata tvAt	chos thams cad ngo bo nyid med pa nyid du smra ba rnams la ni gang 'ga' zhig mngon sum du dmigs pas chos thams cad dben par rtogs par 'gyur ba chos thams cad kyi ngo bo nyid kyis dben pa'i dngos po ni cung zad kyang med de / de yang chos thams cad kyi nang du 'dus pa'i phyir ro //	81.64468872551225
na ced antarBAvaH sva pratijQA hAniH	'on te nang du ma 'dus na ni rang gis dam bcas pa nyams par 'gyur ro //	80.45902449775126
ayam tAvat vizayaH sarvajQa AdInAm yoginAm pratyakzeNa sugamyaH iti ucyamAne pi na Kalu vidvadByaH tRptim AsAdayati	'di ni thams cad mkhyen pa la sogs pa rnal 'byor pa'i mngon sum gyis yang dag par rtogs par bya ba yin no zhes bya ba yang mkhas pa rnams yongs su tshim par mi 'gyur te /	81.3436750433763
yukti aBAvAt tatra	de la rigs pa med pa'i phyir ro //	79.79425545299755
yadi tat yogi jQAnam api asat iti ced	gal te rnal 'byor pa'i shes pa de yang med pa zhig yin na ni /	91.80133935712999
tadA kaTam tasya prAmANyam	de'i tshe de ji ltar tshad mar 'gyur /	93.0356155696668
yadi tat sat tadA pratijQA hAniH	'on te yod na ni de'i tshe dam bcas pa nyams par 'gyur ro //	88.37789233525594
na api anumAnena api sarve BAvAH SUnyAH iti sADayitum Sakyate	rjes su dpag pa'i sgo nas kyang dngos po ma lus pa stong pa nyid du bsgrub par nus pa ma yin te /	91.34542713114612
kasya api ADArasya DarmiNaH eva aBAvAt hetu dRzwAnta AdInAm api anupapanna tvAt svaBAva ASraya rahitEH sarva hetuBiH kaTam sarva Darma niHsvaBAva tA sADayitum Sakyate	khyed la gzhi chos can 'ga' yang med pa'i phyir dang gtan tshigs dang dpe la sogs pa yang ma skyes pa'i phyir gtan tshigs thams cad gzhi dang rang gi ngo bo ma grub pa kho na yin na ji ltar des de bsgrub par ma yin te /	84.43245636689359
parEH sidDa tvAt para aByupagata hetu AdiBiH sva pakzaH prasiDyet iti ced tadA api na yujyate	'gyur / ji ste gzhan la grub pa'i phyir pha rol pos khas blangs pa'i gtan tshigs la sogs pas rang gi phyogs rab tu sgrub par byed pa yin no zhe na / de yang rigs pa ma yin te /	88.26861768876941
sADana dUzaNayA uH uBaya prasidDa tvena aBimata tvAt	lugs ni sgrub pa dang sun 'byin pa gnyi ga @135a * // la grub pa kho na yin no zhes bya ba yin pa'i phyir ro //	78.7752374229778
iTam yadA para aByupagata hetu AdayaH yadi na vAstavikAH	'di ltar gal te pha rol pos khas blangs pa'i gtan tshigs la sogs pa dngos su yod pa kho na ma yin gyi /	84.6900857276624
