		10.0
vigraha vyAvartanI kArikA	@27a * // rgya gar skad du /bi gra ha bya brta ni k'a ri k'a n'a ma / bod skad du / rtsod pa bzlog pa'i tshig le'ur byas pa zhes bya ba / 'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	61.41088496431561
sarvezAm BAvAnAm sarvatra na vidyate svaBAvaH ced	gal te dngos po thams cad kyi // rang bzhin kun la yod min na // khyod kyi tshig kyang rang bzhin med //	87.64570772212066
tvad vacanam asvaBAvam na nivartayitum svaBAvam alam	rang bzhin bzlog par mi nus so //	71.61081694834161
aTa savaBAvam etat vAkyam pUrvA hatA pratijQA te	'on te tshig de rang bzhin bcas // khyod kyi dam bca' snga ma nyams // mi 'dra nyid de de yin na //	71.67472268090977
vEzamika tvam tasmin viSeza hetuH ca vaktavyaH	khyad par gtan tshigs brjod par gyis //	73.06449319154788
mA Sabda vat iti etat syAt te budDiH na ca etat upapannam	de sgra ma 'byin lta bu'o zhes // khyod blo sems na de mi 'thad //	68.17472620496056
Sabdena hi atra satA BavizyataH vAraNam tasya pratizeDa pratizeDaH pi evam iti matam Bavet tat asat eva	'di la sgra ni yod pa yis // 'byung bar 'gyur ba de bzlog yin // 'gog pa'i 'gog pa'ang de lta zhes // 'dod na de yang bzang min te //	77.01709587077944
evam tava pratijQA lakzaFataH dUzyate na mama	khyod kyi dam bca'i mtshan nyid las // de ltar skyon yod nged la med //	84.32359312630123
pratyakzeNa hi tAvat yadi upalaBya vinivartayasi BAvAn	re zhig gal te mngon sum gyis // dngos rnams dmigs nas zlog byed pa //	73.6089718837406
tat na asti pratyakzam BAvAH yena upalaByante	gang gis dngos rnams dmigs 'gyur ba // mngon sum de ni med pa yin //	82.60547170641007
anumAnam pratyuktam pratyakzeNa Agama upamAne ca anumAna Agama sADyAH ye rTAH dRzwAnta sADyAH ca	rjes dpag lung dang dpar 'jal dang // rjes dpag lung gis bsgrub bya dang // dpes bsgrub bya ba'i don gang yin // mngon sum gyis ni lan btab po //	87.57468045761064
kuSalAnAm Darma avasTA vidaH ca manyante	skye bo chos kyi gnas skabs mkhas // dge bdag gi chos rnams la //	64.73760956539648
kuSalam janAH svaBAvam Sezezu api eza viniyogaH	dge ba'i rang bzhin yin par ni // sems shing lhag ma rnams la yang //	80.53029884483138
