	@1b # // rnal 'byor spyod pa'i sa las nyan thos kyi sa /bam po dang po / dkon mchog gsum la phyag 'tshal lo // nyan thos kyis thams cad kyi bsdus pa'i [dd] sdom gyi tshigs su bcad pa ni / rigs dang gang zag rnams dang ni // nges par sbyor dang 'jig rten pa // 'jig rten 'das pa 'di la ni // mdor na sa ni 'di dag go // sdom ni / rigs dang 'jug dang nges 'byung ba'i // ming du byas pa'i sa gsum mo // de dag rnams ni mdor bsdu na //	10.0
SrAvaka BUmiH SBsh	nyan thos kyi ni sa zhes bya //	76.41953211445963
i gotra BUmiH	rigs kyis sa gang zhe na / smras pa / rigs gang yin pa dang / rigs kyi rnam par gzhag pa gang yin pa dang / rigs la gnas pa'i gang zag rnams kyi rtags gang yin pa dang / rigs la gnas pa'i gang zag gang dag yin pa de dag thams cad gcig tu bsdus pa ni rigs kyi sa zhes bya'o // de la rigs gang zhe na / smras pa / rigs la gnas pa'i gang zag gi sa bon gyi chos gang yin pa ste / gang @2a * // yod cing med pa ma yin la rigs la gnas pa'i gang zag rnams kyi rkyen yang rnyed na / mya ngan las 'das pa thob pa dang / reg par nus shing mthu yod par 'gyur ba'o // rigs de'i ming gi rnam grangs dag gang zhe na / sa bon dang / khams dang / rang bzhin zhes bya ba ni ming gi rnam grangs dag yin no // 'od na rigs de'i rang bzhin ji lta bu zhe na / de ni lus las khyad par du gyur pa dang ; skye mched drug gis zin pa dang / chos nyid kyis 'thob pa dang / thog ma med pa'i dus nas brgyud de 'ongs pa de lta bu yin te / gang la 'di lta ste / rigs dang / sa bon dang / khams dang / rang bzhin zhes bya ba'i ming gi rnams grangs 'di dag yod pa de ni rigs zhes bya'o // rigs kyi rnam par gzhag pa ni gang / rigs de phra ba'am / rigs pa zhes brjod par bya zhe na / smras pa / phra ba zhes brjod par bya'o // ci'i phyir zhe na / sa bon des 'bras bu ma bskyed cing 'bras bu ma grub na ni des na de phra ba zhes bya'o // gang gi tshe 'bras bu bskyed cing 'bras bu grub par gyur pa de'i tshe na ni sa bo na gang yin pa de @2b dang 'bras bu gang yin pa de gcig tu bsdus nas de'i phyir rigs de rgas pa zhes bya bar rtogs par 'gyur bya'o // ro // 'o na ci rigs de rgyud gcig tu gtogs pa zhig gam / 'on te rgyud du mar gtogs par brjod par bya zhe na / smras pa / rgyud gcig tu gtogs par brjod par bya'o // ci'i phyir zhen / smras pa / chos gang dag mtshan nyid tha dad pa dang dngos po tha dad par 'jug pa de dag ni so sor rang gi rgyud sna tshogs dang 'jug pa sna tshogs su ston par 'gyur gyi / sa bon de ni skye mched drug po de dag las logs shig na tha dad pa'i mtshan nyid med de thog ma med pa'i dus nas brgyud de 'ongs pa dang / chos nyid kyis thob pa'i skye mched drug po de lta bur gyur pa'i gnas skabs de pa dang / la rigs dang / sa bon dang / khams / rang bzhin zhes bya ba'i ming dang / tha snyad de dag btags par zad pas / de'i phyir de ni rgyud gcig tu gtogs pa zhes bya'o ; / smras pa / gal te rigs la gnas pa'i gang zag rnams ni yongs su mya ngan las 'da' ba'i chos can yin la / rigs la gnas pa ma yin pa rnams ni / yongs su mya ngan las 'da' ba'i chos can ma yin par lta na / 'o na ci'i phyir yongs su mya ngan las 'da' ba'i chos can rnams sngon gyi mtha' nas yun ring por 'khor bar gyur cing / yongs su mya ngan las ma 'das she na / smras pa / rgyu bzhis yongs su mya ngan las ma 'das te / bzhi gang zhe na / mi khom par skyes pa dang / bag med pa'i nyes pa dang / logs par zhugs pa dang / sgrib pa'i nyes pas so ; / de la mi khom par skyes pa gang zhe na / smras pa / gang du 'khor bzhi bo rnams dang / dam pa rnams dang / yang dag par song ba rnams dang / skyes bu dam par rnams mi 'gro ba'i mtha' 'khor gyi mi rkun ma rnams dang / kla klo rnams su skyes pa yin te / de mi khom par skyes pa zhes bya'o //	10.0
indriyEH avikala tA	bag med pa gang zhe na / smras pa / de gang du 'khor bzhi po rnams dang / dam pa rnams dang / yang dag par song ba rnams dang / skyes bu dam par rnams 'gro ba'i 'di dus kyi mi rkun ma ma yin pa rnams dang / klu klo ma yin pa rnams @3a * // su skyes shing / rigs mthon po longs spyod spyod phun sum tshogs pa dag tu skyes su zin kyang / 'dod pa dag la lhag par chags shing yongs su longs spyod par byed de / nyes dmigs su mi lta zhing nges par 'byung bar rab tu mi shes pa yin te / de ni bag med pa zhes bya'o //	16.24320979119083
Ayatana gataH prasAdaH	logs par zhugs pa gang zhe na / smras pa / 'di ltar dbus kyi mi rnams su skyes pa'i bar du rgyas par gyur kyang mu stegs can gyi lta ba dang ldan par gyur nas sbyin pa med do zhes bya ba nas 'di las srid gzhan mi shes so // zhes bya ba med do zhes bya ba'i bar du rgyas par de ltar lta zhing de skad smra ba yin te / mu stegs can gyi lta ba de yang des sangs rgyas rnams 'byung ba med pa dang / dam pa chos ston pa'i dge ba'i bshes gnyen rnams med pa'i tshe na rnyed par 'gyur te / de ni log par zhugs pa zhes bya'o // sgrib pa gang zhe na / smras pa ; 'di ltar dbus kyi mi rnams su skyes pa'i bar du rgyas par snga ma bzhin du gyur cing sangs rgyas 'jig rten du byung ba dang / dam pa'i chos ston pa'i dge ba'i bshes gnyen dag rnyed par gyur kyang / de glen pa dang / dig pa dang / lkug pa dang / lag pas brda byed par 'gyur zhing legs par gsungs pa dang / nyes par bshad pa'i chos rnams kyi don kun shes par mi nus pa dang / mtshams med pa'i las rnams byed par 'gyur pa dang / nyon mongs pa yun ring ba yin te de ni sgrib pa zhes bya'o / rgyu gang dag gis yongs su mya ngan las 'da' ba'i chos can rnams yongs su mya ngan las 'das pa'i rgyu ni bzhi po de dag yin no // de dag kyang gang gi tshe sangs rgyas 'byung ba dang / dam pa'i chos nyan pa dang rjes su mthun pa'i gdams ngag rjes su bstan pa rnyed cing / rgyu de dag kyang med par gyur pa de'i tshe na dge ba'i rtsa ba dag yongs su smin cing rim gyis yongs su mya ngan las 'da' bar yang 'gyur ro // yongs su mya ngan las mi 'da' ba'i chos can rnams ni nges pa'i tshogs la gnas 'gyur ro //	10.0
aparivRtta karmAnta tA	pa yin pas / de dag ni rkyen rnyed kyang rung ma rnyed kyang rung ste / rnam pa thams cad kyi thams cad du yongs su mya ngan las 'da' ba'i @3b skal ba med pa kho na yin no // de la yongs su mya ngan las 'da' ba'i chos can rnams kyi gang dag ma tshang zhing med la nye bar ma gyur na yongs su mya ngan las mi 'da' ba'i rkyen rnams gang zhe na / smras pa / rkyen gnyis te / gnyis gang zhe na / gtso bo dang / dman pa'o// rkyen gtso bo gang zhe na / smras pa / 'di lta ste / dam pa'i chos kyi dbang du byas pa'i gzhan gyi sgra dang / nang gi tshul bzhin yid la byed pa'o // rkyen dman pa gang zhe na / smras pa / rkyen dman pa ni mang ste / 'di lta ste / bdag gi 'byor ba dang / gzhan gyi 'byor ba dang / dge ba'i chos la 'dun pa dang / rab tu byung ba dang / tshul khrims kyi sngo pa dang / dbang po sdom pa dang / zas kyi tshod rig pa nyid dang / nam gyi cha stod dang nam gyi cha smad la mi nyal bar sbyor ba'i rjes su brtson pa nyid dang / shes bzhin du spyod pa nyid do // rab tu dben par gnas pa dang ; sgrib pa rnam par dag pa dang / ting nge 'dzin la yang dag par gnas pa'o // de la bdag gi 'byor ba gang zhe na / mir gyur pa dang / yul dbus su skyes pa dang / dbang po ma tshang ba med pa dang / gnas la dad par gyur pa dang / las kyi mtha' ma log pa gang yin pa'o //	10.0
tatra manuzya tvam katamat	de la mir gyur pa gang zhe na /	91.2708855752022
yaTA api iha ekatyaH manuzyANAm saBA gatAyAm pratyAjAtaH Bavati	'di ltar 'di na la la mi rnams dang skal ba mnyam par skyes pa /	85.08500669787537
puruzaH ca puruza indriyeNa samanvAgataH Bavati	skyes pa'i dbang po dang ldan pa'am / bud med du skyes pa yin te /	92.39057281258263
idam ucyate manuzya tvam	de ni mir gyur pa zhes bya'o //	90.66635204130603
Arya Ayatane pratyAjAtiH katamA	yul dbus su skyes pa gang zhe na /	81.14666711582858
