	@4a * // rgya gar skad du /bing shi ka bridhi // bod skad du / nyi shu pa'i 'grel pa / 'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	10.0
mAhAyAne trEDAtukam vijQaptimAtram vyavasTApyate	theg pa chen po la khams gsum pa rnam par rig pa tsam du rnam par gzhag ste /	89.55871593315938
cittamAtram Bo jinaputrAH yat uta trEDAtukam iti sUtrAt	mdo las kye rgyal ba'i sras dag 'di lta ste / khams gsum pa 'di ni sems tsam mo zhes 'byung ba'i phyir ro //	86.51430793530463
cittam manaH vijQAnam vijQaptiH ca iti paryAyAH	sems dang yid dang / rnam par shes pa dang / rnam par rig pa zhes bya ba ni rnam grangs su gtogs pa'o //	92.36435201269276
cittam atra sa saMprayogam aBipretam	sems de yang 'dir mtshungs par ldan pa dang bcas par dgongs pa'o //	91.19158376213721
matram iti arTa pratizeDa arTam	tsam zhes bya ba smos pa ni don dgag pa'i phyir ro //	84.13692057357645
vijQapti mAtram eva idam asat arTa avaBAsanAt	rnam par shes pa 'di nyid don du snang ba 'byung ste /	76.99985281626384
yadvat tEmirikasya asat keSoNxuka Adi darSanam atra codyate	dper na rab rib can rnams kyis skra zla la sogs pa med par mthong ba bzhin te /	80.09269507554644
kaScid arTaH na asti	don gang yang med do // 'dir 'di skad ces brgal te / gal te rnam rig don min na //	75.12635304562977
na deSa kAla niyamaH saMtAna aniyamaH na ca	yul dang dus la nges med cing // sems kyang des med ma yin la //	84.00282200907863
na ca kRtya kriyA yuktA vijQaptiH yadi na arTataH	bya ba byed ba'ang mi rigs 'gyur //	68.74885392189026
kim uktam Bavati	ji skad du bstan par 'gyur zhe na /	77.04186729022436
yadi vinA rUpa Adi arTena rUpa Adi vijQaptiH utpadyate na rUpa Adi arTAt	gal te gzugs la sogs pa'i don med par gzugs la sogs pa'i rnam par rig pa 'byung ste gzugs la sogs pa'i don las ma yin na /	94.83498128011394
kasmAt kvacid deSaH utpadyate na sarvatra	ci'i phyir yul la lar 'byung la thams cad na ma yin /	90.38513215982688
tatra eva ca deSe kadAcid utpadyate na sarvadA	yul de nyid na yang res 'ga' 'byung la thams cad du ma yin /	91.67121744405591
tad deSa kAla pratizWitAnAm sarvezAm saMtAna aniyamaH utpadyate na kevalam ekasya	yul dang dus de na 'khod pa thams cad kyi sems la nges pa med pa 'byung la 'ga' tsam la ma yin /	87.96390169431807
yaTA tEmirikANAm saMtAne keSa Adi ABAsaH na anyezAm	de ltar rab ri ba can nyid kyi sems la skra la sogs pa snang gi la ma yin /	84.52229695837073
kasmAt yat tEmirikEH keSa Bramara Adi dRSyate tena keSa Adi kriyA na kriyate na ca tat anyEH na kriyate	/ @4b gzhan dag la ni ma yin // ci'i phyir gang rab rib can gyis mthong ba'i skra dang / sbrang bu la sogs pas skra la sog pa'i bya ba mi byed la /	87.17289428866633
yat anna pAna vastra viza AyuDa Adi svapne dRSyate tena anna Adi kriyA na kriyate na ca tat anyEH na kriyate	de ma yin pa gzhan dag gis ni byed / rmi lam na mthong ba'i bza' ba dang btung ba dang bgo ba dang dug dang mtshon la sogs pas zas dang skom la sogs pa'i bya ba mi byed la / de ma yin pa gzhan dag gis ni byed /	82.50717436616428
ganDarvanagareNa asattvAt nagara kriyA na kriyate na ca tat anyEH na kriyate	dri za'i grong khyer yod pa ma yin pas grong khyer gyi bya ba mi byed la / de ma yin pa gzhan dag gis ni byed /	81.10314249756848
tasmAt asat aBAva avaBAsane deSa kAla niyamaH saMtAna aniyamaH kRtya kriyA ca na yujyate	'di dag don med par med du 'dra na yul dang dus nges pa dang / sems nges pa med pa dang / bya ba byed pa 'di dag kyang mi rung ngo zhe na /	82.9515106179411
na Kalu na yujyate  yasmAt	mi rung ba ma yin te / 'di ltar /	89.43171321984494
deSa Adi niyamaH sidDaH svapna vat	yul la sogs pa nges 'grub ste // rmi 'dra'o //	74.7847429773082
svapnaH iva svapna vat	rmi lam du rmis pa dang mtshungs pas na rmi 'dra'o //	75.0156270243087
kaTam tAvat	ji lta zhe na /	82.96123615900676
svapne vinA api arTena kvacid eva deSe kiMcid Bramara ArAma strI purUza Adikam dRSyate na sarvatra tatra eva ca deSe kadAcid dRSyate na sarvakAlam iti sidDaH vinA api arTena deSa kAla niyamaH	rmi lam na yang don med par yul la na grong dang / kun dga' ra ba dang / skyes pa dang bud med la sogs pa ji dag snang la thams cad na ma yin yul de nyid na yang res 'ga' snang la dus thams cad du ma yin pas don med par yang yul la sogs pa nges par 'grub po // sems kyang nges pa med /	83.98242328118832
preta vat punar saMtAna aniyamaH	yi dags bzhin te /	63.08167446984185
sidDaH iti vartate	grub ces bya bar bsnyegs so //	85.04990935325623
pretAnAm iva preta vat	yi dags rnams kyi dang mtshungs pas na yi dags bzhin no //	85.16522764337473
kaTam sidDaH samam	ji ltar 'grub / thams cad kyis /	82.6707091331482
sarvEH pUyanadI Adi darSane	klung la rang la sogs mthong bzhin //	64.79738730353279
pUya pUrNA nadI pUyanadI	rang gis gang ba'i klung ni rang gi lung ste //	61.95319260434901
GRta Gawa vat	mar gyi bum pa bzhin no //	77.56619358062744
tulya karma vipAka avasTAH hi pretAH sarve pi pUya pUrNAm nadIm paSyanti na ekaH eva	las kyi rnam par smin pa mtshungs pa la gnas pa'i yi dags rnams ni kun gyis kyang mtshungs par klung rang gis gang bar mthong ste / gcig 'gas ni ma yin no //	85.72888503066775
yaTA pUya pUrNAm evam mUtra purIza Adi pUrNAm daNxa asi DarEH ca puruzEH aDizWitAm iti Adi grahaNena	rnag gis gang ba ji lta ba bzhin du gcin dang / ngan skyugs dang / me ma mur dang / mchil ma dang / snabs kyis gang ba dang / dbyig pa dang / ral gri thogs pa'i mi dag gis srung ba yang de bzhin te / sogs pa zhes bya bar bsdu'o //	77.97874660892836
evam saMtAna aniyamaH vijQaptinAm asati api arTe sidDaH svapna upaGAta vat kRtya kriyA	de ltar na don med par yang rnam par rig pa rnams kyi sems nges pa med par 'grub po // bya byed rmi lam gnod pa 'dra //	83.34595686770608
sidDaH iti veditavyam	grub ces bya bar rig par bya'o / dper na rmi lam na gnyis kyis gnyis phrad pa @5a * //	59.66357720006228
yaTA svapne dvaya samApattim antareNa Sukra visarga lakzaNaH svapna upaGAtaH	med par yang khu ba 'byung ba'i mtshan nyid ni rmi lam gyi gnod pa'o //	72.13725505152692
evam tAvat anya anyEH dRzwAntEH deSa kAla niyama Adi catuzwayam sidDam naraka vat punar sarvam	de ltar re zhig dpe gzhan dang gzhan dag gis yul dang dus nges pa la sogs pa bzhin 'grub bo // thams cad sems can dmyal ba bzhin //	89.13892950419753
sidDam iti veditavyam	grub ces bya bar rig par bya'o //	88.82691825519909
narakezu iva naraka vat	sems can dmyal ba dag na yod pa dang mtshungs pas sems can dmyal ba bzhin no //	87.41919704856359
kaTam sidDam	ji ltar 'grub ce na /	78.4272676536015
naraka pAla Adi darSane tEH ca bADane	dmyal ba'i srung ma sogs mthong dang // de dag gis ni gnod phyir ro //	79.82744112256839
yaTA hi narakezu nArakANAm naraka pAla Adi darSanam deSa kAla niyamena sidDam	dper na sems can dmyal ba dag na sems can dmyal ba'i sems can rnams kyis sems can dmyal ba'i srung ma la sogs pa mthong ste / yul dang dus nges par 'grub po //	82.70471561505998
Sva vAya sa Ayasa parvata Adi Agamana gamana darSanam ca iti Adi grahaNena	khyi dang bya rog dang lcags kyi ri la sogs pa 'ong ba dang 'gro bar yang mthong ba ni sogs pa zhes bya bar bsdu ste / thams cad kyis mthong gi /	77.28296587260456
sarvezAm ca na ekasya eva tEH ca tad bADanam sidDam asatsu api naraka pAla Adizu samAna sva karma vipAka ADipatyAt	gcig 'gas ni ma yin no // de dag gis de dgal gnod pa yang 'grub ste / dngos po la sems can dmyal ba'i srung ma la sogs pa med par yang rang gi las kyi rnam par smin pa mtshungs pa'i dbang phyir ro //	90.0487241622866
taTA anyatra api sarvam etat deSa kAla niyama Adi catuztayam sidDam iti veditavyam	de bzhin du gzhan yang yul dang dus nges pa la sogs pa bzhi po 'di dag thams cad grub par rig par bya'o //	73.51370783295266
kim punar kAraNam naraka pAlAH te ca SvAnaH vAyasAH ca sattvAH na izyante	ci'i phyir sems can dmyal ba'i srung ma dang bya rog dang khyi la sogs pa de dag sems can du mi 'dod ce na /	84.30062107487879
ayogAt	mi rigs pa'i phyir ro //	63.79428172111511
na hi te nArakAH yujyante	de dag ni sems can dmyal bar mi rigs te /	84.64182605976012
taTA eva tad duHKa apratisaMvedanAt	de bzhin du sdug bsngal des mi myong ba'i phyir ro // gcig la gcig gnod pa byed na ni 'di dag ni sems can dmyal ba bdag go //	63.414613477974214
parasparam yAtayatAm ime nArakAH ime naraka pAlAH iti vyavasTA na syAt tulya AkRti pramANa balAnAm ca parasparam yAtayatAm na taTA Bayam syAt	'di dag ni sems can dmyal ba'i srung ma dag go zhes rnam par gzhag pa med par 'gyur ro / byad gzugs dang bong tshod dang stobs mtshungs pa dag ni gcig la gcig gnod pa byed kyang ji lta bur 'jigs par mi 'gyur ro //	86.27797188231449
dAha duHKam ca pradIptAyAm ayaH mayyAm BUmO asahamAnAH kaTam tatra parAn yAtayeyuH	lcags rab tu 'bar ba'i sa gzhi la tsha ba'i sdug bsngal yang mi bzod na ni ji ltar de na gzhan la gnod pa byed par 'gyur /	78.99992752085933
anArakANAm vA narake kutas saMBavaH	sems can dmyal ba pa ma yin pa dag sems can dmyal bar 'byung bar ga la 'gyur /	70.34935802405153
kaTam tAvat tiraScAm svarga saMBavaH	'o na dud 'gro dag kyang ji ltar mtho ris su 'byung ste /	69.89045928653917
evam narakezu tiryak preta viSezANAm naraka pAla AdInAm saMBavaH syAt	de bzhin du sems can dmyal bar yang dud 'gro dang yi @5b dags kyi bye brag sems can dmyal ba'i srung ma la sogs pa 'byung bar 'gyur ro zhe na / ji ltar dud 'gro mtho ris su //	85.45674141561798
tiraScAm saMBavaH svarge yaTA na narake taTA	'byung ba de ltar dmyal ba min // yi dags min te de lta bur //	76.20106329313138
na pretAnAm yatas tad jam duHKam na anuBavanti te	de yod sdug bsngal des mi myong //	76.0347668283126
ye hi tiryaQcaH svarge saMBavanti te tad BAjana loka suKa saMvartanIyena karmaNA tatra saMBUtAH tad jam suKam pratyanuBavanti	dud 'gro gang dag mtho ris su 'byung ba de dag ni snod kyi 'jig rten na de'i bde ba myong bar 'gyur ba'i las kyis der 'byung ba dag ste / de na yod ba'i bde ba so sor myong ngo //	89.58653506019265
na ca eva naraka pAla AdayaH nArakam duHKam pratyanuBavanti	sems can dmyal ba'i srung ma la sogs pa dag ni de bzhin du sems can dmyal ba'i sdug bsngal mi myong ngo //	87.7099985252682
tasmAt na tiraScAm saMBavaH yuktaH na api pretAnAm tezAm tarhi	de'i phyir dud 'gro dag der 'byung bar mi rigs so //	71.09890756167503
