		10.0
vinIta deva kRtA santAna antara sidDiwIkA mUla sahitA budDi pUrvAm kriyAm dRzwvA sva dehe nyatra tad grahAt jQAyate yadi DIH citta mAtre pyeza nayaH samaH	@35a # // rgya gar skad du /santa nanta na siddhi t'i k'a / bod skad du / rgyud gzhan grub pa'i 'grel bshad / dpal 'jam pa'i dbyangs la phyag 'tshal lo //	62.95719288615811
cittamAtram idam sarvam uktavAn yaH jagadguruH	'gro ba'i bla ma gang zhig gis // 'di kun sems tsam du gsung spa //	79.29168200932804
santAna antara sidDaH tam praNipatya vivicyate	de la rab tu phyag 'tshal nas // rgyud gzhan grub pa dbye bar bya //	74.36545317231001
budDi pUrvAm kriyAm ityAdi Slokena asya prakaraNasya aBiDeya sambanDa prayojanAni darSitAni	rang lus blo sngon zhes bya ba la sogs pa'i tshigs su bcad pa 'dis ni rab tu byed pa 'di'i 'grel pa dang / brjod par bya ba dang / dgos pa rnams bstan te /	90.64415200054809
tatra santAna antara sattA aBiDeyam	de la rgyud gzhan yod pa nyid ni brjod par bya ba yin no //	88.00173173112384
santAna antara sattAyAH sidDiH prayojanam	rgyud gzhan yod pa nyid du grub pa ni dgos pa yin no //	88.20872168107466
tasya prayojanasya api prakaraNena anena sADyamAna tvAt tena saha Asya upAya upeya lakzaNa sambanDaH	dgos pa de yang rab tu byed pa 'dis sgrub pas 'di ni rab tu byed pa dang lhan cig thabs dang thabs kyis bsgrub par bye ba'i mtshan nyid kyis 'brel pa yin no //	90.45635538998278
kArya kAraNa Adi sambanDAnAm asmin= eva antar BAvAt na pRTak vacanam	rgyu dang 'bras bur 'brel pa la sogs pa 'di kho na'i khongs su 'dus pas logs shig tu ma brjod do //	89.78746899923551
bAhya arTa vAdinaH kila vijQAna mAtra tAyAm santAna antara sattA na upapadyate iti codayanti	phyi'i don du smra ba rnams rnam par shes pa tsam nyid kyi ltar na rgyud gzhan yod pa nyid du mi 'thad do zhes rgol lo brjod do // zhes grag ste /	89.72493488721082
taTA hi te evam AhuH  yezAm cittamAtram eva sat asan= ca bAhya arTaH	'di ltar de dag ni 'di skad ces zer ro // gang gi ltar na sems tsam yod kyi phyi'i don med pa de'i ltar na srog chags gzhan rtogs par bya ba la /	79.37683719532913
na tezAm prANi antara pratipattaye pratyakza pramANam asti	mngon sum gyi tshad ma ni med de /	76.72794633753159
jQAna mAtrasya sva aMSa mAtra Alambana tvAt vastutas tu Alambana aBAvAt	shes pa thams cad rang gi @35b cha tsam la dmigs pa'i phyir ram yang dag par na dmigs pa med pa'i phyir ro //	87.17407451019221
na api anumAnam kAya vAc karma aBAvAt	lus dang ngag gi las med pa'i phyir rjes su dpag pa yang med de /	91.89903378058162
aTa kAya vAc vijQaptiByAm prANi antaram anumIyate ced	'di ltar lus dang ngag gi rnam par rig byed dag gi srog chags gzhan rjes dpag par bya ba yin na /	92.06970559088205
vijQAna mAtra tA pakze kAya vAc karmaNoH vijQaptI na staH	rnam par shes pa tsam nyid kyi phyogs la ni lus dang ngag gi las rnam par rig byed dag med do //	92.3765214986431
na api AgamaH samBavati tasya rUpa skanDa antar BAvAt etasya ca pratikzepAt	lung yang gzugs kyi phung po'i nang du 'dus pa'i phyir de spangs na mi srid pa kho na yin no //	81.62151378608742
taTA hi AgamaH Sabda AtmakaH vA Bavet vyaQjana svaBAvaH vA	'di ltar lung ni sgra'i bdag nyid dam yig 'bru'i ngo bo nyid gcig yin par 'gyur grang no //	91.67493875850435
uBayam api etat Bavat pakze na asti	na / 'di gnyi g-yang khyed kyi phyogs la med do //	91.93642044067383
na api tad vizaye rUpiNaH Agamasya prAmANyam izyate	lung yang gzugs ni yul de lta bu la tshad ma nyid yin par yang mi 'dod de /	90.91323214094214
yatas hi ayam vizayaH pramANa dvaya vizaya atItaH mataH	'di ltar 'di'i yul ni tshad ma gnyis kyi yul las 'das pa yin par 'dod do //	85.78430476111821
taTA sati AgamAt api prANi antaram pratipattum na Sakyate iti ced	de lta bas na lung gi sgo nas kyang srog chags gzhan la rtogs par nus pa ma yin no zhe na / phyi'i don du smra ba de ltar logs par rtogs pa la 'di skad ces brjod par zhe na / bya'o //	76.86259766743899
taTA vipratipannAH bAhya arTO= AdinaH evam vaktavyAH vayam api pratyakzatas prANi antaram na eva pratipadyAmahe	kho bo cag kyang mngon sum gyis srog chags gzhan rtogs par mi 'dod pa zhe na / bya'o // kho na ste /	75.83724767102964
na hi pratyakzAt arvAk darSinaH prANi antaram avagacCanti	tshu rol mthong ba rnams kyis ni mngon sum gyi srog chags gzhan shes par mi 'gyur ro //	87.29132332944451
na api AgamaH vyaQjana svaBAvaH	lung yang yig 'bru'i ngo bo nyid ma yin no //	89.36974520153468
kintu praNetR vaSAt yaH vAkya pada vyaQjana viSeza pratiBAsi jQAna utpAdaH saH	'on kyang ston pa po'i dbang gis ngag dang tshig dang yi ge khyad par can du snang ba'i shes pa skye ba gang yin pa yin no //	91.65318611191672
sa tu pratipattR santAne san= api upacArataH taTAgatasya vA kapilasya vA kaNAdasya vA kartuH vacanam iti vyapadiSyate	de ni rtogs par byed pa'i rgyud la yod pa yin yang nye bar gdags pa'i sgo nas de bzhin gshegs pa'i 'am ser skya'i 'am / gzegs zan pa'i tshig ces byed pa po'i yin pa tha snyad 'dogs so //	88.0159204224739
evam sarve pi bOdDA vAcakam Sabda sAmAni a AkAram jQAnam manyante na ca asti Sabda viSezaH	'di ltar sangs rgyas pa thams cad ni rjod par byed pa'i sgra'i spyi'i rnam pa can gyi shes pa yin par 'dod kyi sgra'i khyad par ni yod kyang ma yin te /	90.02633451779869
tasya pUrvam adRzwa tvAt ityAdi hetuBiH viSeza AkArasya vAcaka tva BAva pratizeDAt	de ni sngon ma mthong ba'i phyir zhes bya ba la sogs pa'i gtan tshigs kyi khyad par rnam par rjod par byed pa nyid yin pa bgag pa'i phyir ro //	89.7256967619649
vayam api na AgamataH prANi antara pratipattim aByupagacCAmaH api tu anumAnAt	kho bo cag kyang lung gi srog chags gzhan rtogs par ni khas mi len gyi 'on kyang rjes su dpag pas yin no //	88.21780777993378
tat ca anumAnam kAya vAc karmaNoH aBAve pi yaTA pravartate yat darSayitum Aha  budDi pUrvAm ityAdi	rjes su dpag pa de yang ji ltar lus dang ngag gi las med kyang 'jug pa de bstan pa'i phyir rang lus blo sngon 'gro ba'i zhes bya ba la sogs pa smos te /	91.14138550969984
eza tAvat samudAya arTaH	'di ni re zhig bsdus pa'i don yin no //	86.08835279024565
avayava arTaH tu ucyate	yan lag @36a * // gi don ni brjod par bya ste /	78.38146530313695
budDiH jQAnam	blo zhes bya ba ni shes pa'o //	82.23797506670797
sA ca atra gamana Agamana saMlApa icCA rUpA parigRhyate	de yang 'dir 'gro ba dang 'ong ba dang kun du smra bar 'dod pa'i ngo bo yin par yongs su gzung ste /	74.12799305408832
kriyA hetu tvAt tasyAH	de ni bya ba'i rgyu yin pa'i phyir ro //	92.6803047657013
sA asti pUrvam yasyAH kriyAyAH sA budDi pUrvA pUrvA iti Sabdena atra kAraNasya nirdeSaH	bya ba gang la de sngon du 'gro ba yod pa de ni blo sngon du 'gro ba yin no // sngon zhes bya ba'i sgra ni 'dir rgyu yin par ston te /	88.30623699203272
kAraNasya pUrva varti tvAt	rgyu ni snga na yod pa yin pa'i phyir ro //	84.73771002126294
yadi nAma bAhya arTa vAdiBiH sva santAne tAm budDi pUrvAm kriyAm pratyakza anumAnAByAm upalaBya paScAt para santAne grahAt vivakzita rUpA	gal te phyi rol gyi don du smra ba rang gi rgyud la blo sngon du 'gro ba'i bya ba de dag mngon sum dang rjes su dpag pa dag gis dmigs nas phyis gzhan gyi rgyud la 'dzin pa'i phyir brjod par 'dod pa'i ngo bo'i rnam par shes pa'i blo shes par 'gyur ro zhe na /	88.36728599762267
tadA cittamAtre pyeza nayaH samaH	de'i tshe tshul 'di ni sems tsam la yang mtshungs so //	74.49451684951782
atra kriyA iti upalakzaNam	bya ba zhes bya ba ni 'dir nye bar mtshon pa tsam du zad do //	85.97024506907309
muKa kAnti raktim AdInAm api citta antarasya gamaka tvAt	kha gdangs pa dang / khrag la sogs pa yang sems gzhan rtogs par byed pa yin pa'i phyir ro //	84.93698449746793
yadi iti vacanena vakzyamANa biDinA para pakze numAna aBAvam darSayati	gal te zhes bya ba smos pas ni 'chad par 'gyur ba'i tshul gyis ni pha rol po phyogs la rjes su dpag pa med par ston to //	90.01665919257591
anumAnam aByupagamya tulya tAm KyApayan= Aha Atmani citta spandana pUrvO kriyA aBilApO dRzwvA anyatra tayoH darSanAt yadi spandanam anumIyeta cittamAtre pyeza nayaH samaH atas citta mAtra tA vAdI api para cittam anumAtum Saknoti	rjes su dpag pa khas blangs nas mtshungs par 'gyur ba bstan pa'i phyir //	10.0
Atmani ityAdi	gal te bdag nyid la zhes bya ba la sogs pa smos te /	51.76636838912964
cittasya spandanam citta spandanam	sems kyi g-yo ba ni sems kyi g-yo ba'o //	72.56263871890742
atra spandana iti SabdaH cikIrzAyAm vartate	'dir g-yo ba zhes bya ba'i sgra ni byed pa la bya'o //	84.53542866530242
