	@314a # // rgya gar skad du /he tu ta ttva au pa de sha / bod skad du / gtan tshigs kyi de kho na nyid bstan pa / 'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	10.0
sADanam dUzaNam ca eva sa ABAsam para saMvide	bsgrub dang sun ni 'byin pa dang / ltar snang bcas pas gzhan rig byed //	87.27674039861128
pratyakzam anumAnam ca sa ABAsam tu Atma saMvide	mngon sum dang ni rjes dpag gnyis // ltar snang bcas pas bdag rig byed //	91.80014283854923
iti SAstra arTa saMgrahaH	'di ni bstan bcos kyi don bsdus pa'o //	94.38647863803766
vAdinA svayam sADayitum izwaH rTaH sADyaH	rgol ba bdag nyid kyis bsgrub par 'dod pa'i don ni bsgrub par bya'o //	91.12895141509408
sADyate yena tat sADanam	gang gis sgrub par byad pa de ni bsgrub pa yin te /	81.9776003781487
hetoH tri rUpa vacanam	gtan tshigs kyi tshul gsum brjod pa'o //	79.51042008399963
kAni punar tAni triNi rUpANi	tshul gsum po de dag kyang gang zhe na /	85.83679103851318
pakze sattvam eva iti ekam rUpam	phyogs la yod pa nyid ni tshul gcig go //	68.50023693573183
sa pakzaH eva sattvam iti dvitIyam rUpam	mthun pa'i phyogs nyid la yod pa zhes bya ba ni tshul gnyis pa'o //	84.91866768548178
vipakze ca asattvam eva niScitam iti tRtIyam	mi mthun pa'i phyogs la med pa nyid du nges pa zhes bya ba ni @314b tshul gsum pa'o //	83.58871506540248
tatra pakzaH prasidDaH DarmI prasidDeNa viSezeNa viSizwaH svayam sADayitum izwaH pratyakza Adi avirudDaH	de la phyogs ni rab tu grub pa'i chos can no // rab tu grub pa'i khyad par gyi bye brag bdag nyid sgrub par 'dod pa mngon sum la sogs pa dang 'gal ba med pa yin te /	89.61748080243271
yaTA SabdaH DarmI anitya tvena viSeNa viSiztaH sADyate kRtaka tvAt iti hetuH	dper na chos can sgra mi rtag pa'i khyad par gyi bye brag dang ldan pa ni bsgrub par bya'o // byas pa'i phyir ro zhes bya ba ni gtan tshigs yin pa bzhin no //	87.27708111191806
kaH sa pakzaH	mthun pa'i phyogs gang zhe na /	80.39516038279379
sADya DarmeNa sAmAnyena samAnaH sa pakzaH yaTA Gawa AdiH iti	bsgrub par bya ba'i chos kyi spyis mthun pa ni mthun pa'i phyogs te / dper na bum pa la sogs pa lta bu'o //	94.24127631985631
kaH vA hetoH vipakzaH	gtan tshigs kyi mi mthun pa'i phyogs gang zhe na /	91.76326460838318
yatra sADya aBAvena hetoH aBAvaH niyamena kaTyate  yaTA AkASa AdiH iti	gang du bsgrub par bya ba med pas gtan tshigs med par nges par ston pa yin te / dper na nam mkha' la sogs pa bzhin no //	91.23003476349524
etat eva ca hetoH trirUpa vacanam para pratyAyanAya prayujyamAnam para arTam anumAnam ucyate	gtan tshigs kyi tshul gsum pa bstan pa de nyid kyis gzhan khong du chud pa'i ched du sbyor bar byas pa ni gzhan gyi don rjes su dpag ba zhes bstan to //	89.1554273895226
yaTA anityaH SabdaH iti pakza vacanam kRtaka tvAt iti hetu vacanam	dper na sgra mi rtag go zhes bya ba ni phyogs brjod pa'o // byas pa'i phyir ro zhes bya ba ni gtan tshigs brjod pa'o //	93.43469008441636
Gawa Adi vat iti sa pakza vacanam	bum pa la sogs pa bzhin no zhes bya ba ni mthun pa'i phyogs brjod pa'o //	94.43642732175633
AkASa vat iti vipakza vacanam	nam mkha' la sogs pa bzhin no zhes bya ba ni mi mthun pa'i phyogs brjod pa'o //	88.96662353339455
tat punar dviviDam dRzwam	de yang rnam pa gnyis su snang ste /	72.94012019369337
sADarmyeNa vEDarmyeNa ca htu	chos mthun pa dang ma chos mi mthun pa'o /	91.05396207173665
tatra sADarmyeNa tAvat	de la re zhig chos mthun pa ni //	94.58957250912984
yat kRtakam tat sarvam anityam dRzwam	gang byas pa de thams cad ni mi rtag par mthong ba //	87.78766603739756
yaTA Gawa AdiH	dper na bum pa la sogs pa'o //	85.88306776682536
kRtakaH ca SabdaH iti	sgra yang byas pa'i phyir zhes bya ba lta bu'o //	93.26662768636432
vEDarmyeNa punar asati anitya tve na Bavati eva kRtaka tvam yaTA AkASa AdO	yang chos mi mthun pa ni mi rtag pa nyid med na byas pa nyid med de // dper na nam mkha' la sogs pa bzhin te /	91.74671285878391
SabdaH tu kRtakaH iti	sgra yang byas pa'i phyir zhes bya ba lta bu'o //	91.63583864484515
kaH punar pakza ABAsaH	gang phyogs ltar snang ba yang gang zhe na /	93.4814145565033
yaH pakzaH iva ABAsate na tu sAkzAt pakzaH Bavati	phyogs ltar snang ba ni dngos su phyogs ma yin pa yin te /	86.72720853747349
pratyakza AdiBiH bADita tvAt	mngon sum la sogs pas gnod pa'i phyir ro //	91.98740768987079
sa tu pakza ABAsaH	de ni phyogs ltar snang ba ste //	88.91417332129045
yaTA DUma AdiH DarmI budDimatA hetunA janyate iti sADye pratyakza virudDaH pakza ABAsaH	dper na du ba la sogs pa'i chos can blo dang ldan pa'i rgyus bskyed pa bsgrub par bya ba yin no zhes bya ba mngon sum dang 'gal bas phyogs ltar snang ba yin te /	95.2792650096233
pratyakzeNa vahni janyasya Dumasya darSanAt	mngon sum gyis me las du ba skye ba mthong ba'i phyir ro //	86.84549135903613
anumAna virudDaH yaTA	rjes su dpag pa dang 'gal ba ni dper na /	89.69157850451586
veda vAkyam DarmI apOruzeyam iti sADye	rig byed kyi tshig ni chos can skyes bus byas pa ma yin te zhes bsgrub par bya ba la // sgra ni brtsal ma thag tu byung ba yin pas skyes bus byas par grub pa'i phyir ro // rang gi tshig @315a * //	71.20570323675354
prayatna anantarIyaka tve Sabdasya pOruzeya tvasya prasADanAt sva vacana virudDaH yaTA na anumAnam pramANam iti para pratipAdanAya vacanam uccAryamANam para arTam anumAnam iti ukta tvAt	dang 'gal ba ni dper na rjes su dpag pa ni tshad ma ma yin no zhes bya ba ni / gzhan gyi khong du chud par bya ba'i phyir tshig brjod pa ni gzhan gyi don gyi rjes su dpag pa yin no zhes bstan pa'i phyir ro //	75.02189584634135
loka virudDaH yaTA Suci nara SiraH kapAlam prANi aFga tvAt SaFKa Sukti vat	'jig rten dang 'gal ba ni dper na mi mgo'i thod pa ni gtsang ba yin te srog chags kyi yan lag yin pa'i phyir dung chos dang nya phyis bzhin no zhes bya ba lta bu'o //	84.08909701974223
pratIti virudDaH yaTA	rtogs pa dang 'gal ba ni dper na /	81.35851113936481
kiyat kAla sTAyI kRtakaH nityaH iti	gang dus ji srid gnas par byas pa ni mi rtag pa yin no //	76.03877800807618
kiyat kAla sTAyinaH pi kRtakAH sarve nityAH iti loka pratIteH	gang dus ji srid gnas par yang byas pa thams cad ni rtag pa yin no zhes 'jig rten pas rtogs pa'i phyir ro //	76.73131211890774
aprasidDa viSezaNaH yaTA	khyad par ma grub pa ni dper na /	78.83193967559122
vESezikasya sAMKyam prati vinASI SabdaH iti sADye aprasidDa viSezyaH yaTA	bye brag pas grangs can pa la sgra 'jig pa yin no zhes bya ba lta bu'o // khyad par du byas ba ma grub pa ni //	83.4048086808168
sAMKyasya bOdDam prati AtmA cetanaH iti sADayataH	dper na grangs can pas sangs rgyas pa la bdag sems dang bcas pa yin no zhes bsgrub pa lta bu'o //	80.57000930753969
uBaya aprasidDaH yaTA	gnyi ga ma grub pa ni dper na /	85.15639231281897
vESezikasya bOdDam prati suKa Adi samavAyi kAraNam AtmA iti htu	bye brag bas sangs rgyas pa la sdud par byed pa ni bdag nyid yin no zhes bya ba lta bu'am //	80.44427916662237
prasidDa saMbanDaH yaTA vAyuH asTira svaBAvaH iti	lus ni brtan pa'i rang bzhin yin no zhes bya ba lta bu'o //	75.23633882174644
uktAH pakza ABAsAH	phyogs ltar snang ba bshad zin to //	78.09037470817566
hetvABAsaH kIdRSaH	gtan tshigs ltar snang ba ci 'dra ba zhig ce na /	86.41197045968504
yaH hetuH iva ABAsate na punar sidDaH hetuH iti	gang zhig gtan tshigs ltar snang ba yin gyi gtan tshigs su grub pa ni ma yin pa'o //	90.9604694517873
hetvABAsaH sidDaH virudDaH na EkAntikaH ca iti tri prakAraH	gtan tshigs ltar snang ba ni gsum ste / ma grub pa dang 'gal ba dang ma nges pa'o //	84.88966218710775
tatra pakze sidDa tvAt asidDa saMjQakaH hetvABAsaH pakza sa pakzayoH na asti vipakzaH eva asti sa virudDa saMjQakaH hetvABAsaH	de la phyogs la ma grub pa'i phyir ma grub ces bya ba'i gtan tshigs ltar snang ba yin no // phyogs dang mthun pa'i phyogs la ni med pa mi mthun pa'i phyogs la yod pa de ni 'gal ba zhes bya ba'i gtan tshigs ltar snang ba yin // te /	93.5781585492123
sADya viparyaya sADanAt	bsgrub par bya ba las phyin ci log bsgrub pa'i phyir ro //	92.74474640550284
tatra yaH hetuH sa pakza vipakzayoH uBayatra asti na asti vA saMdihyate	mthun pa'i phyogs dang mi mthun pa'i phyogs gnyi ga las /	73.16053420602819
aprasidDa saMbanDaH vA saH na EkAntika saMjQakaH hetvABAsaH	yod pa'am med pa'am the tshom za ba la'am 'brel pa ma grub pa'i gtan tshigs gang yin pa de ni ma nges pa'i gtan tshigs ltar snag ba zhes bya ba yin te /	78.47612991492325
vAdinaH prativAdinaH vA sADayitum izwasya ekAntasya asADanAt	rgol ba dang phyir rgol bas bsgrub par 'dod pa nges pa mi 'grub pa'i phyir ro //	83.47538846434955
uBaya asidDaH tat yaTA Sabdasya anitya tve sADye cAkzuza tvam hetuH vAdi prativAdinoH asidDaH	dper na gnyis la ma grub pa ni sgra mi rtag pa nyid du grub par bya ba la / gtan tshigs mig gis bzung ba ni rgol ba dang / phyir rgol ba dag la ma grub pa lta bu'o // shing sems dang ldan par bsgrub par bya ba la shun spags thams cad bshus na 'chi ba'i phyir ro zhes bya ba'i @315b gtan tshigs ni /	77.62945646935341
