 (वैद्य २५८)	༄༣༡༤བ་། །རྒྱ་གར་སྐད་དུ་།
 अवलोकितेश्वरगुण-कारण्डव्यूहः । ॐ नमो रत्नत्रयाय ॥ श्रीआर्यावलोकितेश्वराय बोधिसत्त्वाय महासत्त्वाय महाकारुणिकाय ॥	ཨའརྱ་ཀ་རནད་བཡའུ་ཧ་ནའ་མ་མཧའ་ཡའ་ན་སའུ་ཏྲ་།
 स्तर्त् क्व्यु १,१:	བོད་སྐད་དུ་།
 १। जेतवनविहारवर्णनं प्रथमं प्रकरणम् ।	འཕགས་པ་ཟ་མ་ཏོག་བཀོད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་། བམ་པོ་དང་པོ་།
 एवं मया श्रुतम् ।	འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན་།
 एकस्मिन् समये भगवान् श्रावस्त्यां विहरति स्म जेतवने ऽनाथपिण्डदस्यारामे महता भिक्षुसंघेन सार्धमर्धत्रयोदशभिर्भिक्षुशतैः संबहुलैश्च बोधिसत्त्वशतसहस्रैः । तद्यथा - वज्रपाणिना च बोधिसत्त्वेन महासत्त्वेन । ज्ञानर्दशनेन च बोधिसत्त्वेन महासत्त्वेन । वज्रसेनेन च बोधिसत्त्वेन महासत्त्वेन । गुहगुप्तेन च बोधिसत्त्वेन महासत्त्वेन ।	བཅོམ་ལྡན་འདས་མཉན་དུ་ཡོད་པའི་ཛེ་ཏའི་ཚལ་མགོན་མེད་པ་ལ་ཟས་སྦྱིན་པའི་ཀུན་དགའ་ར་བ་ན་དགེ་སློང་བརྒྱ་ཕྲག་ཕྱེད་དང་བཅུ་གསུམ་གྱི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རབ་ཏུ་མང་པོ་རྣམས་དང་ཡང་ཐབས་གཅིག་པ་ལ་འདི་ལྟ་སྟེ་། 
 आकाशगर्भेण च बोधिसत्त्वेन महासत्त्वेन । सूर्यगर्भेण च बोधिसत्त्वेन महासत्त्वेन । अनिक्षिप्तघुरेण च बोधिसत्त्वेन महासत्त्वेन । रत्नपाणिना च बोधिसत्त्वेन महासत्त्वेन । समन्तभद्रेण च बोधिसत्त्वेन महासत्त्वेन । महास्थामप्राप्तेन च बोधिसत्त्वेन महासत्त्वेन । सर्वनीवरणविष्कम्भिना च बोधिसत्त्वेन महासत्त्वेन ।	བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྡོ་རྗེ་བློ་གྲོས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡེ་ཤེས་མཐོང་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྡོ་རྗེའི་སྡེ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གསང་སྦེད་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནམ་མཁའི་སྙིང་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཉི་མའི་སྙིང་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་༄༣༡༥ཨ་༌༎
 सर्वशूरेण च बोधिसत्त्वेन महासत्त्वेन । भैषज्यसेनेन च बोधिसत्त्वेन महासत्त्वेन । अवलोकितेश्वरेण च बोधिसत्त्वेन महासत्त्वेन । वज्रमतिना च बोधिसत्त्वेन महासत्त्वेन । सागरमतिना च बोधिसत्त्वेन महासत्त्वेन । धर्मधरेण च बोधिसत्त्वेन महासत्त्वेन । पृथिवीवरलोचनेन च बोधिसत्त्वेन महासत्त्वेन । आश्वासहस्तेन च बोधिसत्त्वेन महासत्त्वेन ।	དཔའ་ཆེན་པོ་བརྩོན་འགྲུས་མི་གཏོང་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལག་ན་རིན་པོ་ཆེ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཀུན་ཏུ་བཟང་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མཐུ་ཆེན་ཐོབ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཀུན་ཏུ་དཔའ་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྨན་གྱི་སྡེ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལག་ན་རྡོ་རྗེ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྒྱ་མཚོ་མཆིང་རྣམ་བློ་གྲོས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཆོས་འཛིན་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སའི་སྤྱན་མཆོག་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དབུགས་ཕྱིན་པའི་ལག་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་དང་། དེ་ལྟ་བུ་དག་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱེ་བ་རྣམས་ཀྱང་ཚོགས་སོ་༎ 
 मैत्रेयेण च बोधिसत्त्वेन महासत्त्वेन । एवंप्रमुखैरशीतिकोट्यो बोधिसत्त्वाः संनिषण्णाः । अन्ये च द्वात्रिंशद्देवनिकाया देवपुत्राः संनिपतिता महेश्वरनारायणदेवपुत्रपूर्वंगमाः ।	གཞན་ཡང་དབང་ཕྱུག་དང་། མཐུ་བོ་ཆེ་ལ་སོགས་པ་ལྷའི་སྡེ་སུམ་ཅུ་རྩ་གཉིས་ཀྱི་ལྷའི་སྲས་པོ་རྣམས་ཀྱང་ཚོགས་སོ་༎ གཞན་༄༣༡༥བ་ཡང་ལྷའི་སྡེ་སུམ་ཅུ་རྩ་གསུམ་གྱི་ལྷའི་བུ་རྣམས་ཚོགས་ཏེ་།
 शक्रो देवानामिन्द्रो ब्रह्मा च सहांपतिश्चन्द्रादित्यवायुवरुणादयो देवपुत्राः संनिपतितास्तस्मिन् पर्षदि ।	ལྷའི་བུ་དབང་ཕྱུག་ཆེན་པོ་དང་། ཉི་མ་དང་། ཟླ་བ་དང་། རླུང་གི་ལྷ་དང་། ཆུའི་ལྷ་ལ་སོགས་པ་ལྷའི་བུ་དེ་དག་ཚོགས་པ་དང་ལྷན་ཅིག་ཏུ་བརྒྱ་བྱིན་ལྷའི་དབང་པོ་དང་། ཚངས་པ་མི་མཇེད་ཀྱི་བདག་པོ་དག་ཀྱང་ཚོགས་སོ་༎
 अनेकानि च नागराजशतसहस्राणि संनिपतितानि । तद्यथाउ᳡उपलालश्च नागराजः । एलपत्रश्च नागराजः ।	འཁོར་དེ་ན་ཀླུའི་རྒྱལ་པོ་བརྒྱ་སྟོང་དུ་མ་ཚོགས་པ་རྣམས་འདི་ལྟ་སྟེ་།
