 (वैद्य १००) शालिस्तम्बसूत्रम् ।	༄༡༨༠ཨ་། །རྒྱ་གར་སྐད་དུ་། ཨའརྱ་ཤའ་ལི་སྟམབྷ་ནའ་མ་མཧའ་ཡའ་ན་སའུ་ཏྲ་། བོད་སྐད་དུ་། འཕགས་པ་སའ་ལུའི་ལྗང་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་། སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎
 एवं मया श्रुतम् ।	འདི་སྐད་བདག་གིས་ཐོས་པའི་དུས་གཅིག་ན་།
 एकस्मिन् समये भगवान् राजगृहे विहरति स्म गृध्रकूटे पर्वते महता भिक्षुसंघेन सार्धमर्धत्रयोदशभिर्भिक्षुसहस्रैः संबहुलैश्च बोधिसत्त्वमहासत्त्वैः । अथायुष्मान् शारिपुत्रो येन मैत्रेयस्य बोधिसत्त्वस्य महासत्त्वस्य चंक्रमः, तेनोपसमक्रमीत् ।	བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་བྱ་རྒོད་ཕུང་པོའི་རི་ལ་དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རབ་ཏུ་མང་པོ་དང་ཐབས་གཅིག་ཏུ་བཞུགས་ཏེ་།
 उपसंक्रम्य अन्योन्यं संमोदनीयां कथां बहुविधां व्यतिसारयित्वा उभौ शिलातले उपाविशताम् ॥ अथायुष्मान् शारिपुत्रो मैत्रेयं बोधिसत्त्वं महासत्त्वमेतदवोचत् - अद्यात्र शालिस्तम्बमवलोक्य	དེའི་ཚེ་ན་ཚེ་དང་ལྡན་པ་ཤའ་རིའི་བུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པའི་བགྲོད་པར་བྱ་བའི་ས་ཕྱོགས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་ཕན་ཚུན་ཡང་དག་པར་དགའ་བར་བྱ་བའི་གཏམ་རྣམ་པ་མང་པོ་བྱས་ནས་འདུས་ཏེ་༄༡༨༠བ་གཉིས་ཀ་རྡོ་ལེབ་ལ་འཁོད་དོ་༎ དེ་ནས་ཚེ་དང་ལྡན་པ་ཤའ་རིའི་བུས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ་༎ བྱམས་པ་།
 मैत्रेय भगवता भिक्षुभ्यः सूत्रमिदमुक्तम् - यो भिक्षवः प्रतीत्यसमुत्पादं पश्यति,	དེང་འདིར་བཅོམ་ལྡན་འདས་ཀྱིས་སའ་ལུའི་ལྗང་པ་ལ་གཟིགས་ནས་དགེ་སློང་རྣམས་ལ་མདོ་འདི་གསུངས་སོ་༎ 
 स धर्मं पश्यति ।	དགེ་སློང་དག་། སུས་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་མཐོང་བ་དེས་ཆོས་མཐོང་ངོ་༎
 यो धर्मं पश्यति, स बुद्धं पश्यति ।	སུས་ཆོས་མཐོང་བ་དེས་སངས་རྒྱས་མཐོང་ངོ་ཞེས་དེ་སྐད་བཀའ་སྩལ་ནས་།
 इत्युक्त्वा भगवांस्तूष्णीं बभूवं ।	བཅོམ་ལྡན་འདས་ཅང་མི་གསུང་བར་གྱུར་ན་།
 अथ मैत्रेय सुगतोक्तसूत्रान्तस्य अर्थः कतमः?	བྱམས་པ་། བདེ་བར་གཤེགས་པས་བཀའ་སྩལ་པའི་མདོ་དེའི་དོན་ནི་ཅི་།
 प्रतीत्यसमुत्पादः कतमः?	རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་ནི་གང་།
 धर्म कतमः?	ཆོས་ནི་གང་།
 बुद्धः कतमः?	སངས་རྒྱས་ནི་གང་།
 कथं प्रतीत्यसमुत्पादं पश्यन् धर्मं पश्यति?	ཇི་ལྟར་རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་མཐོང་ན་ཆོས་མཐོང་།
 कथं धर्मं पश्यन् बुद्धं पश्यति?	ཇི་ལྟར་ཆོས་མཐོང་ན་སངས་རྒྱས་མཐོང་།
 एवमुक्ते मैत्रेयो बोधिसत्त्वो महासत्त्वः आयुष्मन्तं शारद्वतीपुत्रमेतदवोचत् -	དེ་སྐད་ཅེས་སྨྲས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པས་ཚེ་དང་ལྡན་པ་ཤའ་རདབ༹་ཏིའི་བུ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ་༎ བཙུན་པ་ཤའ་རིའི་བུ་། འདི་ལ་བཅོམ་ལྡན་འདས་ཆོས་ཀྱི་བདགས་པོ་ཐམས་ཅད་མཁྱེན་པས་།
 अत्र यदुक्तं भदन्त शारिपुत्र भगवता धर्मस्वामिना सर्वज्ञेन - यो भिक्षवः	དགེ་སློང་དག་།
 प्रतीत्यसमुत्पादं पश्यति, स धर्मं पश्यति ।	སུས་རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་མཐོང་བ་དེས་ཆོས་མཐོང་ངོ་༎
 यो धर्मं पश्यति, स बुद्धं पश्यति इति, तत्र कतमः प्रतीत्यसमुत्पादो नाम?	སུས་ཆོས་མཐོང་བ་དེས་སངས་རྒྱས་མཐོང་ངོ་ཞེས་གསུངས་པ་དེ་ལ་རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་གང་ཞེ་ན་། 
 प्रतीत्यसमुत्पादो नाम यदिदम् - अस्मिन् सति इदं भवति,	རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་ཞེས་བྱ་བ་ནི་། འདི་ལྟ་སྟེ་།
 अस्योत्पादादिदमुत्पद्यते ।	འདི་ཡོད་པས་འདི་འབྱུང་༄༡༨༡ཨ་༌༎ ལ༏་འདི་སྐྱེས་པའི་ཕྱིར་འདི་སྐྱེ་བ་སྟེ་།
 यदुत अविद्याप्रत्ययाः संस्काराः ।	གང་འདི་མ་རིག་པའི་རྐྱེན་གྱིས་འདུ་བྱེད་རྣམས་།
 संस्कारप्रत्ययं विज्ञानम् ।	འདུ་བྱེད་ཀྱི་རྐྱེན་གྱིས་རྣམ་པར་ཤེས་པ་།
 विज्ञानप्रत्ययं नामरूपम् ।	རྣམ་པར་ཤེས་པའི་རྐྱེན་གྱིས་མིང་དང་གཟུགས་།
 नामरूपप्रत्ययं षडायतनम् ।	མིང་དང་། གཟུགས་ཀྱི་རྐྱེན་གྱིས་སྐྱེ་མཆེད་དྲུག་།
 षडायतनप्रत्ययः स्पर्शः ।	སྐྱེ་མཆེད་དྲུག་གི་རྐྱེན་གྱིས་རེག་པ་།
 स्पर्शप्रत्यया वेदना ।	རེག་པའི་རྐྱེན་གྱིས་ཚོར་བ་།
 वेदनाप्रत्यया तृष्णा ।	ཚོར་བའི་རྐྱེན་གྱིས་སྲེད་པ་།
 तृष्णाप्रत्ययमुपादानम् ।	སྲེད་པའི་རྐྱེན་གྱིས་ལེན་པ་།
 उपादानप्रत्ययो भवः ।	ལེན་པའི་རྐྱེན་གྱིས་སྲིད་པ་།
 भवप्रत्यया जाति ।	སྲིད་པའི་རྐྱེན་གྱིས་སྐྱེ་བ་།
 जातिप्रत्यया जरामरणशोकपरिदेवदुःखदौर्मनस्योपायासाः संभवन्ति ।	སྐྱེ་བའི་རྐྱེན་གྱིས་རྒ་ཤི་དང་། མྱ་ངན་དང་། སྨྲེ་སྔགས་འདོན་པ་དང་། སྡུག་བསྔལ་བ་དང་། ཡིད་མི་བདེ་བ་དང་། འཁྲུག་པ་རྣམས་འབྱུང་སྟེ་།
 एवमस्य केवलस्य महतो दुःखस्कन्धस्य समुदयो भवति ।	དེ་ལྟར་སྡུག་བསྔལ་གྱི་ཕུང་པོ་ཆེན་པོ་འབའ་ཞིག་པོ་འདི་འབྱུང་བར་འགྱུར་རོ་༎
 तत्र अविद्यानिरोधात् संस्कारनिरोधः ।	དེ་ལ་མ་རིག་པ་འགགས་པས་འདུ་བྱེད་འགག་།
 संस्कारनिरोधाद्विज्ञाननिरोधः ।	འདུ་བྱེད་འགགས་པས་རྣམ་པར་ཤེས་བ་འགག་།
 विज्ञाननिरोधान्नामरूपनिरोधः ।	རྣམ་པར་ཤེས་པ་འགགས་པས་མིང་དང་། གཟུགས་འགག་།
 नामरूपनिरोधात् षडायतननिरोधः ।	མིང་དང་། གཟུགས་འགགས་པས་སྐྱེ་མཆེད་དྲུག་འགག་།
 षडायतननिरोधात् स्पर्शनिरोधः ।	སྐྱེ་མཆེད་དྲུག་འགགས་པས་རེག་པ་འགག་།
 स्पर्शनिरोधात् वेदनानिरोधः ।	རེག་པ་འགགས་པས་ཚོར་བ་འགག་།
 वेदनानिरोधात् तृष्णानिरोधः ।	ཚོར་བ་འགགས་པས་སྲེད་པ་འགག་།
 तृष्णानिरोधादुपादाननिरोधः ।	སྲེད་པ་འགགས་པས་ལེན་པ་འགག་།
 उपादाननिरोधाद्भवनिरोधः ।	ལེན་པ་འགགས་པས་སྲིད་པ་འགག་།
 भवनिरोधाज्जातिनिरोधः ।	སྲིད་པ་འགགས་པས་སྐྱེ་བ་འགག་།
 जातिनिरोधाज्जरामरणशोकपरिदेवदुःखदौर्मनस्योपायासा निरुध्यन्ते ।	སྐྱེ་བ་འགགས་པས་རྒ་ཤི་དང་། མྱ་ངན་དང་། སྨྲེ་སྔགས་འདོན་པ་དང་། སྡུག་བསྔལ་བ་དང་། ཡིད་མི་བདེ་བ་དང་། འཁྲུག་པ་རྣམས་འགག་པར་འགྱུར་ཏེ་།
 एवमस्य केवलस्य महतो दुःखस्कन्धस्य निरोधो भवति ।	དེ་ལྟར་༄༡༨༡བ་སྡུག་བསྔལ་གྱི་ཕུང་པོ་ཆེན་པོ་འབའ་ཞིག་པོ་འདི་འགག་པར་འགྱུར་རོ་༎
 अयमुच्यते प्रतीत्यसमुत्पादो भगवता ॥	འདི་ནི་བཅོམ་ལྡན་འདས་ཀྱིས་རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་ཞེས་གསུངས་སོ་༎
 कतमो धर्मः?	ཆོས་གང་ཞེ་ན་།
 आर्याष्टाङ्गिको मार्गः ।	འཕགས་པའི་ལམ་ཡན་ལག་བརྒྱད་པ་སྟེ་།
 तद्यथा - सम्यग्दृष्टिः सम्यक्संकल्पः सम्यग्वाक् सम्यक्कर्मान्तः सम्यगाजीवः सम्यग्व्यायामः सम्यक्स्मृतिः सम्यक्समाधिः ।	འདི་ལྟ་སྟེ་། ཡང་དག་པའི་ལྟ་བ་དང་། ཡང་དག་པའི་རྟོག་པ་དང་། ཡང་དག་པའི་ངག་དང་། ཡང་དག་པའི་ལས་ཀྱི་མཐའ་དང་། ཡང་དག་པའི་འཚོ་བ་དང་། ཡང་དག་པའི་རྩོལ་བ་དང་། ཡང་དག་པའི་དྲན་པ་དང་། ཡང་དག་པའི་ཏིང་ངེ་འཛིན་ཏོ་༎
 अयमुक्तो भगवता आर्याष्टाङ्गिको मार्गः फललाभनिर्वाणैकसंगृहीतो धर्मः ॥	འདི་ནི་འཕགས་པའི་ལམ་ཡན་ལག་བརྒྱད་པ་ཞེས་བྱ་སྟེ་། འབྲས་བུ་ཐོབ་པ་དང་། མྱ་ངན་ལས་འདས་པ་གཅིག་ཏུ་བསྡུས་ཏེ་། བཅོམ་ལྡན་འདས་ཀྱིས་ཆོས་སོ་ཞེས་བཀའ་སྩལ་ཏོ་༎
 तत्र कतमो बुद्धो भगवान्?	དེ་ལ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་གང་ཞེ་ན་།
 यः सर्वधर्मावबोधाद्बुद्ध उच्यते,	སུས་ཆོས་ཐམས་ཅད་ཐུགས་སུ་ཆུད་པའི་ཕྱིར་སངས་རྒྱས་ཞེས་བྱ་སྟེ་།
 स आर्यप्रज्ञानेत्रः धर्मकायसमन्वितः शैक्षाशैक्षधर्मानिमान् पश्यति ॥	དེས་འཕགས་པའི་ཤེས་རབ་ཀྱི་སྤྱན་དང་། ཆོས་ཀྱི་སྐུ་དང་ལྡན་པ་དང་། སློབ་པ་དང་། མི་སློབ་པའི་ཆོས་དེ་དག་གཟིགས་པའོ་༎
 तत्र कथं प्रतीत्यसमुत्पादं पश्यति?	དེ་ལ་རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་མཐོང་བ་ཇི་ལྟ་བུ་ཞེ་ན་།
