 नमो बुद्धाय ॥	༄༤༨༣ཨ་རྒྱ་གར་སྐད་དུ་། ཨའརྱ་སརྦ་བུདདྷ་བི་ཤ་ཡ་ཨཨ་བ་ཏའ་ར་ཛཉའ་ན་ཨའ་ལོ་ཀ་ཨཨ་ལམ་ཀ་ར་ནའ་མ་མ་ཧའ་ཡའ་ན་སའུ་ཏྲ་། བོད་སྐད་དུ་། འཕགས་པ་སངས་རྒྱས་ཐམས་ཅད་ཀྱི་ཡུལ་ལ་འཇུག་པའི་ཡེ་ཤེས་སྣང་བའི་རྒྱན་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་། བམ་པོ་དང་པོ་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎
 एवं मया श्रुतम् एकस्मिन् समये भगवान् राजगृहे विहरति स्म ।	འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན་།
 गृध्रकूटे पर्वते ऽनन्तरत्नशिखरे धर्मधातुगर्भे प्रासादे महता भिक्षुसंघेन सार्धं पञ्चविंशतिभिर् भिक्षुसहस्रैः ।	བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་བྱ་རྒོད་ཕུང་པོའི་རིའི་རྩེ་མོ་བཞིའི་ཤིང་དྲུང་ཆོས་ཀྱི་དབྱིངས་ཀྱི་སྙིང་པོའི་ཁང་བཟང་ན་འདི་ལྟ་སྟེ་། ཉན་ཐོས་ཆེན་པོ་བརྒྱད་དང་། ཀུན་ཤེས་ཀོཨོནདི་ནྱ་ལ་སོགས་པ་དགེ་སློང་ཉི་ཁྲི་ལྔ་སྟོང་གི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་༄༤༨༣བ་ཐམས་ཅད་ཀྱང་དགྲ་བཅོམ་པ་ཟག་པ་ཟད་པ་། ཉོན་མོངས་པ་མེད་པ་། དབང་དང་ལྡན་པར་གྱུར་པ་།
 सर्वैर् अर्हद्भिः क्षीणास्रवैर् निःक्लेशैर् वशीभूतैः सुविमुक्तचित्तैः सुविमुक्तप्रज्ञैर्	སེམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ་། ཤེས་རབ་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ་། ཅང་ཤེས་པ་། གླང་པོ་ཆེན་པོ་། བྱ་བ་བྱས་པ་།
 आजानेयैर् महानागैः कृतकृत्यैः कृतकरणीयैर् अपहृतभारैर् अनुप्राप्तस्वकार्थैः	བྱེད་པ་བྱས་པ་། ཁུར་བོར་བ་། བདག་གི་དོན་རྗེས་སུ་ཐོབ་པ་།
 परिक्षीणभवसंयोजनैः सम्यगाज्ञासुविमुक्तचित्तैः सर्वचेतोवशिपरमपारमिप्राप्तैः । आज्ञातकौण्डिन्यप्रमुखैश् चाष्टषष्टिभिर् महाश्रावकैः, द्वासप्ततिभिर् बोधिसत्त्वकोटीनियुतशतसहस्रैः ।	སྲིད་པ་ཀུན་ཏུ་སྦྱོར་བ་ཡོངས་སུ་ཟད་པ༏་ཡང་དག་པའི་ཤེས་པས་སེམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ་། སེམས་ཅན་ཐམས་ཅད་ཀྱི་དབང་དམ་པའི་ཕ་རོལ་ཏུ་སོན་པ་ཤ་སྟག་དང་འདི་གྲོལ་བ་། ལྟ་སྟེ་། 
 तद्यथा मञ्जुश्रिया कुमारभूतेन,	བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་གྲོལ་བ་། ལྟ་སྟེ་། དང་། 
 धनश्रिया च बुद्धिश्रिया च भैषज्यराजेन च भैषज्यसमुद्गतेन च बोधिसत्त्वेन महासत्त्वेन । सर्वैर् अवैवर्तिकधर्मचक्रप्रवर्तकैः, सर्वै रत्नकूटवैपुल्यसूत्रपरिपृच्छाकुशलैः,	ནོར་དཔལ་དང་། སངས་རྒྱས་དཔལ་དང་། སྨན་གྱི་རྒྱལ་པོ་དང་། སྨན་ཡང་དག་འཕགས་ལ་སོགས་པ་འཇིག་རྟེན་གྱི་ཁམས་གཞན་དང་གཞན་དག་གི་དེ་བཞིན་གཤེགས་པ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དག་གིས་ཀུན་ནས་བཀྱེ་བའི་བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཁྲག་ཁྲིག་ཕྲག་བདུན་ཅུ་རྩ་གཉིས་ཐམས་ཅད་ཀྱང་ཕྱིར་མི་ལྡོག་པའི་ཆོས་ཀྱི་འཁོར་ལོ་རབ་ཏུ་བསྐོར་བ་། ཐམས་ཅད་ཀྱང་ཤིན་ཏུ་རྒྱས་པའི་སྡེ་དཀོན་མཆོག་བརྩེགས་པའི་མདོ་ཡོངས་སུ་ཞུ་བ་ལ་མཁས་། པ་། 
 धर्ममेघभूमिप्रतिलब्धैः,	ཐམས་ཅད་ཀྱང་ས་བཅུ་པ་ཆོས་ཀྱི་སྤྲིན་ཐོབ་པ་།
 सुमेरुभूतैः प्रज्ञया,	ཐམས་ཅད་ཀྱང་ཤེས་རབ་ཀྱིས་རི་རབ་ལྟར་གྱུར་པ་།
 सर्वैः शून्यतानिमित्ताप्रणिहितानुत्पादाजाताभावधर्मपरिभावितैः,	ཐམས་ཅད་ཀྱང་སྟོང་པ་ཉིད་༄༤༨༤ཨ་༌༎ དང་། མཚན་མ་མེད་པ་དང་། སྨོན་པ་མེད་པ་དང་། སྐྱེ་བ་མེད་པ་དང་། འབྱུང་བ་མེད་པ་དང་། དངོས་པོ་མེད་པའི་སེམས་སུ་བསྒོམས་པའི་སེམས་དང་ལྡན་པ་།
 महागंभीरधर्मनिर्भासैः, (जाअ २०)	ཐམས་ཅད་ཀྱང་ཆོས་ཟབ་མོའི་སྣང་བ་ཆེན་པོ་ཐོབ་པ་།
 तथागतेर्यापथैः, अन्योन्यलोकधातुषु तथागतकोटीनियुतशतसहस्रसंप्रेषितैः,	ཐམས་ཅད་ཀྱང་དེ་བཞིན་གཤེགས་པའི་སྤྱོད་ལམ་དང་ལྡན་པ་།
 सर्वैर् अभिज्ञापरिकर्मनिर्जातैः सर्वधर्मस्वभावप्रकृतिप्रतिष्ठितैः ॥ §२ म्स्। २अ१-७, प्। ३०२ब्१-३०२ब्८, द्। २७६ब्१-२७६ब्७,	ཐམས་ཅད་ཀྱང་མངོན་པར་ཤེས་པ་ཡོངས་སུ་སྦྱངས་པས་ངེས་པར་འབྱུང་བ་ཐམས་ཅད་ཀྱི་ངོ་བོ་ཉིད་ཀྱི་རང་བཞིན་ལ་གནས་པ་ཤ་སྟག་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ་༎
 त्। ३५७ २३९ब्१-२३९ब्१५, त्। ३५८ २५०ब्४-२५०ब्१३, त्। ३५९(द्) २५४अ१५-२५४अ२६। तेन खलु पुनः समयेन भगवत एतद् अभूत् । यन् न्व् अहं बोधिसत्त्वानां महासत्त्वानां महाजवबलवेगस्थामसंजननार्थं धार्मीं कथां कथयेयम्,	དེའི་ཚེ་ན་བཅོམ་ལྡན་འདས་འདི་སྙམ་དུ་བདག་གིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱི་མྱུར་བ་དང་། སྟོབས་དང་། ཤུགས་ཆེན་པོ་ཡང་དག་པར་བསྐྱེད་པར་བྱ་བའི་ཕྱིར་ཆོས་ཀྱི་གཏམ་བརྗོད་པར་བྱ་ཞིང་།
