 ॥ सिद्धं नमो भगवत्यै आर्यध्वजाग्रकेयूरायै ॥	༄༤༣༦བ་རྒྱ་གར་སྐད་དུ་། ཨའརྱ་དྷབ༹་ཛ་ཨཨ་གྲ་ཀེ་ཡའུ་ར་ནའ་མ་དྷའ་ར་ནི་། བོད་སྐད་དུ༏་འཕགས་པ་རྒྱལ་མཚན་གྱི་རྩེ་མོའི་དཔུང་རྒྱན་ཞེས་བྱ་བའི་གཟུངས་། སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎
 एवं मया श्रुतम् एकस्मिन् समये भगवान् देवेषु त्रयस्त्रिंशेषु विहरति स्म पाण्डुकम्बलशिलायाम्* ।	འདི་སྐད་བདག་༄༤༣༧ཨ་༌༎ གིས་ཐོས་པ་དུས་གཅིག་ན་། བཅོམ་ལྡན་འདས་སུམ་ཅུ་རྩ་གསུམ་པའི་ལྷའི་ནང་ན་ལབ༹་བ་དཀར་པོ་ལྟ་བུའི་རྡོ་ལེབ་ལ་བཞུགས་ཏེ་། 
 अथ खलु शक्रो देवानाम् इन्द्रो ऽसुरैर् जितः पराजितः सत्वरं त्वरमाणरूपो येन भगवांस् तेनोपसंक्रान्तः ।	དེ་ནས་ལྷའི་དབང་པོ་བརྒྱ་བྱིན་ལྷ་མ་ཡིན་ལས་ཕམ་།
 उपसंक्रम्य भगवतः पादौ शिरसाभिवन्द्य भगवन्तम् एतद् अवोचत्* ।	རབ་ཏུ་ཕམ་ནས་དེ་རྟབ་ཅིང་རིངས་པའི་གཟུགས་ཀྱིས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎ བཅོམ་ལྡན་འདས་།
 इहाहं भगवन् वेमचित्रिणासुरेन्द्रेण जितः पराजितो देवास् त्रयस्त्रिंशाश् च जिताः पराजिताः ।	བདག་འདི་ལྟར་ལྷ་མ་ཡིན་དང་ག-ཡུལ་བཀྱེ་བ་ལས༏་ལྷ་མ་ཡིན་གྱི་དབང་པོ་ཐགས་བཟང་རིས་ལས་ཕམ་། རབ་ཏུ་ཕམ་སྟེ་། སུམ་ཅུ་རྩ་གསུམ་པའི་ལྷ་རྣམས་ཀྱང་ཕམ་རབ་ཏུ་ཕམ་ན་།
 तत्रास्माभिर् भगवन् कथं प्रतिपत्तव्यम्* ।	བཅོམ་ལྡན་འདས་། བདག་ཅག་གིས་དེ་ལ་ཇི་ལྟར་བསྒྲུབ་པར་བགྱི་།
 भगवान् आह ।	བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། ལྷའི་དབང་པོ་།
 उद्गृह्ण त्वं देवेन्द्र ध्वजाग्रकेयूरानामधारिणीम् अपराजितां या मया पूर्वं बोधिसत्वभूतेनापराजितध्वजस्य तथागतस्यान्तिकाद् उद्गृहीता ।	ཁྱོད་ཀྱིས་རྒྱལ་མཚན་གྱི་རྩེ་མོའི་དཔུང་རྒྱན་ཞེས་བྱ་བ་གཞན་གྱིས་མི་ཐུབ་པའི་གཟུངས་ཟུངས་ཤིག་། ངས་ཀྱང་སྔོན་བྱང་ཆུབ་སེམས་དཔར་གྱུར་པ་ན་དེ་བཞིན་གཤེགས་པ་གཞན་གྱིས་མི་ཐུབ་པའི་རྒྱལ་མཚན་ལས་འདི་མནོས་སོ་༎
 उद्गृह्य परेभ्यो विस्तरेण संप्रकाशिता ।	མནོས་ནས་ཀྱང་གཞན་ལ་རྒྱ་ཆེར་ཡང་དག་པར་བཤད་དོ་༎ མངོན་པར་དྲན་ཏེ་། དེ་ཚུན་ཆད་འཇིགས་པའམ་།
 नाभिजानामि ततो ऽर्वाग् भयं वा स्तम्भितत्वं वा रोमहर्षनिमित्तं वान्तशः क्षणिकाम् अपि कायपीडाम्* ।	བག་ཚ་བའམ་། སྤུ་ཟིང་ཞེས་༄༤༣༧བ་བྱེད་པའམ་། ཐ་ན་སྐད་ཅིག་ཡུད་ཙམ་ཡང་ལུས་ལ་གནོད་པ་བྱུང་མ་མྱོང་ངོ་༎
 तत् कतमा सा भगवन् ध्वजाग्रकेयूरा नाम धारिणी अपराजिता ।	བཅོམ་ལྡན་འདས་། རྒྱལ་མཚན་གྱི་རྩེ་མོའི་དཔུང་རྒྱན་ཞེས་བགྱི་བ་གཞན་གྱིས་མི་ཐུབ་པའི་གཟུངས་དེ་གང་ལགས་། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། ཏདྱ་ཐའ་།
 तद्यथा ॐ जय २ विजय २ जयवाहिनि शङ्करि भयङ्करि प्रभञ्जनि रक्ष रक्ष आवधूतश्रीआलखवज्रं सपरिवारं सर्वसत्वांश् च । प्रत्यर्थिको वा प्रत्यमित्रो वाभिद्रवति । ॐ जम्भय २ स्तम्भय २ मोहय २ भगवति जयवाहिनि मथ मथ प्रमथ प्रमथ	ཨཨོམ་ཛ་ཡ་ཛ་ཡ་། བི་ཛ་ཡ་བི་ཛ་ཡ་། ཛ་ཡ་བ་ཧི་ནི་། ཤངཀ་རི་ཤངཀ་རི་། པྲ་བྷངཀ་རེ་། བདག་དང་སེམས་ཅན་ཐམས་ཅད་ཀྱི་སརྦ་ཤ་ཏརའུམ། ཛམབྷ་ཡ་ཛམབྷ་ཡ་། སྟམབྷ་ཡ་སྟམབྷ་ཡ་། མོ་ཧ་ཡ་མོ་ཧ་ཡ་། བྷ་ག་བ་ཏི་། ཛ་ཡ་བའ་ཧི་ནི་། མ་ཐ་མ་ཐ་། པྲ་མ་ཐ་པྲ་མ་ཐ་། གྲ་ས་གྲ་ས་།
