 मृत्युवञ्चनोपदेशतारासाधन	༄༡༥༤ཨ་༅་༎ རྒྱ་གར་སྐད་དུ་། མྲི་ཏྱུ་བཉཙ་ནོ་པ་དེ་ཤ་ཏའ་རའ་སའ་དྷ་ནམ་། བོད་སྐད་དུ་། འཆི་བ་སླུ་བའི་མན་ངག་གི་སྒྲོལ་མའི་སྒྲུབ་ཐབས་༎ འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ་༎
 उत्थाय पूर्वसंध्यायां भूप्रदेशे मनोहरे ।	ཡིད་དུ་འོང་བའི་ས་ཕྱོགས་སུ་༎ ལངས་ནས་སྔ་དྲོའི་ཐུན་ལའོ་༎
 मृद्वासनोपविष्टः सन् स्वहृदि चन्द्रमण्डले ॥ म्वुप्त्स्_१ ॥	བདེ་བའི་སྟན་ལ་རབ་འདུག་སྟེ་༎ རང་གི་སྙིང་གར་ཟླ་བ་ལ་༎
 पञ्चमस्य प्रथमं तु द्वितीयस्वरयोजितम् ।	ལྔ་པ་ཡི་ནི་དང་པོ་ལ་༎ དབྱངས་ཡིག་གཉིས་པ་རབ་ཏུ་སྦྱར་༎ ཟླ་ཕྱེད་ཐིག་ལེ་ཡང་དག་ལྡན་༎
 अर्धेन्दुबिन्दुसंयुक्तं सितरश्मिविभूषितम् ॥ म्वुप्त्स्_२ ॥	འོད་ཟེར་དཀར་པོས་རྣམ་པར་བརྒྱན་༎
 तस्य शुक्लमयूखैस् तु ताराम् आकृष्य व्योमनि ।	དེ་ཡི་འོད་ཟེར་དཀར་པོ་ཡིས་༎ མཁའ་ལ་སྒྲོལ་མ་གདན་དྲངས་ཏེ་༎
 द्विभुजां सितदेहां तु वरदोत्पलधारिणीम् ॥ म्वुप्त्स्_३ ॥	ཕྱག་གཉིས་སྐུ་མདོག་དཀར་མོ་ལ་༎ མཆོག་སྦྱིན་དང་ནི་ཨཽཏཔལ་བསྣམས་༎
 पञ्चोपचारपूजाभिः पूजयित्वा तु भक्तितः ।	ཉེར་སྤྱོད་ལྔ་ཡི་མཆོད་པ་ཡི་༎ གུས་པ་ཡིས་ནི་མཆོད་བྱས་ནས་༎
 पापानां देशनां पश्चात् ततः पुण्यानुमोदनम् ॥ म्वुप्त्स्_४ ॥	སྡིག་པ་བཤགས་ཤིང་ཕྱི་ནས་ནི་༎ དེ་ནས་བསོད་ནམས་རྗེས་ཡི་རང་༎
 तत्परिणामनां चैव त्रिशरणगमनं तथा ।	དེ་ནི་ཡོངས་སུ་བསྔོ་བ་དང་༎ དེ་བཞིན་གསུམ་ལ་སྐྱབས་སུ་འགྲོ་༎
 ॐ शून्यताज्ञानवज्रस्वभावात्मको ऽहम् इति पठेत् ॥ म्वुप्त्स्_५ ॥ इति स्वपरशून्यं वै ध्यात्वा योगी विधानवित् ।	ཨཨོམ་ཤའུ་ནྱ་ཏའ་ཛཉའ་ན་བཛྲ་སབ༹་བྷའ་བ་ཨའཏམ་ཀོ&ཨམཔ༏་ཧམ་། ཞེས་པའི་སྔགས་ཀྱིས་སྟོང་པར་བསྒོམ་༎ རྣལ་འབྱོར་པ་ཡི་ཆོ་ག་ཡིས་༎ ཆུ་སྐྱེས་དཀར་པོའི་དབུས་གནས་པའི་༎
 सितारविन्दमध्यस्थचन्द्रबिम्बासनोपरि ॥ म्वुप्त्स्_६ ॥	ཟླ་བའི་དཀྱིལ་འཁོར་སྟེང་དུ་ནི་༎ སྔོན་གསུངས་ས་བོན་ལས་སྐྱེས་པའི་༎
 पूर्वोक्तबीजनिष्पन्नां तारादेवीं मनोरमाम् ।	ལྷ་མོ་སྒྲོལ་མ་ཡིད་འོང་མ་༎
 आबद्धवज्रपर्यङ्कां वरदोत्पलधारिणीम् ॥ म्वुप्त्स्_७ ॥	རྡོ་རྗེ་སྐྱིལ་མོ་ཀྲུང་བཅས་ནས་༎ མཆོག་སྦྱིན་མ་ནི་ཨཽཏཔལ་བསྣམས་༎ སྟོན་ཀའི་ཟླ་བ་ལྟ་བུ་ནི་༎
 शरच्चन्द्रकराकारां पृष्ठचन्द्रसमाश्रिताम् ।	ཟླ་བའི་སྟེང་དུ་ཡང་དག་བཞུགས་༎
 सर्वालङ्कारसम्पूर्णां षोडशाब्दवपुष्मतीम् ॥ म्वुप्त्स्_८ ॥	རྒྱན་རྣམས་ཐམས་༄༡༥༤བ་ཅད་ཡོངས་སུ་རྫོགས་༎ བཅུ་དྲུག་ལོ་ཡི་གཟུགས་ཅན་མ་༎ སངས་རྒྱས་ཐམས་ཅད་དེ་ཡི་སྲས་༎
 सर्वसंबुद्धतत्पुत्रमातरं कामरूपधाम् ।	ཡུམ་གྱུར་འདོད་པའི་གཟུགས་འཛིན་མ་༎
 ध्यात्वार्यतारां हृदये तस्याश् चक्रं सितद्युति ॥ म्वुप्त्स्_९ ॥	འཕགས་མ་སྒྲོལ་མ་སྙིང་གར་བསྒོམ་༎ དེ་ཡི་འཁོར་ལོ་འོད་དཀར་ལྡན་༎
 अष्टकोष्ठकम् अष्टाभिर् अक्षरैः परिपूरितम् ।	རེའུ་མིག་བརྒྱད་པོ་རྣམས་ལ་ནི་༎ ཡི་གེ་བརྒྱད་ཀྱིས་ཡོངས་སུ་བསྐོར་༎ ཨཨོམ་ཧའ་གསལ་བྱེད་དབུས་གནས་པ་༎
 ओंहाव्यञ्जनमध्यस्थसाध्यनामाद्यनाभिकम् ॥ म्वुप्त्स्_१० ॥	བསྒྲུབ་བྱའི་མིང་སོགས་ལྟེ་བ་ལ་༎ མཁས་པས་རྩེ་གཅིག་ཡིད་ཀྱིས་ནི་༎
 ध्यायाद् एकाग्रचित्तः सन् षण् मासान् दृढनिश्चयः ।	ངེས་པ་བརྟན་པས་ཟླ་དྲུག་བསྒོམ་༎ ཡི་གེ་བཅུ་ཡི་གསང་སྔགས་འདི་༎
 जपेद् अखिन्नचित्तः सन् मन्त्रम् एनं दशाक्षरम् ॥ म्वुप्त्स्_११ ॥	མཁས་བས་མི་སྐྱོའི་ཡིད་ཀྱིས་བཟླས་༎
 ओङ्कारम् आदितो दत्त्वा पश्चात् तारे प्रयोजयेत् ।	ཨཨོམ་ཡིག་དང་པོ་སྦྱིན་པར་བྱ་༎ ཕྱི་ནས་ཏའ་རེ་རབ་ཏུ་སྦྱར་༎
 तुत्तारे स्यात् तुरे पश्चात् स्वाहान्तं सार्वकर्मिकः ॥ म्वुप्त्स्_१२ ॥	ཏུཏཏའ་རེ་ཡི་ཏུ་རེ་ཕྱིས་༎ སབ༹འ་ཧའའི་མཐའ་ཅན་ལས་ཀུན་བྱེད་༎
 ब्रह्मेन्द्रविष्णुचन्द्रार्करुद्रदिक्पालमन्मथैः ।	ཚངས་དབང་ཁྱབ་འཇུག་ཉི་ཟླ་དང་༎ དྲག་པོ་ཕྱོགས་སྐྱོང་འདོད་ལྷས་ཀྱང་༎ བ་སྤུའི་རྩེ་མོའང་གཅོད་མི་ནུས་༎
 अप्य् अखण्डितरोमाग्रो मृत्युं जयति मुक्तवत् ॥ म्वुप्त्स्_१३ ॥ वलीपलितदौर्भाग्यव्याधिदारिद्र्यसंक्षयः ।	འཆི་བདག་ལས་རྒྱལ་གྲོལ་བ་བཞིན་༎ སྐྲ་དཀར་གཉེར་མ་སྐལ་ལྡན་དང་༎ ནང་དང་དབུལ་སོགས་མདོར་བསྡུས་ན་༎
 सिंहाद्यष्टमहाभीतिदुःखसंदोहनाशनम् ॥ म्वुप्त्स्_१४ ॥	སེང་གེ་ལ་སོགས་འཇིགས་ཆེན་བརྒྱད་༎ སྡུག་བསྔལ་ཚོགས་རྣམས་རབ་ཏུ་འཇོམས་༎
 अयाचितान्नपानादिहर्म्यवस्त्रादिसंगमः ।	བསྐུལ་པ་མེད་པར་ཟས་ལ་སོགས་༎ ཁང་བཟངས་གོས་ལ་སོགས་པ་ཐོབ་༎
 खड्गाञ्जनपादलेपभद्रकुम्भादिसिद्धयः ॥ म्वुप्त्स्_१५ ॥	རལ་གྲི་མིག་སྨན་རྐང་མགྱོགས་དང་༎ བུམ་པ་བཟང་པོ་ལ་སོགས་འགྲུབ་༏་། སྙན་ངག་དང་ནི་སྨྲ་བ་མཁས་༎
 कविता वक्तृता मेधा प्रज्ञा चैकान्तनिर्मला ।	བློ་རྣོ་ཤེས་རབ་དྲི་མ་མེད་༎ གཞན་ཡང་འདོད་པའི་དངོས་གྲུབ་རྣམས་༎
 अन्या च वाञ्छिता सिद्धिश् चक्राद् अस्मात् प्रजायते ॥ म्वुप्त्स्_१६ ॥	འཁོར་ལོ་འདི་ལས་རབ་ཏུ་འབྱུང་༎ ཞེས་པ་ནི་།
