 आर्यप्रज्ञापारमिताया वज्रच्छेदिकाया विस्तृतटीकया सहितम् नमो मञ्चुश्रिये कुमारभूताय	༄༢༠༤ཨ་༌་༎ རྒྱ་གར་སྐད་དུ་། ཨའརྱ་པྲཛཉའ་པའ་ར་མི་ཏ་བཛྲ་ཙཚི་དི་ཀ་ཏའི་ཀའ་། བོད་སྐད་དུ་། འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པའི་རྒྱ་ཆེར་འགྲེལ་པ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 मङ्गलाचरणम् कायः प्रसिद्धः परिदृश्यमानो जनेषु सर्वेषु स्फुटं तथापि । स्वभावतो वस्तुतया न प्राप्तो निदर्शितः सो ऽपि च प्राप्तिहेतुः ॥	གང་ལ་སྐྱེ་བོ་ཀུན་ལ་གྲགས་ལུས་མདུན་ན་གསལ་བར་སྣང་བ་ཡང་༎ དངོས་པོའི་ངོ་བོར་འབྱོར་བ་མི་རྙེད་རབ་སྟོན་རྒྱལ་བ་ཐམས་ཅད་ཀྱིས་༎
 फलस्य श्रेष्ठस्य च नित्यभूतपरमस्य चाग्र्यस्य जिनैः समस्तैः ।	ཡང་དག་དམ་པ་རྟག་པ་མཆོག་གི་འབྲས་བུ་ཐོབ་པའི་གནས་བརྟན་པ་༎
 अतश्य त्रैयध्विकसर्वबुद्धप्रसूं नमस्याम्यनिशं हृदा ताम् ॥ १ ॥	དུས་གསུམ་བཞུགས་པའི་སངས་རྒྱས་ཀུན་སྐྱེད་དེ་ལ་རབ་གུས་བདག་ཕྱག་འཚལ་༎
 अल्पीयसाभ्यासबलेन यस्याः, महान्ति पुण्यानि हि सञ्चिनोति ।	གང་ལ་ཅུང་ཟད་གོམས་བྱས་སྐད་ཅིག་ཏུ་ཡང་དགེ་བ་རྒྱ་ཆེན་སོགས་༎
 उत्खातमूलानि च पापकानि, सर्वाणि चापादयति क्षणेन ॥	གང་ཕྱིར་སྡིག་པ་རབ་ཏུ་ཆེ་བ་མཐའ་དག་རྩ་ནས་ཟད་བྱེད་པ་༎
 अतश्च तस्याश्चिरभावनार्थं,	དེ་བས་དེ་ནི་གོམས་པར་བྱ་ཕྱིར་བླ་མ་རྣམས་ཀྱིས་བསྟན་པ་ཡི་༎
 मार्गं प्रवक्ष्ये स्वबलानुरूपम् । गुरूपदिष्टं सुपरीक्षितं च मतिं स्वकीयामनुवर्तयित्वा ॥ २ ॥	ལམ་ལས་བརྟགས་ཏེ་བདག་བློས་ཇི་ལྟར་ལྕོགས་པས་བདག་གིས་འདི་བགྱིའོ་༎
 तत्रादौ सूत्रं व्याचिख्यासुः साध्यवसाय (विषय-) ग्रहणादौ श्रोतॄणामवतारणार्थं प्रयोजनमाह । न हि प्रयोजनमन्तरेण प्रेक्षावान् क्वचित् प्रवर्तते ।	དེ་ལ་མདོ་སྡེ་འཆད་པར་འདོད་པས་ཉན་པ་དག་ནན་གྱིས་ལེན་པ་ལ་སོགས་པ་ལ་གཟུད་པའི་ཕྱིར་དང་པོར་དགོས་པ་དེ་བརྗོད་པར་བྱའོ་༎ དགོས་པ་མ་རྟོགས་པར་ནི་རྟོགས་པ་དང་ལྡན་པ་དག་གང་ལ་ཡང་འཇུག་པར་མི་འགྱུར་༎ རོ་༎ 
 तदनन्तरं प्रयोजनोपायमुपदर्शयितुमभिधेयस्तावद् वक्ष्यते, (यतो हि)	དེའི་འོག་ཏུ་མདོ་སྡེའི་དགོས་པའི་ཐབས་བསྟན་པའི་ཕྱིར་བརྗོད་པར་བྱ་བ་བསྙད་པར་༎ རོ་༎ 
 अभिधेयरहितं सूत्रं दशदाडिमानीत्यादिवाक्यवन्नेष्टप्रयोजनं साधयति ।	བྱ་སྟེ་། བརྗོད་པར་བྱ་བས་སྟོང་པའི་མདོ་ནི་སེའུ་བཅུ་ཞེས་བྱ་བ་ལ་སོགས་པའི་ཚིག་བཞིན་དུ་དགོས་པ་འདོད་པ་སྒྲུབ་པར་མི་བྱེད་དོ་༎
 ततः सौकर्येण तदभिधेयग्रहणार्थं पिण्डार्थो वक्ष्यते ।	དེའི་འོག་ཏུ་བརྗོད་པར་བྱ་བ་དེ་གཟུང་སླ་བའི་ཕྱིར་བསྡུས་པའི་དོན་བརྗོད་པར་བྱའོ་༎
 तदनन्तरं समासार्थप्रतिपत्तये पदार्थो ऽभिधास्यते ।	དེའི་འོག་ཏུ་བསྡུས་པའི་དོན་རྟོགས་པར་བྱ་བའི་ཕྱིར་ཚིག་གི་དོན་བརྗོད་པར་བྱའོ་༎
 ततः क्रमस्याविरोधं निदर्शयितुं पदानामनुसन्धिर्दर्शयिष्यते । तदनन्तरं पूर्वापरयुक्तिविरोधापनोदनाय चोदकं प्रति समाधानं वक्ष्यत इत्येव न्यायः ।	དེའི་འོག་ཏུ་གོ་རིམས་མི་འགལ་བར་བསྟན་པའི་ཕྱིར་ཚིག་རྣམས་ཀྱི་མཚམས་སྦྱར་བ་བསྟན་པར་བྱའོ་༎ དེའི་འོག་ཏུ་སྔ་ཕྱིའི་རིགས་པ་དང་འགལ་བ་བསལ་བའི་ཕྱིར་རྒོལ་བའི་ལན་བརྗོད་པར་བྱ་༎ སྟེ་། ཚུལ་ནི་དེ་ལྟ་བུའོ་༎
 तत्र वज्रच्छेदिका इति सूत्रस्य नामधेयम् । अनेनैव तावद् अभिधेयः प्रयोजनं चाभिधीयेते ।	དེ་ལ་མདོ་སྡེ་འདིའི་མིང་རྡོ་རྗེ་གཅོད་པ་ཞེས་བྱ་བ་དེ་ཉིད་ཀྱིས་བརྗོད་པར་བྱ་བ་དང་དགོས་པ་བསྟན་ཏོ་༎
 अत्र द्विधा वज्रच्छेदिका ।	འདི་ལྟར་རྣམ་པ་གཉིས་ཀྱིས་རྡོ་རྗེ་གཅོད་པ་ཡིན་ཏེ་།
 सूक्ष्मक्लेशज्ञेयावरणानि वज्रवद्दुर्भेद्यानि, तेषां छेदनात् ।	ཉོན་མོངས་པ་དང་ཤེས་བྱའི་སྒྲིབ་པ་ཕྲ་བ་རྡོ་རྗེ་ལྟར་གཞིག་དཀའ་བ་དེ་གཅོད་པའི་ཕྱིར་ཏེ་། 
 एतेनास्य (ग्रन्थस्य) आवरणद्वयप्रहाणं तावत् प्रयोजनं निर्दिष्टम् ।	འདིས་ནི་སྒྲིབ་པ་གཉིས་སྤོང་བ་འདིའི་དགོས་༄༢༠༤བ་པ་བསྟན་པ་ཡིན་ནོ་༎
 अथवा छेदनं हि वज्राकारसादृश्येन वज्रवदिति ।	ཡང་ན་གཅོད་པ་ནི་རྡོ་རྗེའི་དབྱིབས་དང་འདྲ་བས་རྡོ་རྗེ་ལྟ་བུ་ཞེས་བྱ་སྟེ་།
 वज्रस्य हि उभे शिखरे स्थूले मध्यं च सूक्ष्मम् ।	རྡོ་རྗེ་ནི་རྩེ་མོ་གཉིས་སྦོམ་ལ་དབུས་ཕྲ་མོར་བྱེད་དོ་༎
 तथैवेयं प्रज्ञामिताप्यादावधिमुक्तिचर्याभूमिम् अन्ते च बुद्धभूमिं विस्तरेण निर्दिशति ।	དེ་བཞིན་དུ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་འདི་ཡང་ཐོག་མ་དང་ཐ་མ་མོས་པས་སྤྱོད་པའི་ས་དང་། སངས་རྒྱས་ཀྱི་ས་རྒྱ་ཆེ་བར་ཡོངས་སུ་བསྟན་ཏོ་༎
 सूक्ष्मेण तावन्मध्यभागेन शूद्धाध्याशयभूमिं निर्दिशति ।	དབུས་ཕྲ་མོས་ནི་ལྷག་པའི་བསམ་པ་དག་པའི་ས་བསྟན་ཏོ་༎
 अत एवेयं वज्राकारवदिति ।	དེ་བས་ན་འདི་ནི་རྡོ་རྗེའི་རྣམ་པ་ལྟ་བུ་ཡིན་ཏེ་།
 एतेन भूमित्रितयमस्याः (वज्रच्छेदिकायाः) अभिधेयो निर्दिष्टः ।	འདིས་ནི་ས་གསུམ་པོ་འདིའི་བརྗོད་པར་བྱ་བ་ཡིན་པར་བསྟན་ཏོ་༎
 पिण्डार्थस्तु संक्षेपेण पञ्चधा,	བསྡུས་པའི་དོན་ནི་མདོར་བསྡུས་ན་རྣམ་པ་ལྔ་སྟེ་།
 तद्यथा- निदानम्,	འདི་ལྟ་སྟེ་།
 उपोद्घातः, बुद्धवंशानुपच्छेदः प्रतिपत्तिलक्षणम्, तत्स्थानञ्च ।	གླེང་གཞི་དང་། གླེང་བསླང་བ་དང་། སངས་རྒྱས་ཀྱི་གདུང་རྒྱུན་མི་འཆད་པར་བྱ་བ་དང་། སྒྲུབ་པའི་མཚན་ཉིད་དང་། དེའི་གནས་སོ་༎
 तत्र निदानं तु सूत्रारम्भनिमित्तम्,	དེ་ལ་གླེང་གཞི་ནི་མདོ་སྡེ་འབྱུང་བའི་རྒྱུ་སྟེ་།
 तच्चापि एवं मया श्रुतम् इत्यारभ्य तेन खलु आयुष्मान् सुभूतिः इत्येतावत्पर्यन्तं देशितम् ।	དེ་ཡང་འདི་སྐད་བདག་གིས་ཐོས་པ་ཞེས་བྱ་བ་ནས་བརྩམས་ཏེ་། དེ་ནས་ཚེ་དང་ལྡན་པ་རབ་འབྱོར་ཞེས་བྱ་བའི་བར་འདིས་བསྟན་ཏོ་༎
 तस्य च सङ्गीतिकारैरात्मप्रामाण्यप्रतिपादनायोक्तत्वात् ।	དེ་བས་ནི་ཡང་དག་པར་སྡུད་པར་བྱེད་པས་བདག་ལ་ཡིད་ཆེས་པར་བྱ་བ་བརྗོད་པའི་ཕྱིར་ཏེ་། 
 एवं सुत्रान्तरेष्वपि वाच्यम् ।	མདོ་སྡེ་ཐམས་ཅད་ལ་ཡང་བརྗོད་པར་བྱའོ་༎
 उपोद्घातस्तावत् प्रकरणेन सूत्रार्थव्युत्पादनार्थं संयुज्यते ।	གླེང་བསླང་བ་ནི་མདོ་སྡེའི་དོན་བཤད་པར་བྱ་བའི་ཕྱིར་སྐབས་དང་སྦྱར་བ་སྟེ་།
