 गुरु-क्रिया-क्रमः सर्वबुद्धबोधिसत्त्वेभ्यो नमः	༄༢༥༦བ་༅་༎ རྒྱ་གར་སྐད་དུ་། གུ་རུ་ཀྲི་ཡ་ཀྲ་མ་། བོད་སྐད་དུ་། བླ་མའི་བྱ་བའི་རིམ་པ་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎
 प्रथमं प्रामाणिक आचार्यः शिष्ये प्रसाद-सम्प्रत्ययाभिलाषात्मिकां श्रद्धां जनयेत् ।	དང་པོར་ཚད་དང་ལྡན་པའི་སློབ་དཔོན་གྱིས་། སློབ་མ་ལ་དད་པ་དང་ཡིད་ཆེས་པ་དང་འདོད་པའི་དད་པ་བསྐྱེད་ལ་།
 ततो बोधिचित्तानुशंसाम् उक्त्वा उत्साहं जनयेत् ।	དེ་ནས་བྱང་ཆུབ་ཀྱི་སེམས་ཀྱི་ཕན་ཡོན་བརྗོད་ལ་སྤྲོ་བ་བསྐྱེད་པར་བྱའོ་༎
 ततः परं विशिष्टविहारे विशिष्टपूजोपकरणं स्थापयेत् ।	དེ་ནས་གནས་ཁང་ཁྱད་པར་ཅན་དུ་མཆོད་པའི་ཚོགས་ཁྱད་པར་ཅན་བཤམས་ལ་།
 आर्यसंघान् आमन्त्र्य, प्रणम्य, पादौ प्रक्षाल्य, आसनं प्रदाय,	འཕགས་པའི་ཚོགས་སྤྱན་དྲངས་ཏེ་།
 उत्तरानुत्तरपूजोपकरणैः सम्पूज्य पूजामेघमन्त्रानपि त्रिरुच्चरेत् ।	ཕྱག་འཚལ་བ་དང་། ཞབས་བསིལ་ཞིང་གདན་དབུལ་བ་དང་། བླ་ན་ཡོད་པ་དང་། བླ་ན་མེད་པའི་མཆོད་པའི་ཚོགས་ཀྱིས་ལེགས་པར་མཆོད་ཅིང་། མཆོད་པའི་སྤྲིན་གྱི་སྔགས་ཀྱང་ལན་གསུམ་བརྗོད་དོ་༎
 स्तोता सुगतविशिष्टगुणस्मरणद्वारा सादरं स्तुत्वा तत्तद्वृद्धिकराण्यपि पदानि उच्चरेत् ।	བསྟོད་པ་བྱེད་པས་བདེ་བར་གཤེགས་པའི་ཡོན་ཏན་ཁྱད་པར་ཅན་དྲན་པའི་སྒོ་ནས་གུས་པས་བསྟོད་ཅིང་། དེ་དང་དེ་འཕེལ་བའི་ཚིག་ཀྱང་བརྗོད་དོ་༎
 ततश्च देशना-अनुमोदना-अध्येषणा-प्रार्थना-परिणामनादयः करणीयाः ।	དེ་ནས་བཤགས་པ་དང་། རྗེས་སུ་ཡི་རང་བ་དང་། བསྐུལ་བ་དང་། གསོལ་བ་གདབ་པ་དང་། བསྔོ་བ་ལ་སོགས་པ་བྱ་སྟེ་།
 ततः श्रद्धावान् शिष्य आचार्य प्रणमेत् ।	དེ་ནས་སློབ་མ་དད་པ་དང་ལྡན་པས་སློབ་དཔོན་ལ་ཕྱག་བྱས་ལ་།
 अध्येषणादिभिर्द्विविधं बोधिचित्तं समुत्पाद्य तेषां स्वस्वभावं भेदं वैशिष्ट्यञ्चापि ख्यापयेत् ।	གསོལ་བ་གདབ་པ་ལ་སོགས་པས་བྱང་ཆུབ་ཀྱི་སེམས་རྣམ་པ་གཉིས་ལེགས་པར་བསྐྱེད་ལ་། དེ་དག་གི་རང་གི་ངོ་བོ་དང་། དབྱེ་བ་དང་། ཁྱད་པར་ཡང་བརྗོད་དོ་༎
