 विग्रहव्यावर्तनी-कारिका ॥	༄༢༧ཨ་༌་༎ རྒྱ་གར་སྐད་དུ་། བི་གྲ་ཧ་བྱ་བརྟ་ནི་ཀའ་རི་ཀའ་ནའ་མ་། བོད་སྐད་དུ་། རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ་ཞེས་བྱ་བ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 सर्वेषां भावानां सर्वत्र न विद्यते स्वभावश् चेत् ।	གལ་ཏེ་དངོས་པོ་ཐམས་ཅད་ཀྱི་༎ རང་བཞིན་ཀུན་ལ་ཡོད་མིན་ན་༎ ཁྱོད་ཀྱི་ཚིག་ཀྱང་རང་བཞིན་མེད་༎
 त्वद्वचनम् अस्वभावं न निवर्तयितुं स्वभावम् अलम् ॥ नग्व्व्य्_०१	རང་བཞིན་བཟློག་པར་མི་ནུས་སོ་༎
 अथ सवभावम् एतद् वाक्यं पूर्वा हता प्रतिज्ञा ते ।	འོན་ཏེ་ཚིག་དེ་རང་བཞིན་བཅས་༎ ཁྱོད་ཀྱི་དམ་བཅའ་སྔ་མ་ཉམས་༎ མི་འདྲ་ཉིད་དེ་དེ་ཡིན་ན་༎
 वैषमिकत्वं तस्मिन् विशेषहेतुश् च वक्तव्यः ॥ नग्व्व्य्_०२	ཁྱད་པར་གཏན་ཚིགས་བརྗོད་པར་གྱིས་༎
 मा शब्दवद् इत्य् एतत् स्यात् ते बुद्धिर् न चैतद् उपपन्नम् ।	དེ་སྒྲ་མ་འབྱིན་ལྟ་བུའོ་ཞེས་༎ ཁྱོད་བློ་སེམས་ན་དེ་མི་འཐད་༎
 शब्देन ह्य् अत्र सता भविष्यतो वारणं तस्य ॥ नग्व्व्य्_०३ प्रतिषेधप्रतिषेधो ऽप्य् एवम् इति मतं भवेत् तद् असद् एव ।	འདི་ལ་སྒྲ་ནི་ཡོད་པ་ཡིས་༎ འབྱུང་བར་འགྱུར་བ་དེ་བཟློག་ཡིན་༎ འགོག་པའི་འགོག་པའང་དེ་ལྟ་ཞེས་༎ འདོད་ན་དེ་ཡང་བཟང་མིན་ཏེ་༎
 एवं तव प्रतिज्ञा लक्षङतो दूष्यते न मम ॥ नग्व्व्य्_०४	ཁྱོད་ཀྱི་དམ་བཅའི་མཚན་ཉིད་ལས་༎ དེ་ལྟར་སྐྱོན་ཡོད་ངེད་ལ་མེད་༎
 प्रत्यक्षेण हि तावद् यद्य् उपलभ्य विनिवर्तयसि भावान् ।	རེ་ཞིག་གལ་ཏེ་མངོན་སུམ་གྱིས་༎ དངོས་རྣམས་དམིགས་ནས་ཟློག་བྱེད་པ་༎
 तन् नास्ति प्रत्यक्षं भावा येनोपलभ्यन्ते ॥ नग्व्व्य्_०५	གང་གིས་དངོས་རྣམས་དམིགས་འགྱུར་བ་༎ མངོན་སུམ་དེ་ནི་མེད་པ་ཡིན་༎
 अनुमानं प्रत्युक्तं प्रत्यक्षेणागमोपमाने च । अनुमानागमसाध्या ये ऽर्था दृष्टान्तसाध्याश् च ॥ नग्व्व्य्_०६	རྗེས་དཔག་ལུང་དང་དཔར་འཇལ་དང་༎ རྗེས་དཔག་ལུང་གིས་བསྒྲུབ་བྱ་དང་༎ དཔེས་བསྒྲུབ་བྱ་བའི་དོན་གང་ཡིན་༎ མངོན་སུམ་གྱིས་ནི་ལན་བཏབ་པོ་༎
 कुशलानां धर्मावस्थाविदश् च मन्यन्ते ।	སྐྱེ་བོ་ཆོས་ཀྱི་གནས་སྐབས་མཁས་༎ དགེ་བདག་གི་ཆོས་རྣམས་ལ་༎
