 वसुबन्धु: त्रिंशिकाविज्ञप्तिकारिका नमो बुद्धाय ॥	༄༡༤༦བ་༅་༎ རྒྱ་གར་སྐད་དུ་། ཏྲིམ་ཤི་ཀ་བྷའ་ཤྱམ་། བོད་སྐད་དུ་། སུམ་ཅུ་པའི་བཤད་པ་། བམ་པོ་དང་པོ་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ་༎
 पुद्गलधर्मनैरात्म्ययोर् अप्रतिपन्नविप्रतिपन्नानाम् अविपरीतपुद्गलधर्मनैरात्म्यप्रतिपादनार्थं त्रिंशिकाविज्ञप्तिप्रकरणारम्भः ।	གང་ཟག་དང་ཆོས་ལ་བདག་མེད་པ་མ་རྟོགས་པ་དང་ལོག་པར་རྟོགས་པ་རྣམས་ལ་གང་ཟག་དང་ཆོས་ལ་བདག་མེད་པ་མ་ལོག་པར་བསྟན་པའི་ཕྱིར་། རྣམ་པར་རིག་པའི་རབ་ཏུ་བྱེད་པ་སུམ་ཅུ་པ་བརྩམས་སོ་༎
 पुद्गलधर्मनैरात्म्यप्रतिपादनं पुनः क्लेशज्ञेयावरणप्रहाणार्थम् ।	དེ་ལ་གང་ཟག་དང་ཆོས་ལ་བདག་མེད་པར་བསྟན་པའང་ཉོན་མོངས་པ་དང་ཤེས་བྱའི་སྒྲིབ་པ་སྤངས་པའི་ཕྱིར་ཏེ་།
 तथा ह्य् आत्मदृष्टिप्रभवा रागादयः क्लेशाः पुद्गलनैरात्म्यावबोधश् च सत्कायदृष्टेः प्रतिपक्षत्वात् तत्प्रहाणाय प्रवर्तमानः सर्वक्लेशान् प्रजहाति ।	འདི་ལྟར་འདོད་ཆགས་ལ་སོགས་པ་ཉོན་མོངས་པ་རྣམས་ནི་བདག་ཏུ་ལྟ་བ་ལས་བྱུང་ངོ་༎ གང་ཟག་ལ་བདག་མེད་པར་ཁོང་དུ་ཆུད་པ་ནི་འཇིག་ཚོགས་ལ་ལྟ་བའི་གཉེན་པོ་ཡིན་པས་ན་དེ་སྤངས་ན་ཉོན་མོངས་པ་ཐམས་ཅད་སྤོང་བར་འགྱུར་རོ་༎ 
 धर्मनैरात्म्यज्ञानाद् अपि ज्ञेयावरणप्रतिपक्षत्वात् ज्ञेयावरणं प्रहीयते ।	ཆོས་ལ་བདག་མེད་པར་ཤེས་པ་ཡང་ཤེས་བྱའི་སྒྲིབ་པའི་གཉེན་པོ་ཡིན་པས་ཤེས་བྱའི་སྒྲིབ་པ་སྤོང་བར་འགྱུར་རོ་༎
 क्लेशज्ञेयावरणप्रहाणम् अपि मोक्षसर्वज्ञत्वाधिगमार्थम् ।	ཉོན་མོངས་པ་དང་ཤེས་བྱའི་སྒྲིབ་པ་སྤང་བ་ཡང་ཐར་པ་དང་ཐམས་ཅད་མཁྱེན་བ་ཐོབ་པར་བྱ་བའི་ཕྱིར་རོ་༎
 क्लेशा हि मोक्षप्राप्तेर् आवरणम् इति अतस् तेषु प्रहीणेषु मोक्षो ऽधिगम्यते ।	ཉོན་མོངས་པ་རྣམས་ནི་ཐར་པ་འཐོབ་པ་ལ་བསྒྲིབས་པས་དེའི་ཕྱིར་དེ་དག་སྤངས་ན་ཐར་པ་འཐོབ་པར་འགྱུར་རོ་༎
 ज्ञेयावरणम् अपि सर्वस्मिन् ज्ञेये ज्ञानप्रवृत्तिप्रतिबन्धभूतम् अक्लिष्टम् अज्ञानम् ।	ཤེས་བྱའི་སྒྲིབ་བ་ནི་ཤེས་བྱ་ཐམས་ཅད་ལ་ཡེ་ཤེས་འཇུག་པའི་བར་དུ་གཅོད་པར་གྱུར་པ་ཉོན་མོངས་པ་ཅན་མ་ཡིན་པའི་མི་ཤེས་པ་སྟེ་། 
 तस्मिन् प्रहीणे सर्वाकारे ज्ञेये ऽसक्तम् अप्रतिहतञ् च ज्ञानं प्रवर्तत इत्य् अतः सर्वज्ञत्वम् अधिगम्यते ।	དེ་སྤངས་ན་ཤེས་བྱའི་རྣམ་པ་ཐམས་ཅད་ཀུན་ལ་ཆགས་པ་མེད་པ་དང་། ཐོགས་པ་མེད་པའི་ཡེ་ཤེས་འཇུག་སྟེ་། དེའི་ཕྱིར་ཐམས་ཅད་མཁྱེན་པ་ཐོབ་པར་འགྱུར་རོ་༎
 अथ वा धर्मपुद्गलाभिनिविष्टाश् चित्तमात्रं यथाभूतं न जानन्तीत्य् अतो धर्मपुद्गलनैरात्म्यप्रदर्शनेन सफले विज्ञप्तिमात्रे ऽनुपूर्वेण प्रवेशार्थं प्रकरणारम्भः ।	ཡང་ན་ཆོས་དང་གང་ཟག་ལ་མངོན་པར་ཞེན་པ་དག་སེམས་ཙམ་དུ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་མི་ཤེས་ཏེ་། དེའི་ཕྱིར་ཆོས་དང་གང་ཟག་ལ་བདག་མེད་པར་བསྟན་པས་རྣམ་པར་རིག་པ་ཙམ་འབྲས་བུ་དང་བཅས་པ་ལ་མཐར་གྱིས་འཇུག་༄༡༤༧ཨ་༌་༎ པར་བྱ་བའི་ཕྱིར་རབ་ཏུ་བྱེད་པ་འདི་བརྩམས་སོ་༎
 अथ वा विज्ञानवद् विज्ञेयम् अपि द्रव्यत एवेति केचिन् मन्यन्ते । विज्ञेयवद् विज्ञानम् अपि संवृतित एव न परमार्थत इत्य् अस्य द्विप्रकारस्याप्य् एकान्तवादस्य प्रतिषेधार्थः प्रकरणारम्भः ॥	ཡང་ན་རྣམ་པར་ཤེས་པ་བཞིན་དུ་ཤེས་བྱ་ཡང་རྫས་ཉིད་དུ་ཁ་ཅིག་སེམས་པ་དང་། གཞན་དག་ཤེས་བྱ་བཞིན་དུ་རྣམ་པར་ཤེས་པ་ཡང་ཀུན་རྫོབ་ཉིད་དུ་ཡོད་ཀྱི་དོན་དམ་པར་ནི་མེད་དོ་སྙམ་དུ་སེམས་པ་མཐའ་གཅིག་ཏུ་སྨྲ་བ་འདི་རྣམ་པ་གཉིས་དགག་པའི་ཕྱིར་རབ་ཏུ་བྱེད་པ་འདི་བརྩམས་སོ་༎
 आत्मधर्मोपचारो हि विविधो यः प्रवर्तते । १अब्	བདག་དང་ཆོས་སུ་ཉེར་འདོགས་པ་༎ སྣ་ཚོགས་དག་ནི་གང་བྱུང་བ་༎
 लोकशास्त्रयोर् इति वाक्यशेषः ।	འཇིག་རྟེན་པ་དང་བསྟན་བཅོས་ལའོ་༎ ཞེས་བྱ་བ་ནི་ཚིག་གི་ལྷག་མའོ་༎
 विज्ञानपरिणामे ऽसौ । १च्	དེ་ནི་རྣམ་པར་ཤེས་པར་གྱུར་༎
 आत्मधर्मोपचार इति संबध्यते ।	བདག་དང་ཆོས་སུ་ཉེར་འདོགས་པ་༎ ཞེས་བྱ་བ་དང་སྦྱར་རོ་༎
 आत्मा धर्माश् चोपचर्यन्त इत्य् आत्मधर्मोपचारः ।	བདག་དང་ཆོས་སུ་ཉེ་བར་འདོགས་པས་། བདག་དང་ཆོས་སུ་ཉེར་འདོགས་པ་སྟེ་།
 स पुनर् आत्मप्रज्ञप्तिर् धर्मप्रज्ञप्तिश् च ।	དེ་ཡང་བདག་ཏུ་བཏགས་པ་དང་། ཆོས་སུ་བཏགས་པའོ་༎
 विविध इत्य् अनेकप्रकारः ।	སྣ་ཚོགས་ཞེས་བྱ་བ་ནི་རྣམ་པ་དུ་མ་སྟེ་།
 आत्मा जीवो जन्तुर् मनुजो माणव इत्य् एवमादिक आत्मोपचारः स्कन्धा धातव आयतनानि रूपं वेदना संज्ञा संस्कारा विज्ञानम् इत्य् एवमादिको धर्मोपचारः	བདག་དང་སྲོག་དང་། སྐྱེ་བ་པོ་དང་། ཤེད་ལས་སྐྱེས་པ་དང་། ཤེད་བུ་དང་། དེ་དག་ལ་སོགས་པ་དག་ནི་བདག་ཏུ་ཉེ་བར་འདོགས་པའོ་༎ ཕུང་པོ་དང་། ཁམས་དང་། སྐྱེ་མཆེད་རྣམས་དང་། གཟུགས་དང་། ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་དང་། རྣམ་པར་ཤེས་པ་དང་། དེ་དག་ལ་སོགས་པ་དག་ནི་ཆོས་སུ་ཉེ་བར་འདོགས་པའོ་༎
 अयं द्विप्रकारो ऽप्य् उपचारो विज्ञानपरिणाम एव न मुख्ये आत्मनि धर्मेषु चेति । कुत एतत् ।	ཉེ་བར་འདོགས་པ་འདི་རྣམས་གཉིས་ནི་རྣམ་པར་ཤེས་པ་གྱུར་པ་ཉིད་དེ་།
 धर्माणाम् आत्मनश् च विज्ञानपरिणामाद् बहिर् अभावात् ।	བདག་གམ་ཆོས་རྣམས་དངོས་པོ་ལ་ཉེ་བར་འདོགས་པ་ནི་མ་ཡིན་ནོ་ཞེས་བྱ་བ་དེ་ཇི་ལྟ་བུ་ཞེན་ཆོས་རྣམས་དང་། བདག་ནི་རྣམ་པར་ཤེས་པ་གྱུར་པ་ལས་ཕྱི་རོལ་ན་མེད་པའི་ཕྱིར་རོ་༎
 को ऽयं परिणामो नाम ।	གྱུར་ཞེས་བྱ་བ་དེ་གང་ཞེ་ན་།
 अन्यथात्वम् ।	གཞན་དུ་གྱུར་པ་སྟེ་།
 कारणक्षणनिरोधसमकालः कारणक्षणविलक्षणः कार्यस्यात्मलाभः परिणामः ।	རྒྱུའི་སྐད་ཅིག་འགག་པ་དང་། དུས་མཉམ་དུ་རྒྱུའི་སྐད་ཅིག་དང་མི་འབྲལ་བ་འབྲས་བུའི་བདག་ཉིད་ཐོབ་པ་ནི་གྱུར་པའོ་༎
 तत्रात्मादिविकल्पवासनापरिपोषाद् रूपादिविकल्पवासनापरिपोषाच् चालयविज्ञानाद् आत्मादिनिर्भासो विकल्पो रूपादिनिर्भासश् चोत्पद्यते ।	དེ་ལ་བདག་ལ་སོགས་པར་རྣམ་པར་རྟོག་པའི་བག་ཆགས་ཡོངས་སུ་བརྟས་ཤིང་གཟུགས་ལ་སོགས་པ་རྣམ་པར་རྟོག་པའི་བག་ཆགས་ཡོངས་སུ་བརྟས་ན་ཀུན་གཞི་རྣམ་པར་ཤེས་པ་ལས་བདག་ལ་སོགས་པར་སྣང་བ་དང་། གཟུགས་ལ་སོགས་པར་སྣང་བའི་རྣམ་པར་རྟོག་པ་འབྱུང་ངོ་༎
 [त्व्भ्_४२] तम् आत्मादिनिर्भासं रूपादिनिर्भासञ् च तस्माद् विकल्पाद् बहिर्भूतम् इवोपादायात्माद्युपचारो रूपादिधर्मोपचारश् चानादिकालिकः प्रवर्तते विनापि बाह्येनात्मना धर्मैश् च ।	དེ་ལ་བདག་ལ་སོགས་པར་སྣང་བ་དང་། གཟུགས་ལ་སོགས་པར་སྣང་བ་ཡང་ཕྱི་རོལ་གྱི་བདག་དང་། ༄༡༤༧བ་ཆོས་རྣམས་མེད་པར་རྣམ་པར་རྟོག་པ་དེ་ལས་ཕྱི་རོལ་དུ་གྱུར་པ་ལྟ་བུ་རྒྱུར་བྱས་ནས་། བདག་ལ་སོགས་པར་ཉེ་བར་འདོགས་པ་དང་། གཟུགས་ལ་སོགས་པ་ཆོས་སུ་ཉེ་བར་འདོགས་པ་ཐོག་མ་མེད་པའི་དུས་ནས་འཇུག་སྟེ་།
 तद् यथा तैमिरिकस्य केशोण्डुकाद्युपचार इति ।	དཔེར་ན་རབ་རིབ་ཅན་གྱིས་སྐྲ་ཤད་འཛིངས་པ་ལ་སོགས་པ་མཐོང་བ་བཞིན་ནོ་༎
 यच् च यत्र नास्ति तत् तत्रोपचर्यते । तद् यथा बाहीके गौः ।	ཉེ་བར་འདོགས་པ་ཞེས་བྱ་བ་ནི་གང་ལ་གང་མེད་པ་དེ་ལ་དེ་ཉེ་བར་འདོགས་ཏེ་། དཔེར་ན་མི་བླུན་པོ་ལ་བ་ལང་ཞེས་བྱ་བ་ལྟ་བུའོ་༎
 एवं विज्ञानस्वरूपे बहिश् चात्मधर्माभावात् परिकल्पित एवात्मा धर्माश् च न तु परमार्थतः सन्तीति विज्ञानवद् विज्ञेयम् अपि द्रव्यत एवेत्य् अयम् एकान्तवादो नाभ्युपेयः ।	དེ་ལྟར་ན་རྣམ་པར་ཤེས་པའི་རང་གི་ངོ་བོ་དང་། ཕྱི་རོལ་ན་ཡང་བདག་དང་ཆོས་རྣམས་མེད་པས་བདག་དང་ཆོས་རྣམས་ཀུན་དུ་བརྟགས་པ་ཉིད་དེ་། དོན་དམ་པར་ཡོད་པ་མ་ཡིན་པས་ཤེས་བྱ་ཡང་རྣམ་པར་ཤེས་པ་བཞིན་དུ་རྫས་ཉིད་དོ་ཞེས་མཐའ་གཅིག་ཏུ་སྨྲ་བ་འདི་ཁས་མི་། བླང་ངོ་༎ 
 उपचारस्य च निराधारस्यासंभवाद् अवश्यं विज्ञानपरिणामो वस्तुतो ऽस्तीत्य् उपगन्तव्यो यत्रात्मधर्मोपचारः प्रवर्तते ।	ཉེ་བར་འདོགས་པ་ནི་གཞི་མེད་པར་མི་སྲིད་པས་གང་ལ་བདག་དང་ཆོས་སུ་ཉེ་བར་འདོགས་པ་འབྱུང་བའི་རྣམ་པར་ཤེས་པ་གྱུར་པ་དངོས་པོ་ཡོད་པར་ངེས་ང་ར་། བླང་ངོ་༎ ཁས་བླང་ངོ་༎ 
