 माहायाने त्रैधातुकं विज्ञप्तिमात्रं व्यवस्थाप्यते ।	ཐེག་པ་ཆེན་པོ་ལ་ཁམས་གསུམ་པ་རྣམ་པར་རིག་པ་ཙམ་དུ་རྣམ་པར་གཞག་སྟེ་།
 चित्तमात्रं भो जिनपुत्रा यद् उत त्रैधातुकम् इति सूत्रात् ।	མདོ་ལས་ཀྱེ་རྒྱལ་བའི་སྲས་དག་འདི་ལྟ་སྟེ་། ཁམས་གསུམ་པ་འདི་ནི་སེམས་ཙམ་མོ་ཞེས་འབྱུང་བའི་ཕྱིར་རོ་༎
 चित्तं मनो विज्ञानं विज्ञप्तिश् चेति पर्यायाः ।	སེམས་དང་ཡིད་དང་། རྣམ་པར་ཤེས་པ་དང་། རྣམ་པར་རིག་པ་ཞེས་བྱ་བ་ནི་རྣམ་གྲངས་སུ་གཏོགས་པའོ་༎
 चित्तम् अत्र ससंप्रयोगम् अभिप्रेतं ।	སེམས་དེ་ཡང་འདིར་མཚུངས་པར་ལྡན་པ་དང་བཅས་པར་དགོངས་པའོ་༎
 मत्रम् इत्य् अर्थप्रतिषेधार्थं ।	ཙམ་ཞེས་བྱ་བ་སྨོས་པ་ནི་དོན་དགག་པའི་ཕྱིར་རོ་༎
 विज्ञप्तिमात्रम् एवेदम् असदर्थावभासनात् ।	རྣམ་པར་ཤེས་པ་འདི་ཉིད་དོན་དུ་སྣང་བ་འབྱུང་སྟེ་།
 यद्वत् तैमिरिकस्यासत् केशोण्डुकादिदर्शनं ॥ १ ॥ अत्र चोद्यते ।	དཔེར་ན་རབ་རིབ་ཅན་རྣམས་ཀྱིས་སྐྲ་ཟླ་ལ་སོགས་པ་མེད་པར་མཐོང་བ་བཞིན་ཏེ་།
 कश्चिद् अर्थो नास्ति ।	དོན་གང་ཡང་མེད་དོ་༎ འདིར་འདི་སྐད་ཅེས་བརྒལ་ཏེ་། གལ་ཏེ་རྣམ་རིག་དོན་མིན་ན་༎
 न देशकालनियमः संतानानियमो न च ।	ཡུལ་དང་དུས་ལ་ངེས་མེད་ཅིང་༎ སེམས་ཀྱང་དེས་མེད་མ་ཡིན་ལ་༎
 न च कृत्यक्रिया युक्ता विज्ञप्तिर् यदि नार्थतः ॥ २ ॥	བྱ་བ་བྱེད་བའང་མི་རིགས་འགྱུར་༎
 किम् उक्तं भवति ।	ཇི་སྐད་དུ་བསྟན་པར་འགྱུར་ཞེ་ན་།
 यदि विना रूपाद्यर्थेन रूपादिविज्ञप्तिर् उत्पद्यते न रूपाद्यर्थात् ।	གལ་ཏེ་གཟུགས་ལ་སོགས་པའི་དོན་མེད་པར་གཟུགས་ལ་སོགས་པའི་རྣམ་པར་རིག་པ་འབྱུང་སྟེ་གཟུགས་ལ་སོགས་པའི་དོན་ལས་མ་ཡིན་ན་།
 कस्मात् क्वचिद् देश उत्पद्यते न सर्वत्र ।	ཅིའི་ཕྱིར་ཡུལ་ལ་ལར་འབྱུང་ལ་ཐམས་ཅད་ན་མ་ཡིན་།
 तत्रैव च देशे कदाचिद् उत्पद्यते न सर्वदा ।	ཡུལ་དེ་ཉིད་ན་ཡང་རེས་འགའ་འབྱུང་ལ་ཐམས་ཅད་དུ་མ་ཡིན་།
 तद्देशकालप्रतिष्ठितानां सर्वेषां संतानानियम उत्पद्यते न केवलम् एकस्य ।	ཡུལ་དང་དུས་དེ་ན་འཁོད་པ་ཐམས་ཅད་ཀྱི་སེམས་ལ་ངེས་པ་མེད་པ་འབྱུང་ལ་འགའ་ཙམ་ལ་མ་ཡིན་། 
 यथा तैमिरिकाणां संताने केशाद्याभासो नान्येषां ।	དེ་ལྟར་རབ་རི་བ་ཅན་ཉིད་ཀྱི་སེམས་ལ་སྐྲ་ལ་སོགས་པ་སྣང་གི་ལ་མ་ཡིན་། 
 कस्माद् यत् तैमिरिकैः केशभ्रमरादि दृश्यते तेन केशादिक्रिया न क्रियते न च तद् अन्यैर् न क्रियते ।	། ༄༤བ་གཞན་དག་ལ་ནི་མ་ཡིན་༎ ཅིའི་ཕྱིར་གང་རབ་རིབ་ཅན་གྱིས་མཐོང་བའི་སྐྲ་དང་། སྦྲང་བུ་ལ་སོགས་པས་སྐྲ་ལ་སོག་པའི་བྱ་བ་མི་བྱེད་ལ་།
 यद् अन्नपानवस्त्रविषायुधादि स्वप्ने दृश्यते तेनान्नादिक्रिया न क्रियते न च तद् अन्यैर् न क्रियते ।	དེ་མ་ཡིན་པ་གཞན་དག་གིས་ནི་བྱེད་། རྨི་ལམ་ན་མཐོང་བའི་བཟའ་བ་དང་བཏུང་བ་དང་བགོ་བ་དང་དུག་དང་མཚོན་ལ་སོགས་པས་ཟས་དང་སྐོམ་ལ་སོགས་པའི་བྱ་བ་མི་བྱེད་ལ་། དེ་མ་ཡིན་པ་གཞན་དག་གིས་ནི་བྱེད་།
 गन्धर्वनगरेणासत्त्वान् नगरक्रिया न क्रियते न च तद् अन्यैर् न क्रियते ।	དྲི་ཟའི་གྲོང་ཁྱེར་ཡོད་པ་མ་ཡིན་པས་གྲོང་ཁྱེར་གྱི་བྱ་བ་མི་བྱེད་ལ་། དེ་མ་ཡིན་པ་གཞན་དག་གིས་ནི་བྱེད་།
